,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,225120.0,-146370.0,-7918890.0,-1083810.0,71820.0,,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.21,,
Normalized EBITDA,10668000.0,8895000.0,-14452000.0,9094000.0,430000.0,,
Total Unusual Items,1072000.0,-697000.0,-37709000.0,-5161000.0,342000.0,,
Total Unusual Items Excluding Goodwill,1072000.0,-697000.0,-37709000.0,-5161000.0,342000.0,,
Net Income From Continuing Operation Net Minority Interest,-6052000.0,-7781000.0,-71362000.0,-11068000.0,-20547000.0,,
Reconciled Depreciation,2331000.0,2476000.0,2973000.0,4219000.0,4674000.0,,
Reconciled Cost Of Revenue,100812000.0,141133000.0,42043000.0,160038000.0,118337000.0,,
EBITDA,11740000.0,8198000.0,-52161000.0,3933000.0,772000.0,,
EBIT,9409000.0,5722000.0,-55134000.0,-286000.0,-3902000.0,,
Net Interest Income,-10455000.0,-10935000.0,-10229000.0,-10327000.0,-11807000.0,,
Interest Expense,11569000.0,11163000.0,10158000.0,10620000.0,11967000.0,,
Interest Income,1114000.0,228000.0,-71000.0,293000.0,160000.0,,
Normalized Income,-6898880.0,-7230370.0,-41571890.0,-6990810.0,-20817180.0,,
Net Income From Continuing And Discontinued Operation,-58492000.0,-22007000.0,-63065000.0,-5332000.0,25406000.0,,
Total Expenses,135761000.0,174386000.0,50553000.0,204574000.0,155862000.0,,
Total Operating Income As Reported,8128000.0,5850000.0,-19970000.0,-1474000.0,-4448000.0,,
Diluted Average Shares,98719000.0,97930000.0,94100000.0,92252000.0,91152000.0,,
Basic Average Shares,98719000.0,97930000.0,94100000.0,92252000.0,91049000.0,,
Diluted EPS,-0.63,-0.26,-0.71,-0.1,0.24,,
Basic EPS,-0.63,-0.26,-0.71,-0.1,0.24,,
Diluted NI Availto Com Stockholders,-62207000.0,-25722000.0,-66780000.0,-9047000.0,21691000.0,,
Net Income Common Stockholders,-62207000.0,-25722000.0,-66780000.0,-9047000.0,21691000.0,,
Preferred Stock Dividends,3715000.0,3715000.0,3715000.0,3715000.0,3715000.0,,
Net Income,-58492000.0,-22007000.0,-63065000.0,-5332000.0,25406000.0,,
Minority Interests,,-18000.0,-44000.0,-1000.0,-49000.0,-42000.0,
Net Income Including Noncontrolling Interests,-58492000.0,-21989000.0,-63021000.0,-5331000.0,25406000.0,,
Net Income Discontinuous Operations,-52440000.0,-14226000.0,8297000.0,5736000.0,45953000.0,,
Net Income Continuous Operations,-6052000.0,-7763000.0,-71318000.0,-11067000.0,-20547000.0,,
Tax Provision,3892000.0,2322000.0,6026000.0,161000.0,4678000.0,,
Pretax Income,-2160000.0,-5441000.0,-65292000.0,-10906000.0,-15869000.0,,
Other Income Expense,2000.0,-1314000.0,-70786000.0,-5864000.0,386000.0,,
Other Non Operating Income Expenses,-1070000.0,-617000.0,-33077000.0,-703000.0,44000.0,,
Special Income Charges,-165000.0,-958000.0,-36171000.0,-7424000.0,-1053000.0,,
Gain On Sale Of Ppe,-165000.0,-8000.0,775000.0,-375000.0,0.0,,
Gain On Sale Of Business,,,,-50000.0,40174000.0,,
Other Special Charges,,,478000.0,665000.0,1053000.0,5071000.0,
Impairment Of Capital Assets,0.0,950000.0,-2109000.0,5838000.0,0.0,,
Restructuring And Mergern Acquisition,,,-1547000.0,496000.0,767000.0,1580000.0,1532000.0
Gain On Sale Of Security,1237000.0,261000.0,-1538000.0,2263000.0,1395000.0,,
Net Non Operating Interest Income Expense,-10455000.0,-10935000.0,-10229000.0,-10327000.0,-11807000.0,,
Interest Expense Non Operating,11569000.0,11163000.0,10158000.0,10620000.0,11967000.0,,
Interest Income Non Operating,1114000.0,228000.0,-71000.0,293000.0,160000.0,,
Operating Income,8293000.0,6808000.0,15723000.0,5285000.0,-4448000.0,,
Operating Expense,34949000.0,33253000.0,8510000.0,44536000.0,37525000.0,,
Research And Development,941000.0,526000.0,2113000.0,1420000.0,890000.0,,
Selling General And Administration,34008000.0,32727000.0,6397000.0,43116000.0,36635000.0,,
Selling And Marketing Expense,,,,,,,45821000.0
General And Administrative Expense,,,,,50525000.0,41438000.0,48017000.0
Other Gand A,,,,,50525000.0,41438000.0,48017000.0
Salaries And Wages,,,,,-92000.0,-96000.0,
Gross Profit,43242000.0,40061000.0,24233000.0,49821000.0,33077000.0,,
Cost Of Revenue,100812000.0,141133000.0,42043000.0,160038000.0,118337000.0,,
Total Revenue,144054000.0,181194000.0,66276000.0,209859000.0,151414000.0,,
Operating Revenue,144054000.0,181194000.0,66276000.0,209859000.0,151414000.0,,
