GradeDate,Firm,ToGrade,FromGrade,Action
2014-04-05 01:40:51,Citigroup,Buy,,main
2014-01-15 21:00:00,Citigroup,Buy,Neutral,up
2014-01-03 21:00:00,Cross Research,Hold,Buy,down
2013-09-26 11:59:11,Brean Capital,Buy,,main
2013-09-11 13:47:19,Cross Research,Buy,Hold,up
2013-09-11 12:41:13,Raymond James,Market Perform,Underperform,up
2013-09-06 13:17:12,CLSA,Underperform,,main
2013-08-28 12:53:08,B of A Securities,Buy,,main
2013-08-27 12:45:15,Raymond James,Underperform,Market Perform,down
2013-08-07 18:08:54,Needham,Hold,Buy,down
2013-06-20 20:00:00,Credit Agricole,Underperform,,down
2013-06-12 11:48:25,Raymond James,Market Perform,Outperform,down
2013-03-28 12:08:29,Credit Agricole,Outperform,Buy,down
2013-03-28 10:33:54,Citigroup,Neutral,,main
2013-01-11 15:37:38,B of A Securities,Buy,,main
2013-01-11 14:56:33,Citigroup,Neutral,,main
2012-10-08 20:16:00,Citigroup,Neutral,,init
2012-09-26 13:31:00,Needham,Buy,Strong Buy,down
2012-09-26 11:37:00,B of A Securities,Buy,,main
2012-09-26 11:32:00,Sterne Agee,Neutral,,main
2012-09-26 10:44:00,Goldman Sachs,Neutral,,main
2012-08-14 12:00:00,CLSA,Buy,,init
2012-08-08 15:08:00,JP Morgan,Overweight,Neutral,up
2012-06-26 12:29:00,B of A Securities,Buy,,main
2012-06-26 10:55:00,Goldman Sachs,Neutral,,main
2012-06-26 10:35:00,Sterne Agee,Neutral,,main
2012-06-26 10:28:00,Brean Capital,Buy,,main
2012-03-28 10:40:00,Sterne Agee,Neutral,,main
2012-03-28 10:07:00,Citigroup,Neutral,Buy,down
2012-03-08 13:09:00,Stifel,Hold,Buy,down
