,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-2725086.701211,-919327.0,-1069687.594579,-242784.0,-314994.0,,
Tax Rate For Calcs,0.267087,0.211,0.254688,0.216,0.282,,
Normalized EBITDA,600308000.0,455194000.0,689512000.0,642917000.0,476386000.0,,
Total Unusual Items,-10203000.0,-4357000.0,-4200000.0,-1124000.0,-1117000.0,,
Total Unusual Items Excluding Goodwill,-10203000.0,-4357000.0,-4200000.0,-1124000.0,-1117000.0,,
Net Income From Continuing Operation Net Minority Interest,229250000.0,144258000.0,305120000.0,293185000.0,188159000.0,,
Reconciled Depreciation,211903000.0,207676000.0,212650000.0,200401000.0,162865000.0,,
Reconciled Cost Of Revenue,5666708000.0,5301183000.0,5393218000.0,5390618000.0,4699405000.0,,
EBITDA,590105000.0,450837000.0,685312000.0,641793000.0,475269000.0,,
EBIT,378202000.0,243161000.0,472662000.0,441392000.0,312404000.0,,
Net Interest Income,-55797000.0,-50471000.0,-42757000.0,-52713000.0,-41764000.0,,
Interest Expense,59579000.0,54312000.0,56344000.0,59950000.0,45321000.0,,
Interest Income,3782000.0,3841000.0,13587000.0,7237000.0,3557000.0,,
Normalized Income,236727913.298789,147695673.0,308250312.405421,294066216.0,188961006.0,,
Net Income From Continuing And Discontinued Operation,229250000.0,144258000.0,305120000.0,293185000.0,188159000.0,,
Total Expenses,6406966000.0,6002825000.0,6112048000.0,6074897000.0,5294626000.0,,
Total Operating Income As Reported,370282000.0,239081000.0,452723000.0,431161000.0,307230000.0,,
Diluted Average Shares,,150964000.0,150618000.0,150556000.0,149788000.0,149350000.0,
Basic Average Shares,,148274000.0,147791000.0,147394000.0,146580000.0,145936000.0,
Diluted EPS,,0.96,2.03,1.95,1.26,0.79,
Basic EPS,,0.97,2.06,1.99,1.28,0.81,
Diluted NI Availto Com Stockholders,229250000.0,144258000.0,305120000.0,293185000.0,188159000.0,,
Net Income Common Stockholders,229250000.0,144258000.0,305120000.0,293185000.0,188159000.0,,
Net Income,229250000.0,144258000.0,305120000.0,293185000.0,188159000.0,,
Minority Interests,-4273000.0,-4711000.0,-5167000.0,-5836000.0,-3725000.0,,
Net Income Including Noncontrolling Interests,233523000.0,148969000.0,310287000.0,299021000.0,191884000.0,,
Net Income Continuous Operations,233523000.0,148969000.0,310287000.0,299021000.0,191884000.0,,
Tax Provision,85100000.0,39880000.0,106031000.0,82421000.0,75199000.0,,
Pretax Income,318623000.0,188849000.0,416318000.0,381442000.0,267083000.0,,
Other Income Expense,8379000.0,8811000.0,17701000.0,15885000.0,9086000.0,,
Other Non Operating Income Expenses,4138000.0,239000.0,6352000.0,2994000.0,1617000.0,,
Special Income Charges,-10203000.0,-4357000.0,-4200000.0,-1124000.0,-1117000.0,,
Impairment Of Capital Assets,,,,,,,0.0
Restructuring And Mergern Acquisition,10203000.0,4357000.0,4200000.0,1124000.0,1117000.0,,
Earnings From Equity Interest,14444000.0,12929000.0,15549000.0,14015000.0,8586000.0,,
Net Non Operating Interest Income Expense,-55797000.0,-50471000.0,-42757000.0,-52713000.0,-41764000.0,,
Interest Expense Non Operating,59579000.0,54312000.0,56344000.0,59950000.0,45321000.0,,
Interest Income Non Operating,3782000.0,3841000.0,13587000.0,7237000.0,3557000.0,,
Operating Income,366041000.0,230509000.0,441374000.0,418270000.0,299761000.0,,
Operating Expense,641533000.0,603528000.0,621992000.0,594300000.0,511570000.0,,
Depreciation Amortization Depletion Income Statement,113178000.0,109562000.0,115812000.0,110422000.0,79214000.0,,
Depreciation And Amortization In Income Statement,113178000.0,109562000.0,115812000.0,110422000.0,79214000.0,,
Amortization,113178000.0,109562000.0,115812000.0,110422000.0,79214000.0,,
Amortization Of Intangibles Income Statement,113178000.0,109562000.0,115812000.0,110422000.0,79214000.0,,
Selling General And Administration,528355000.0,493966000.0,506180000.0,483878000.0,432356000.0,,
Gross Profit,1007574000.0,834037000.0,1063366000.0,1012570000.0,811331000.0,,
Cost Of Revenue,5765433000.0,5399297000.0,5490056000.0,5480597000.0,4783056000.0,,
Total Revenue,6773007000.0,6233334000.0,6553422000.0,6493167000.0,5594387000.0,,
Operating Revenue,6773007000.0,6233334000.0,6553422000.0,6493167000.0,5594387000.0,,
