,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.21,0.0,0.0,
Normalized EBITDA,-207994.0,-210596.0,-578147.0,-223640.0,-458376.0,
Net Income From Continuing Operation Net Minority Interest,248075.0,594319.0,356169.0,719618.0,450979.0,
EBITDA,-207994.0,-210596.0,-578147.0,-223640.0,-458376.0,
EBIT,-207994.0,-210596.0,-578147.0,-223640.0,-458376.0,
Net Interest Income,456069.0,804915.0,934316.0,943258.0,909355.0,
Interest Income,456069.0,804915.0,934316.0,943258.0,909355.0,
Normalized Income,248075.0,594319.0,356169.0,719618.0,450979.0,
Net Income From Continuing And Discontinued Operation,248075.0,594319.0,356169.0,719618.0,450979.0,
Total Expenses,207994.0,210596.0,578147.0,223640.0,458376.0,
Total Operating Income As Reported,-207994.0,-210596.0,-578147.0,-1491834.0,458376.0,
Diluted Average Shares,4625370.0,7343938.0,8932000.0,,8932000.0,6239275.0
Basic Average Shares,2032000.0,2023000.0,8932000.0,,2032000.0,1917297.0
Diluted EPS,0.16,0.080926,0.039876,,0.08,0.053025
Basic EPS,0.16,0.293781,0.039876,,0.08,0.172555
Diluted NI Availto Com Stockholders,248075.0,594319.0,356169.0,719618.0,450979.0,
Net Income Common Stockholders,248075.0,594319.0,356169.0,719618.0,450979.0,
Net Income,248075.0,594319.0,356169.0,719618.0,450979.0,
Net Income Including Noncontrolling Interests,248075.0,594319.0,356169.0,719618.0,450979.0,
Net Income Continuous Operations,248075.0,594319.0,356169.0,719618.0,450979.0,
Tax Provision,0.0,0.0,,0.0,0.0,0.0
Pretax Income,248075.0,594319.0,356169.0,719618.0,450979.0,
Net Non Operating Interest Income Expense,456069.0,804915.0,934316.0,943258.0,909355.0,
Interest Income Non Operating,456069.0,804915.0,934316.0,943258.0,909355.0,
Operating Income,-207994.0,-210596.0,-578147.0,-223640.0,-458376.0,
Operating Expense,207994.0,210596.0,578147.0,223640.0,458376.0,
Other Operating Expenses,207994.0,210596.0,578147.0,223640.0,458376.0,
Total Revenue,0.0,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,
