,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.24302,0.237268,0.234,0.231269,0.239873,
Normalized EBITDA,62984000.0,55361000.0,63007000.0,74908000.0,52925000.0,
Net Income From Continuing Operation Net Minority Interest,44761000.0,39643000.0,45637000.0,56780000.0,43721000.0,
Reconciled Depreciation,5484000.0,4784000.0,5140000.0,5393000.0,-5410000.0,
Reconciled Cost Of Revenue,200421000.0,168100000.0,181851000.0,207041000.0,188234000.0,
EBITDA,62984000.0,55361000.0,63007000.0,74908000.0,52925000.0,
EBIT,57500000.0,50577000.0,57867000.0,69515000.0,52925000.0,
Net Interest Income,1900000.0,1400000.0,,,,1800000.0
Interest Income,1900000.0,1400000.0,,,,1800000.0
Normalized Income,44761000.0,39643000.0,45637000.0,56780000.0,43721000.0,
Net Income From Continuing And Discontinued Operation,44761000.0,39643000.0,45637000.0,56780000.0,43721000.0,
Total Expenses,256129000.0,216473000.0,233335000.0,259958000.0,244390000.0,
Total Operating Income As Reported,57500000.0,50577000.0,57867000.0,69515000.0,52925000.0,
Diluted Average Shares,,93691000.0,93686000.0,93667000.0,,93640000.0
Basic Average Shares,,93617000.0,93613000.0,93569000.0,,93454000.0
Diluted EPS,,0.42,0.49,0.61,,0.42
Basic EPS,,0.42,0.49,0.61,,0.42
Diluted NI Availto Com Stockholders,44761000.0,39643000.0,45637000.0,56780000.0,43721000.0,
Net Income Common Stockholders,44761000.0,39643000.0,45637000.0,56780000.0,43721000.0,
Net Income,44761000.0,39643000.0,45637000.0,56780000.0,43721000.0,
Net Income Including Noncontrolling Interests,44761000.0,39643000.0,45637000.0,56780000.0,43721000.0,
Net Income Continuous Operations,44761000.0,39643000.0,45637000.0,56780000.0,43721000.0,
Tax Provision,14370000.0,12332000.0,13959000.0,17082000.0,13797000.0,
Pretax Income,59131000.0,51975000.0,59596000.0,73862000.0,57518000.0,
Other Income Expense,-269000.0,-2000.0,1729000.0,4347000.0,10393000.0,
Other Non Operating Income Expenses,-269000.0,-2000.0,1729000.0,4347000.0,10393000.0,
Net Non Operating Interest Income Expense,1900000.0,1400000.0,,,,1800000.0
Interest Income Non Operating,1900000.0,1400000.0,,,,1800000.0
Operating Income,57500000.0,50577000.0,57867000.0,69515000.0,52925000.0,
Operating Expense,55708000.0,48373000.0,51484000.0,52917000.0,56156000.0,
Selling General And Administration,55708000.0,48373000.0,51484000.0,52917000.0,56156000.0,
Gross Profit,113208000.0,98950000.0,109351000.0,122432000.0,109081000.0,
Cost Of Revenue,200421000.0,168100000.0,181851000.0,207041000.0,188234000.0,
Total Revenue,313629000.0,267050000.0,291202000.0,329473000.0,297315000.0,
Operating Revenue,313629000.0,267050000.0,291202000.0,329473000.0,297315000.0,
