,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.255916,0.253,0.16598,0.22,0.218336
Normalized EBITDA,15382000.0,14543000.0,16447000.0,23685000.0,31757000.0
Net Income From Continuing Operation Net Minority Interest,8458000.0,8065000.0,10532000.0,15425000.0,20514000.0
Reconciled Depreciation,3721000.0,3657000.0,3435000.0,3664000.0,3465000.0
Reconciled Cost Of Revenue,179446000.0,191707000.0,188449000.0,272245000.0,320373000.0
EBITDA,15382000.0,14543000.0,16447000.0,23685000.0,31757000.0
EBIT,11661000.0,10886000.0,13012000.0,20021000.0,28292000.0
Net Interest Income,-294000.0,-95000.0,-384000.0,-251000.0,-2048000.0
Interest Expense,294000.0,95000.0,384000.0,251000.0,2048000.0
Normalized Income,8458000.0,8065000.0,10532000.0,15425000.0,20514000.0
Net Income From Continuing And Discontinued Operation,8458000.0,8065000.0,10532000.0,15425000.0,20514000.0
Total Expenses,202850000.0,214967000.0,208129000.0,294571000.0,343146000.0
Diluted Average Shares,11599964.0,11613746.0,11601000.0,11596000.0,11549885.0
Basic Average Shares,11458754.0,11449893.0,11439000.0,11447000.0,11461141.0
Diluted EPS,0.73,0.69,0.91,1.33,1.78
Basic EPS,0.74,0.7,0.92,1.35,1.79
Diluted NI Availto Com Stockholders,8458000.0,8065000.0,10532000.0,15425000.0,20514000.0
Net Income Common Stockholders,8458000.0,8065000.0,10532000.0,15425000.0,20514000.0
Net Income,8458000.0,8065000.0,10532000.0,15425000.0,20514000.0
Net Income Including Noncontrolling Interests,8458000.0,8065000.0,10532000.0,15425000.0,20514000.0
Net Income Continuous Operations,8458000.0,8065000.0,10532000.0,15425000.0,20514000.0
Tax Provision,2909000.0,2726000.0,2096000.0,4345000.0,5730000.0
Pretax Income,11367000.0,10791000.0,12628000.0,19770000.0,26244000.0
Other Income Expense,479000.0,202000.0,-766000.0,321000.0,-13000.0
Other Non Operating Income Expenses,479000.0,202000.0,-766000.0,321000.0,-13000.0
Net Non Operating Interest Income Expense,-294000.0,-95000.0,-384000.0,-251000.0,-2048000.0
Interest Expense Non Operating,294000.0,95000.0,384000.0,251000.0,2048000.0
Operating Income,11182000.0,10684000.0,13778000.0,19700000.0,28305000.0
Operating Expense,23404000.0,23260000.0,19680000.0,22326000.0,22773000.0
Selling General And Administration,23404000.0,23260000.0,19680000.0,22326000.0,22773000.0
Gross Profit,34586000.0,33944000.0,33458000.0,42026000.0,51078000.0
Cost Of Revenue,179446000.0,191707000.0,188449000.0,272245000.0,320373000.0
Total Revenue,214032000.0,225651000.0,221907000.0,314271000.0,371451000.0
Operating Revenue,214032000.0,225651000.0,221907000.0,314271000.0,371451000.0
