,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.104065,0.21,0.21,0.248241,0.132791,,
Net Income From Continuing Operation Net Minority Interest,16289000.0,15875000.0,20464000.0,7371000.0,18129000.0,,
Net Interest Income,-8678000.0,19181000.0,20097000.0,19862000.0,-9546000.0,,
Interest Expense,8678000.0,8243000.0,9565000.0,10374000.0,9546000.0,,
Interest Income,0.0,27424000.0,29662000.0,30236000.0,0.0,,
Normalized Income,16289000.0,15875000.0,20464000.0,7371000.0,18129000.0,,
Net Income From Continuing And Discontinued Operation,16289000.0,15875000.0,20464000.0,7371000.0,18129000.0,,
Diluted Average Shares,47047888.0,44680084.0,40232637.0,40167984.0,40166664.0,,
Basic Average Shares,47047888.0,44680084.0,40232637.0,40167984.0,40166664.0,,
Diluted EPS,0.35,0.36,0.508592,0.18,0.45,,
Basic EPS,0.35,0.36,1.37,0.18,0.45,,
Diluted NI Availto Com Stockholders,16289000.0,15875000.0,20464000.0,7371000.0,18129000.0,,
Net Income Common Stockholders,16289000.0,15875000.0,20464000.0,7371000.0,18129000.0,,
Net Income,16289000.0,15875000.0,20464000.0,7371000.0,18129000.0,,
Net Income Including Noncontrolling Interests,16289000.0,15875000.0,20464000.0,7371000.0,18129000.0,,
Net Income Continuous Operations,16289000.0,15875000.0,20464000.0,7371000.0,18129000.0,,
Tax Provision,1892000.0,-1370000.0,-5044000.0,2434000.0,2776000.0,,
Pretax Income,18181000.0,14505000.0,15420000.0,9805000.0,20905000.0,,
Gain On Sale Of Security,4779000.0,-21066000.0,-8026000.0,25372000.0,314000.0,,
Operating Expense,1321000.0,1201000.0,1154000.0,1447000.0,1265000.0,,
Other Operating Expenses,,,-2772000.0,-2206000.0,-2361000.0,-2111000.0,-2011000.0
Selling General And Administration,1321000.0,1201000.0,3926000.0,3653000.0,3626000.0,,
General And Administrative Expense,1321000.0,1201000.0,3926000.0,3653000.0,3626000.0,,
Total Revenue,19502000.0,15706000.0,16574000.0,11252000.0,22170000.0,,
Operating Revenue,19502000.0,15706000.0,16574000.0,11252000.0,22170000.0,,
