,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.211875,0.230638,0.030168,0.163924,0.265393
Normalized EBITDA,2958000000.0,3676000000.0,2273000000.0,2909000000.0,3748000000.0
Net Income From Continuing Operation Net Minority Interest,1289000000.0,1804000000.0,869000000.0,1245000000.0,1734000000.0
Reconciled Depreciation,564000000.0,555000000.0,549000000.0,520000000.0,553000000.0
Reconciled Cost Of Revenue,7570000000.0,7609000000.0,5037000000.0,6818000000.0,7848000000.0
EBITDA,2958000000.0,3676000000.0,2273000000.0,2909000000.0,3748000000.0
EBIT,2394000000.0,3121000000.0,1724000000.0,2389000000.0,3195000000.0
Net Interest Income,-794000000.0,-784000000.0,-829000000.0,-870000000.0,-840000000.0
Interest Expense,794000000.0,784000000.0,829000000.0,870000000.0,840000000.0
Normalized Income,1289000000.0,1804000000.0,869000000.0,1245000000.0,1734000000.0
Net Income From Continuing And Discontinued Operation,1289000000.0,1804000000.0,869000000.0,1245000000.0,1734000000.0
Total Expenses,9624000000.0,9642000000.0,6784000000.0,8684000000.0,9957000000.0
Diluted Average Shares,271400000.0,271800000.0,272300000.0,273600000.0,275600000.0
Basic Average Shares,270700000.0,271100000.0,271600000.0,272600000.0,274500000.0
Diluted EPS,4.75,6.64,3.19,4.55,6.29
Basic EPS,4.76,6.65,3.2,4.57,6.32
Diluted NI Availto Com Stockholders,1289000000.0,1804000000.0,869000000.0,1245000000.0,1734000000.0
Net Income Common Stockholders,1289000000.0,1804000000.0,869000000.0,1245000000.0,1734000000.0
Net Income,1289000000.0,1804000000.0,869000000.0,1245000000.0,1734000000.0
Minority Interests,18000000.0,3000000.0,2000000.0,3000000.0,3000000.0
Net Income Including Noncontrolling Interests,1271000000.0,1801000000.0,867000000.0,1242000000.0,1731000000.0
Net Income Continuous Operations,1271000000.0,1801000000.0,867000000.0,1242000000.0,1731000000.0
Earnings From Equity Interest Net Of Tax,10000000.0,3000000.0,-1000000.0,-28000000.0,1000000.0
Tax Provision,339000000.0,539000000.0,27000000.0,249000000.0,625000000.0
Pretax Income,1600000000.0,2337000000.0,895000000.0,1519000000.0,2355000000.0
Other Income Expense,235000000.0,238000000.0,246000000.0,246000000.0,304000000.0
Other Non Operating Income Expenses,235000000.0,238000000.0,246000000.0,171000000.0,304000000.0
Net Non Operating Interest Income Expense,-794000000.0,-784000000.0,-829000000.0,-870000000.0,-840000000.0
Interest Expense Non Operating,794000000.0,784000000.0,829000000.0,870000000.0,840000000.0
Operating Income,2159000000.0,2883000000.0,1478000000.0,2143000000.0,2891000000.0
Operating Expense,2054000000.0,2033000000.0,1747000000.0,1866000000.0,2109000000.0
Other Operating Expenses,281000000.0,287000000.0,249000000.0,-533000000.0,264000000.0
Research And Development,556000000.0,549000000.0,526000000.0,626000000.0,567000000.0
Selling General And Administration,1217000000.0,1197000000.0,972000000.0,899000000.0,1278000000.0
Gross Profit,4213000000.0,4916000000.0,3225000000.0,4009000000.0,5000000000.0
Cost Of Revenue,7570000000.0,7609000000.0,5037000000.0,6818000000.0,7848000000.0
Total Revenue,11783000000.0,12525000000.0,8262000000.0,10827000000.0,12848000000.0
Operating Revenue,11783000000.0,12525000000.0,8262000000.0,10827000000.0,12848000000.0
