,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.037815,0.01216,0.069938,0.04481,0.015945
Net Income From Continuing Operation Net Minority Interest,20559000.0,32576000.0,24828000.0,22020000.0,19440000.0
Net Interest Income,32749000.0,29927000.0,33084000.0,34158000.0,38609000.0
Interest Expense,22176000.0,20196000.0,21097000.0,22563000.0,20774000.0
Interest Income,54925000.0,50123000.0,54181000.0,56721000.0,59383000.0
Normalized Income,20559000.0,32576000.0,24828000.0,22020000.0,19440000.0
Net Income From Continuing And Discontinued Operation,20559000.0,32576000.0,24828000.0,22020000.0,19440000.0
Diluted Average Shares,105232015.0,105373382.0,105523884.0,105715277.0,105898271.0
Basic Average Shares,105232015.0,105373382.0,105523884.0,105715277.0,105898271.0
Diluted EPS,0.2,0.31,0.24,0.21,0.18
Basic EPS,0.2,0.31,0.24,0.21,0.18
Diluted NI Availto Com Stockholders,20559000.0,32576000.0,24828000.0,22020000.0,19440000.0
Net Income Common Stockholders,20559000.0,32576000.0,24828000.0,22020000.0,19440000.0
Net Income,20559000.0,32576000.0,24828000.0,22020000.0,19440000.0
Net Income Including Noncontrolling Interests,20559000.0,32576000.0,24828000.0,22020000.0,19440000.0
Net Income Continuous Operations,20559000.0,32576000.0,24828000.0,22020000.0,19440000.0
Tax Provision,808000.0,401000.0,1867000.0,1033000.0,315000.0
Pretax Income,21367000.0,32977000.0,26695000.0,23053000.0,19755000.0
Gain On Sale Of Security,-15944000.0,-2518000.0,-12402000.0,-11402000.0,7921000.0
Operating Expense,2294000.0,1694000.0,2386000.0,2427000.0,2343000.0
Selling General And Administration,2294000.0,1694000.0,2386000.0,2427000.0,2343000.0
General And Administrative Expense,2294000.0,1694000.0,2386000.0,2427000.0,2343000.0
Total Revenue,23661000.0,34671000.0,29081000.0,25480000.0,22098000.0
Operating Revenue,23661000.0,34671000.0,29081000.0,25480000.0,22098000.0
