,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.21,0.0,0.21,0.012346,0.21,,
Normalized EBITDA,-1136000.0,-779000.0,-1654000.0,179000.0,-619000.0,,
Net Income From Continuing Operation Net Minority Interest,-689000.0,-739000.0,-1883000.0,80000.0,-421000.0,,
Reconciled Depreciation,172000.0,173000.0,170000.0,98000.0,96000.0,,
Reconciled Cost Of Revenue,3029000.0,3423000.0,3048000.0,4444000.0,4090000.0,,
EBITDA,-1136000.0,-779000.0,-1654000.0,179000.0,-619000.0,,
EBIT,-1308000.0,-952000.0,-1824000.0,81000.0,-715000.0,,
Net Interest Income,537000.0,279000.0,283000.0,323000.0,334000.0,,
Interest Expense,,,0.0,0.0,0.0,0.0,6000.0
Interest Income,537000.0,279000.0,283000.0,323000.0,334000.0,,
Normalized Income,-689000.0,-739000.0,-1883000.0,80000.0,-421000.0,,
Net Income From Continuing And Discontinued Operation,-689000.0,-739000.0,-1883000.0,80000.0,-421000.0,,
Total Expenses,6866000.0,7334000.0,7399000.0,8030000.0,7757000.0,,
Total Operating Income As Reported,-1308000.0,-952000.0,-2116000.0,-179000.0,-715000.0,,
Diluted Average Shares,30868000.0,30718000.0,30708000.0,30848000.0,30482000.0,,
Basic Average Shares,30868000.0,30718000.0,30708000.0,30708000.0,30482000.0,,
Diluted EPS,-0.02,-0.02,-0.06,0.002593,-0.01,,
Basic EPS,-0.02,-0.02,-0.06,0.002605,-0.01,,
Diluted NI Availto Com Stockholders,-689000.0,-739000.0,-1883000.0,80000.0,-421000.0,,
Net Income Common Stockholders,-689000.0,-739000.0,-1883000.0,80000.0,-421000.0,,
Net Income,-689000.0,-739000.0,-1883000.0,80000.0,-421000.0,,
Net Income Including Noncontrolling Interests,-689000.0,-739000.0,-1883000.0,80000.0,-421000.0,,
Net Income Continuous Operations,-689000.0,-739000.0,-1883000.0,80000.0,-421000.0,,
Tax Provision,4000.0,0.0,59000.0,1000.0,6000.0,,
Pretax Income,-685000.0,-739000.0,-1824000.0,81000.0,-415000.0,,
Other Income Expense,86000.0,-66000.0,9000.0,-63000.0,-34000.0,,
Other Non Operating Income Expenses,86000.0,-66000.0,9000.0,-63000.0,-34000.0,,
Net Non Operating Interest Income Expense,537000.0,279000.0,283000.0,323000.0,334000.0,,
Interest Expense Non Operating,,,0.0,0.0,0.0,0.0,6000.0
Interest Income Non Operating,537000.0,279000.0,283000.0,323000.0,334000.0,,
Operating Income,-1308000.0,-952000.0,-2116000.0,-179000.0,-715000.0,,
Operating Expense,3837000.0,3911000.0,4351000.0,3586000.0,3667000.0,,
Research And Development,490000.0,570000.0,405000.0,361000.0,422000.0,,
Selling General And Administration,3347000.0,3341000.0,3946000.0,3225000.0,3245000.0,,
Gross Profit,2529000.0,2959000.0,2235000.0,3407000.0,2952000.0,,
Cost Of Revenue,3029000.0,3423000.0,3048000.0,4444000.0,4090000.0,,
Total Revenue,5558000.0,6382000.0,5283000.0,7851000.0,7042000.0,,
Operating Revenue,5558000.0,6382000.0,5283000.0,7851000.0,7042000.0,,
