quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,0.28,0.24,0.04,0.1667
2025-03-31,0.19,0.188,0.0,0.0106
2024-12-31,0.2,0.135,0.07,0.48150003
2024-09-30,0.21,0.1675,0.04,0.25370002
