quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2021-09-30,0.8904,1.11,-0.22,-0.19780001
2021-06-30,0.3552,0.74,-0.38,-0.52
2021-03-31,-2.8351,-2.55,-0.29,-0.1118
