Date,Close,High,Low,Open,Volume,"('Close', 'TDIC')","('High', 'TDIC')","('Low', 'TDIC')","('Open', 'TDIC')","('Volume', 'TDIC')"
2025-07-23,4.380000114440918,6.099999904632568,3.3499999046325684,3.5,1985000.0,,,,,
2025-07-24,4.21999979019165,4.889999866485596,3.4800000190734863,3.799999952316284,706300.0,,,,,
2025-07-25,3.75,4.400000095367432,3.5299999713897705,3.990000009536743,642700.0,,,,,
2025-07-28,4.110000133514404,4.300000190734863,3.7799999713897705,4.0,294200.0,,,,,
2025-07-29,4.099999904632568,4.190000057220459,3.940000057220459,4.019999980926514,53500.0,,,,,
2025-07-30,4.269999980926514,4.389999866485596,4.010000228881836,4.010000228881836,47900.0,,,,,
2025-07-31,3.650000095367432,4.269999980926514,3.611000061035156,4.079999923706055,54000.0,,,,,
2025-08-01,3.5,3.704999923706055,3.109999895095825,3.509999990463257,50600.0,,,,,
2025-08-04,3.869999885559082,3.9800000190734863,3.430000066757202,3.4600000381469727,21400.0,,,,,
2025-08-05,3.880000114440918,3.880000114440918,3.575000047683716,3.690000057220459,36900.0,,,,,
2025-08-06,3.690000057220459,3.880000114440918,3.4600000381469727,3.6540000438690186,12100.0,,,,,
2025-08-07,3.7300000190734863,3.9079999923706055,3.559999942779541,3.700000047683716,12300.0,,,,,
2025-08-08,3.740000009536743,3.880000114440918,3.5199999809265137,3.5199999809265137,13900.0,,,,,
2025-08-11,3.700000047683716,3.7699999809265137,3.549999952316284,3.549999952316284,20400.0,,,,,
2025-08-12,3.869999885559082,3.900000095367432,3.400000095367432,3.5999999046325684,100400.0,,,,,
2025-08-13,3.75,4.0,3.400000095367432,3.900000095367432,25500.0,,,,,
2025-08-14,3.890000104904175,3.9700000286102295,3.4820001125335693,3.4820001125335693,14000.0,,,,,
2025-08-15,4.0,4.179999828338623,3.849999904632568,3.890000104904175,13700.0,,,,,
2025-08-18,3.990000009536743,4.0,3.849999904632568,3.910000085830689,12100.0,,,,,
2025-08-19,3.9600000381469727,4.099999904632568,3.829999923706055,3.829999923706055,44300.0,,,,,
2025-08-20,3.9800000190734863,3.990000009536743,3.829999923706055,3.900000095367432,7500.0,,,,,
2025-08-21,3.9700000286102295,4.0,3.865000009536743,3.990000009536743,5100.0,,,,,
