Date,Close,High,Low,Open,Volume,"('Close', 'ENB')","('High', 'ENB')","('Low', 'ENB')","('Open', 'ENB')","('Volume', 'ENB')"
2024-06-03,33.7400016784668,33.8974471480661,33.64738711199888,33.65664715543798,4811700.0,,,,,
2024-06-04,33.36954116821289,33.59182110608066,33.1843120085128,33.55477386093274,4853700.0,,,,,
2024-06-05,33.601078033447266,33.62886523124007,33.40658531399478,33.517723506107714,4871200.0,,,,,
2024-06-06,33.51771926879883,33.777046394970775,33.40658109073598,33.44362832776326,4191700.0,,,,,
2024-06-07,33.119468688964844,33.35100860957092,33.07316141144739,33.341748567274955,4015000.0,,,,,
2024-06-10,33.0361213684082,33.16578671991241,32.96203041485395,33.16578671991241,4519100.0,,,,,
2024-06-11,32.85089111328125,32.95276926238446,32.693442101116446,32.95276926238446,4648900.0,,,,,
2024-06-12,33.017601013183594,33.341755556777784,32.94350652720804,33.19357011784622,5115900.0,,,,,
2024-06-13,32.758270263671875,32.952766501582744,32.67491574257269,32.90645568640163,3019100.0,,,,,
2024-06-14,32.5267333984375,32.64713516986971,32.40633516002478,32.628611548647875,6904200.0,,,,,
2024-06-17,32.276668548583984,32.48042484103237,32.184053979118005,32.43411755629938,3358600.0,,,,,
2024-06-18,32.2303581237793,32.406330734847465,32.15626718202876,32.27666540400076,5755300.0,,,,,
2024-06-20,32.18405532836914,32.39707167348666,32.04512993532665,32.22110257091641,4787900.0,,,,,
2024-06-21,32.13774871826172,32.29519420287289,32.05439418728534,32.276670581209295,4597300.0,,,,,
2024-06-24,32.5267333984375,32.61008792742603,32.11922433061551,32.23036252492705,5119800.0,,,,,
2024-06-25,32.41559600830078,32.57304149306313,32.267410567869334,32.52673420536947,5242400.0,,,,,
2024-06-26,32.73048400878906,32.786054862793804,32.14700240730538,32.295187818299134,4978600.0,,,,,
2024-06-27,32.65639114379883,32.813840138050864,32.57303662519929,32.813840138050864,3579600.0,,,,,
2024-06-28,32.9620246887207,33.01759554399736,32.7119611395042,32.758268419058595,4374200.0,,,,,
2024-07-01,32.665653228759766,33.25839487484817,32.65638965321651,33.02685494853121,3513700.0,,,,,
2024-07-02,33.16577911376953,33.221346432936684,32.776790214505645,32.80457387408922,4763200.0,,,,,
2024-07-03,33.23987579345703,33.56403385435417,33.165784844093274,33.29544665524438,2220400.0,,,,,
2024-07-05,32.980552673339844,33.31397078310204,32.9064581898285,33.27692354134637,2954500.0,,,,,
2024-07-08,32.76753234863281,32.999072281924136,32.69343787413047,32.98054866329855,2843400.0,,,,,
2024-07-09,32.76753234863281,32.80457605286498,32.508205220893615,32.73974515418493,2650400.0,,,,,
2024-07-10,33.12873458862305,33.13799463156871,32.73048561459757,32.7860564713287,2303900.0,,,,,
2024-07-11,33.15652084350586,33.30470627335876,33.091689938758925,33.20282812789377,3930100.0,,,,,
2024-07-12,33.43436813354492,33.52698623548049,33.11947365300266,33.30470632385446,2917700.0,,,,,
2024-07-15,33.14726257324219,33.53624802253485,33.11021533054207,33.52698797836958,3119800.0,,,,,
2024-07-16,33.351009368896484,33.4528875015657,33.045378503907735,33.25839481175296,2857600.0,,,,,
2024-07-17,33.56403350830078,33.69369531811504,33.25839907115059,33.25839907115059,5535600.0,,,,,
2024-07-18,33.59181594848633,33.75852499303617,33.39732324085124,33.48993780648151,5934600.0,,,,,
