Date,Close,High,Low,Open,Volume,"('Close', 'LITS')","('High', 'LITS')","('Low', 'LITS')","('Open', 'LITS')","('Volume', 'LITS')"
2024-06-03,2.9100000858306885,2.9200000762939453,2.8299999237060547,2.9100000858306885,30200.0,,,,,
2024-06-04,2.799999952316284,2.990000009536743,2.7300000190734863,2.880000114440918,112400.0,,,,,
2024-06-05,2.880000114440918,2.900000095367432,2.7799999713897705,2.859999895095825,48900.0,,,,,
2024-06-06,2.819999933242798,2.9100000858306885,2.7799999713897705,2.900000095367432,35300.0,,,,,
2024-06-07,2.869999885559082,2.890000104904175,2.789999961853028,2.859999895095825,6500.0,,,,,
2024-06-10,2.8499999046325684,2.950000047683716,2.7799999713897705,2.7799999713897705,13400.0,,,,,
2024-06-11,2.809999942779541,2.9100000858306885,2.789999961853028,2.819999933242798,32300.0,,,,,
2024-06-12,2.869999885559082,2.869999885559082,2.809999942779541,2.809999942779541,6800.0,,,,,
2024-06-13,2.930000066757202,2.9600000381469727,2.8299999237060547,2.890000104904175,12600.0,,,,,
2024-06-14,2.900000095367432,2.9200000762939453,2.8499999046325684,2.880000114440918,4200.0,,,,,
2024-06-17,2.880000114440918,2.9100000858306885,2.819999933242798,2.859999895095825,7800.0,,,,,
2024-06-18,2.819999933242798,2.859999895095825,2.819999933242798,2.859999895095825,10100.0,,,,,
2024-06-20,2.8399999141693115,2.869999885559082,2.7799999713897705,2.819999933242798,5100.0,,,,,
2024-06-21,2.859999895095825,2.859999895095825,2.789999961853028,2.789999961853028,8100.0,,,,,
2024-06-24,2.7799999713897705,2.869999885559082,2.7799999713897705,2.819999933242798,15300.0,,,,,
2024-06-25,2.859999895095825,2.869999885559082,2.7799999713897705,2.7799999713897705,19000.0,,,,,
2024-06-26,2.859999895095825,2.9100000858306885,2.8299999237060547,2.859999895095825,7500.0,,,,,
2024-06-27,2.950000047683716,2.950000047683716,2.8299999237060547,2.8299999237060547,17900.0,,,,,
2024-06-28,2.9100000858306885,2.990000009536743,2.900000095367432,2.950000047683716,15500.0,,,,,
2024-07-01,2.8499999046325684,2.900000095367432,2.8399999141693115,2.8399999141693115,15900.0,,,,,
2024-07-02,2.799999952316284,2.859999895095825,2.7799999713897705,2.8399999141693115,44600.0,,,,,
