Date,Close,High,Low,Open,Volume,"('Close', 'ASPI')","('High', 'ASPI')","('Low', 'ASPI')","('Open', 'ASPI')","('Volume', 'ASPI')"
2024-06-03,4.75,5.199999809265137,4.630000114440918,5.050000190734863,1002600.0,,,,,
2024-06-04,4.579999923706055,4.829999923706055,4.460000038146973,4.730000019073486,635200.0,,,,,
2024-06-05,4.420000076293945,4.599999904632568,4.375,4.590000152587891,554200.0,,,,,
2024-06-06,4.309999942779541,4.53000020980835,4.21999979019165,4.510000228881836,763400.0,,,,,
2024-06-07,4.010000228881836,4.369999885559082,3.920000076293945,4.21999979019165,1140400.0,,,,,
2024-06-10,3.990000009536743,4.059999942779541,3.813999891281128,3.920000076293945,700700.0,,,,,
2024-06-11,3.7100000381469727,4.059999942779541,3.619999885559082,3.920000076293945,930100.0,,,,,
2024-06-12,4.170000076293945,4.289999961853027,3.829999923706055,3.829999923706055,666400.0,,,,,
2024-06-13,4.110000133514404,4.27400016784668,3.9800000190734863,4.139999866485596,490300.0,,,,,
2024-06-14,3.900000095367432,4.072999954223633,3.880000114440918,3.990000009536743,565200.0,,,,,
2024-06-17,3.7699999809265137,3.984999895095825,3.650000095367432,3.910000085830689,512700.0,,,,,
2024-06-18,3.5899999141693115,3.765000104904175,3.4600000381469727,3.680000066757202,938100.0,,,,,
2024-06-20,3.400000095367432,3.619999885559082,3.3399999141693115,3.5,784900.0,,,,,
2024-06-21,3.150000095367432,3.4800000190734863,3.109999895095825,3.430000066757202,1332600.0,,,,,
2024-06-24,3.150000095367432,3.220000028610229,3.039999961853028,3.140000104904175,976000.0,,,,,
2024-06-25,3.059999942779541,3.2799999713897705,3.039999961853028,3.1700000762939453,953300.0,,,,,
2024-06-26,3.2100000381469727,3.244999885559082,2.9100000858306885,3.049999952316284,1199700.0,,,,,
2024-06-27,3.039999961853028,3.359999895095825,2.970000028610229,3.25,1523600.0,,,,,
2024-06-28,3.059999942779541,3.140000104904175,2.944999933242798,3.049999952316284,6471900.0,,,,,
2024-07-01,3.2799999713897705,3.390000104904175,2.9600000381469727,3.130000114440918,1646000.0,,,,,
2024-07-02,3.069999933242798,3.2799999713897705,3.049999952316284,3.259999990463257,1147800.0,,,,,
