Date,Close,High,Low,Open,Volume,"('Close', 'KMB')","('High', 'KMB')","('Low', 'KMB')","('Open', 'KMB')","('Volume', 'KMB')"
2024-06-03,127.7817840576172,128.3501720085372,126.70185851463395,127.52600803423258,2184300.0,,,,,
2024-06-04,130.15003967285156,131.33416916054207,128.18912875768302,128.58699453098234,3553400.0,,,,,
2024-06-05,129.6290283203125,130.34898834712112,128.3312269420804,129.93217242732806,1593400.0,,,,,
2024-06-06,129.7805938720703,130.0363698927125,128.74803641185258,129.70480784911317,1791200.0,,,,,
2024-06-07,128.53802490234375,130.25849519117318,128.46155793566436,129.76146720004854,2185200.0,,,,,
2024-06-10,129.48428344726562,130.1437982542139,127.53441231502016,128.03144029171165,1938800.0,,,,,
2024-06-11,129.6563262939453,129.71368745710424,128.4806776793817,129.31223223790442,1910800.0,,,,,
2024-06-12,129.21665954589844,129.76146662728314,128.13658370012078,129.76146662728314,1908700.0,,,,,
2024-06-13,133.26931762695312,133.3840253781881,132.02676942934136,132.67671681981005,3493800.0,,,,,
2024-06-14,133.32667541503906,133.7567893636616,132.31349899183,132.71495423409996,1736300.0,,,,,
2024-06-17,134.24424743652344,134.8368628023784,132.10323063472424,132.4090839273028,2006600.0,,,,,
2024-06-18,135.4103546142578,135.53461527290648,133.91928504881145,134.12956558594715,1433100.0,,,,,
2024-06-20,133.92881774902344,135.91691506458486,133.5082567381917,134.7699397706869,1752900.0,,,,,
2024-06-21,133.30755615234375,134.8177460209222,133.20241588982933,134.38763206866625,3481100.0,,,,,
2024-06-24,133.52740478515625,134.8273142767345,133.25977764729473,133.77592611644565,1468500.0,,,,,
2024-06-25,132.30393981933594,133.70898934694017,132.08410640438464,133.62296947820914,1617300.0,,,,,
2024-06-26,133.02081298828125,133.30756049398536,130.94669554620316,131.6826774077741,1818400.0,,,,,
2024-06-27,133.19287109375,133.56563848633624,132.38042223536706,133.04949004454951,1421900.0,,,,,
2024-06-28,132.0936737060547,133.49872338682843,131.96942763253736,132.92524294818838,4428300.0,,,,,
2024-07-01,131.73046875,134.03397248806476,131.7209012630766,132.99213733427368,2052800.0,,,,,
2024-07-02,131.89295959472656,132.69584095310591,130.9275767995613,131.9025124973558,1726800.0,,,,,
