Date,Close,High,Low,Open,Volume,"('Close', 'ECC')","('High', 'ECC')","('Low', 'ECC')","('Open', 'ECC')","('Volume', 'ECC')"
2024-06-03,7.640184879302978,7.640184879302978,7.602988123296411,7.610426906922436,955000.0,,,,,
2024-06-04,7.640184879302978,7.662502649119275,7.614146653470004,7.662502649119275,1071400.0,,,,,
2024-06-05,7.647624969482422,7.662503958214684,7.632746690219391,7.662503958214684,996900.0,,,,,
2024-06-06,7.736895561218262,7.736895561218262,7.662502757620832,7.67738103455267,1422300.0,,,,,
2024-06-07,7.766653060913086,7.803849818578367,7.714578025863176,7.729457012716946,1574700.0,,,,,
2024-06-10,7.759097576141357,7.781762702237403,7.713766603437898,7.743987011736415,1160800.0,,,,,
2024-06-11,7.721323013305664,7.751543426017739,7.691102600593589,7.736432859405965,802300.0,,,,,
2024-06-12,7.713767528533935,7.743987940456723,7.683547116611147,7.721322811642495,1008300.0,,,,,
2024-06-13,7.6533284187316895,7.713769256113625,7.645773133931043,7.713769256113625,1075800.0,,,,,
2024-06-14,7.638214111328125,7.65332467353498,7.630659550735961,7.645769392431553,896200.0,,,,,
2024-06-17,7.630662441253662,7.6533275726383,7.6231071572882705,7.64577228867291,526200.0,,,,,
2024-06-18,7.630662441253662,7.638217004707518,7.61555187332288,7.638217004707518,639900.0,,,,,
2024-06-20,7.630662441253662,7.64577228867291,7.6231071572882705,7.630662441253662,606100.0,,,,,
2024-06-21,7.60799503326416,7.645770724853169,7.600440471355468,7.630660880524399,545600.0,,,,,
2024-06-24,7.61555004119873,7.630660605494263,7.60044019741456,7.60044019741456,651900.0,,,,,
2024-06-25,7.61555004119873,7.623105323346497,7.607994759050964,7.61555004119873,465800.0,,,,,
2024-06-26,7.61555004119873,7.630660605494263,7.60044019741456,7.630660605494263,691000.0,,,,,
2024-06-27,7.600440979003906,7.623106107266605,7.592885696079194,7.615550824341893,1120200.0,,,,,
2024-06-28,7.592886447906494,7.623106862086249,7.577775880560862,7.623106862086249,1667100.0,,,,,
2024-07-01,7.585330009460449,7.615550419039519,7.577774726937832,7.6079951365169025,1006200.0,,,,,
2024-07-02,7.623105525970459,7.623105525970459,7.57021999055311,7.592885117087491,970900.0,,,,,
2024-07-03,7.668437480926514,7.683548048977238,7.615551933772061,7.630662501822786,570800.0,,,,,
