Date,Close,High,Low,Open,Volume,"('Close', 'IONQ')","('High', 'IONQ')","('Low', 'IONQ')","('Open', 'IONQ')","('Volume', 'IONQ')"
2024-06-03,7.78000020980835,8.319999694824219,7.769999980926514,8.289999961853027,4488800.0,,,,,
2024-06-04,7.710000038146973,7.909999847412109,7.670000076293945,7.78000020980835,3448000.0,,,,,
2024-06-05,7.929999828338623,7.96999979019165,7.699999809265137,7.880000114440918,3083100.0,,,,,
2024-06-06,7.829999923706055,7.869999885559082,7.699999809265137,7.860000133514404,2526400.0,,,,,
2024-06-07,7.860000133514404,8.119999885559082,7.670000076293945,7.710000038146973,3649300.0,,,,,
2024-06-10,8.220000267028809,8.305000305175781,7.739999771118164,7.800000190734863,3626200.0,,,,,
2024-06-11,7.869999885559082,8.130000114440918,7.809999942779541,8.079999923706055,3125400.0,,,,,
2024-06-12,7.949999809265137,8.369999885559082,7.929999828338623,8.15999984741211,4556300.0,,,,,
2024-06-13,7.710000038146973,8.130000114440918,7.590000152587891,8.0,4324500.0,,,,,
2024-06-14,7.699999809265137,7.764999866485596,7.556000232696533,7.590000152587891,2994100.0,,,,,
2024-06-17,7.559999942779541,7.639999866485596,7.295000076293945,7.610000133514404,5442800.0,,,,,
2024-06-18,7.210000038146973,7.409999847412109,7.184000015258789,7.329999923706055,4767600.0,,,,,
2024-06-20,6.800000190734863,7.114999771118164,6.769999980926514,7.099999904632568,7648000.0,,,,,
2024-06-21,6.760000228881836,6.809999942779541,6.329999923706055,6.739999771118164,8500600.0,,,,,
2024-06-24,6.760000228881836,7.090000152587891,6.659999847412109,6.840000152587891,4598500.0,,,,,
2024-06-25,6.590000152587891,6.840000152587891,6.579999923706055,6.829999923706055,3519300.0,,,,,
2024-06-26,6.730000019073486,6.764999866485596,6.53000020980835,6.630000114440918,4537400.0,,,,,
2024-06-27,7.099999904632568,7.150000095367432,6.659999847412109,6.800000190734863,4772300.0,,,,,
2024-06-28,7.03000020980835,7.190000057220459,6.840000152587891,7.179999828338623,13443600.0,,,,,
2024-07-01,6.840000152587891,7.119999885559082,6.789999961853027,7.070000171661377,3906100.0,,,,,
2024-07-02,7.139999866485596,7.179999828338623,6.840000152587891,6.840000152587891,3466700.0,,,,,
2024-07-03,7.170000076293945,7.315000057220459,7.065000057220459,7.139999866485596,2206100.0,,,,,
2024-07-05,7.409999847412109,7.609000205993652,7.0929999351501465,7.199999809265137,4368000.0,,,,,
2024-07-08,7.670000076293945,7.800000190734863,7.494999885559082,7.519999980926514,5026500.0,,,,,
2024-07-09,7.929999828338623,7.945000171661377,7.449999809265137,7.690000057220459,4133400.0,,,,,
