Date,Close,High,Low,Open,Volume,"('Close', 'GNTA')","('High', 'GNTA')","('Low', 'GNTA')","('Open', 'GNTA')","('Volume', 'GNTA')"
2024-05-28,3.400000095367432,3.5,3.200000047683716,3.200000047683716,3400.0,,,,,
2024-05-29,3.5,3.5,3.319999933242798,3.319999933242798,2800.0,,,,,
2024-05-30,3.319999933242798,3.3299999237060547,3.319999933242798,3.3299999237060547,300.0,,,,,
2024-05-31,3.190000057220459,3.490000009536743,3.190000057220459,3.490000009536743,1200.0,,,,,
2024-06-03,3.299999952316284,3.5,3.299999952316284,3.5,1500.0,,,,,
2024-06-04,3.299999952316284,3.299999952316284,3.299999952316284,3.299999952316284,0.0,,,,,
2024-06-05,3.200999975204468,3.299000024795532,3.200000047683716,3.200000047683716,2100.0,,,,,
2024-06-06,3.180000066757202,3.299999952316284,3.180000066757202,3.2100000381469727,3100.0,,,,,
2024-06-07,3.299999952316284,3.299999952316284,3.289999961853028,3.289999961853028,1600.0,,,,,
2024-06-10,3.299999952316284,3.299999952316284,3.299999952316284,3.299999952316284,500.0,,,,,
2024-06-11,3.299999952316284,3.299999952316284,3.150000095367432,3.1700000762939453,1200.0,,,,,
2024-06-12,3.150000095367432,3.1700000762939453,3.150000095367432,3.1700000762939453,1100.0,,,,,
2024-06-13,3.1700000762939453,3.1700000762939453,3.1700000762939453,3.1700000762939453,100.0,,,,,
2024-06-14,3.236999988555908,3.236999988555908,3.1700000762939453,3.1700000762939453,500.0,,,,,
2024-06-17,3.289999961853028,3.299999952316284,3.289999961853028,3.299999952316284,2000.0,,,,,
2024-06-18,3.2249999046325684,3.299999952316284,3.2249999046325684,3.299999952316284,1800.0,,,,,
2024-06-20,3.2249999046325684,3.2249999046325684,3.2249999046325684,3.2249999046325684,0.0,,,,,
2024-06-21,3.0999999046325684,3.200000047683716,3.0999999046325684,3.200000047683716,4400.0,,,,,
2024-06-24,3.3399999141693115,3.430000066757202,3.2699999809265137,3.289999961853028,1900.0,,,,,
