Date,Close,High,Low,Open,Volume,"('Close', 'SKYT')","('High', 'SKYT')","('Low', 'SKYT')","('Open', 'SKYT')","('Volume', 'SKYT')"
2024-06-03,7.519999980926514,7.829999923706055,7.46999979019165,7.730000019073486,386200.0,,,,,
2024-06-04,7.389999866485596,7.46999979019165,7.159999847412109,7.46999979019165,360000.0,,,,,
2024-06-05,7.670000076293945,7.690000057220459,7.260000228881836,7.449999809265137,338600.0,,,,,
2024-06-06,7.860000133514404,7.889999866485596,7.510000228881836,7.650000095367432,232700.0,,,,,
2024-06-07,7.619999885559082,7.920000076293945,7.510000228881836,7.75,234100.0,,,,,
2024-06-10,7.769999980926514,7.860000133514404,7.420000076293945,7.420000076293945,336100.0,,,,,
2024-06-11,8.380000114440918,8.390000343322754,7.704999923706055,7.710000038146973,413000.0,,,,,
2024-06-12,8.510000228881836,8.720000267028809,8.3100004196167,8.640000343322754,365400.0,,,,,
2024-06-13,8.180000305175781,8.5600004196167,8.0,8.449999809265137,347600.0,,,,,
2024-06-14,8.100000381469727,8.149999618530273,7.860000133514404,8.039999961853027,297200.0,,,,,
2024-06-17,8.010000228881836,8.109999656677246,7.880000114440918,8.109999656677246,197700.0,,,,,
2024-06-18,7.78000020980835,8.09000015258789,7.730000019073486,8.0,501800.0,,,,,
2024-06-20,7.420000076293945,7.659999847412109,7.409999847412109,7.619999885559082,331300.0,,,,,
2024-06-21,7.480000019073486,7.53000020980835,7.300000190734863,7.389999866485596,288900.0,,,,,
2024-06-24,7.239999771118164,7.619999885559082,7.210000038146973,7.5,289000.0,,,,,
2024-06-25,7.460000038146973,7.46999979019165,7.099999904632568,7.199999809265137,272400.0,,,,,
2024-06-26,7.610000133514404,7.650000095367432,7.400000095367432,7.409999847412109,250500.0,,,,,
2024-06-27,7.539999961853027,7.730000019073486,7.409999847412109,7.579999923706055,187600.0,,,,,
2024-06-28,7.650000095367432,7.829999923706055,7.46999979019165,7.550000190734863,1419500.0,,,,,
2024-07-01,7.570000171661377,7.730000019073486,7.458000183105469,7.630000114440918,235700.0,,,,,
