Date,Close,High,Low,Open,Volume,"('Close', 'NAKA')","('High', 'NAKA')","('Low', 'NAKA')","('Open', 'NAKA')","('Volume', 'NAKA')"
2024-06-03,2.6600000858306885,3.109999895095825,2.3499999046325684,2.990000009536743,147300.0,,,,,
2024-06-04,2.9200000762939453,3.109999895095825,2.4100000858306885,2.5299999713897705,73800.0,,,,,
2024-06-05,2.7300000190734863,3.0899999141693115,2.5999999046325684,2.9100000858306885,51100.0,,,,,
2024-06-06,2.690000057220459,2.940000057220459,2.4100000858306885,2.940000057220459,56500.0,,,,,
2024-06-07,2.720000028610229,2.900000095367432,2.650000095367432,2.6700000762939453,27500.0,,,,,
2024-06-10,2.700000047683716,2.740000009536743,2.559999942779541,2.740000009536743,25800.0,,,,,
2024-06-11,2.799999952316284,3.0999999046325684,2.549999952316284,2.650000095367432,95300.0,,,,,
2024-06-12,2.9200000762939453,3.0,2.549999952316284,2.900000095367432,91400.0,,,,,
2024-06-13,2.7799999713897705,3.0,2.650000095367432,2.970000028610229,69600.0,,,,,
2024-06-14,2.700000047683716,2.990000009536743,2.630000114440918,2.880000114440918,38700.0,,,,,
2024-06-17,2.7699999809265137,2.9200000762939453,2.619999885559082,2.640000104904175,58000.0,,,,,
2024-06-18,2.720000028610229,2.9800000190734863,2.650000095367432,2.8499999046325684,55100.0,,,,,
2024-06-20,2.9100000858306885,3.0,2.650000095367432,2.700000047683716,49300.0,,,,,
2024-06-21,2.930000066757202,2.990000009536743,2.8499999046325684,2.9600000381469727,36300.0,,,,,
2024-06-24,3.0799999237060547,3.240000009536743,2.7300000190734863,2.9100000858306885,80500.0,,,,,
2024-06-25,3.069999933242798,3.240000009536743,2.9200000762939453,3.130000114440918,66200.0,,,,,
2024-06-26,2.9800000190734863,3.2300000190734863,2.900000095367432,3.119999885559082,49400.0,,,,,
2024-06-27,2.789999961853028,3.150000095367432,2.7320001125335693,3.150000095367432,33600.0,,,,,
2024-06-28,2.75,2.818000078201294,2.619999885559082,2.680000066757202,18400.0,,,,,
2024-07-01,2.569999933242798,2.8299999237060547,2.5,2.7100000381469727,46500.0,,,,,
2024-07-02,2.200000047683716,2.650000095367432,2.049999952316284,2.609999895095825,52200.0,,,,,
2024-07-03,2.4600000381469727,2.490000009536743,2.220000028610229,2.3399999141693115,9600.0,,,,,
2024-07-05,2.25,2.4600000381469727,2.25,2.450000047683716,35200.0,,,,,
2024-07-08,2.25,2.4100000858306885,2.25,2.319999933242798,15400.0,,,,,
2024-07-09,2.450000047683716,2.5999999046325684,2.25,2.3499999046325684,65800.0,,,,,
2024-07-10,2.5199999809265137,2.5799999237060547,2.4100000858306885,2.509999990463257,28600.0,,,,,
2024-07-11,2.490000009536743,2.690000057220459,2.369999885559082,2.5999999046325684,16400.0,,,,,
2024-07-12,2.400000095367432,2.5,2.299999952316284,2.400000095367432,23700.0,,,,,
2024-07-15,2.3499999046325684,2.3499999046325684,2.240000009536743,2.2699999809265137,24200.0,,,,,
2024-07-16,2.369999885559082,2.4100000858306885,2.299999952316284,2.4100000858306885,6900.0,,,,,
2024-07-17,2.3499999046325684,2.4100000858306885,2.259999990463257,2.4100000858306885,9300.0,,,,,
