Date,Close,High,Low,Open,Volume,"('Close', 'BHAT')","('High', 'BHAT')","('Low', 'BHAT')","('Open', 'BHAT')","('Volume', 'BHAT')"
2024-06-03,110.0,112.5,108.0,110.0,1092.0,,,,,
2024-06-04,111.0,111.0,109.4000015258789,110.0,267.0,,,,,
2024-06-05,108.0,112.0,105.0,112.0,759.0,,,,,
2024-06-06,108.0,109.0,104.0,108.0,809.0,,,,,
2024-06-07,110.0,110.0,104.8000030517578,104.8000030517578,424.0,,,,,
2024-06-10,111.6999969482422,114.0,107.0,114.0,456.0,,,,,
2024-06-11,115.0,115.0,108.0,115.0,250.0,,,,,
2024-06-12,113.8000030517578,115.0,108.0,115.0,492.0,,,,,
2024-06-13,111.0,114.0,110.1999969482422,110.4000015258789,79.0,,,,,
2024-06-14,114.0,114.0,105.0,110.0,696.0,,,,,
2024-06-17,112.0,114.0,109.5,112.0,309.0,,,,,
2024-06-18,110.0,112.0,108.5,109.0,294.0,,,,,
2024-06-20,111.0,112.0,106.0,108.0,678.0,,,,,
2024-06-21,107.0,110.0,107.0,108.0,895.0,,,,,
2024-06-24,105.0,109.0,105.0,109.0,643.0,,,,,
2024-06-25,109.0,110.0,105.0,106.0,546.0,,,,,
2024-06-26,109.0,109.0,104.0,106.0,358.0,,,,,
2024-06-27,109.0,112.0,106.0,106.0,111.0,,,,,
2024-06-28,111.5,112.0,106.0,106.0,84.0,,,,,
2024-07-01,120.0,134.0,95.0,108.0,5976.0,,,,,
2024-07-02,125.0,130.0,107.0,125.0,8585.0,,,,,
2024-07-03,143.0,145.0,116.0,125.0,11816.0,,,,,
2024-07-05,128.0,138.0,116.0,132.0,12284.0,,,,,
2024-07-08,120.0,128.0,96.1999969482422,120.0,19430.0,,,,,
2024-07-09,100.0,116.0,99.0,111.0,6168.0,,,,,
2024-07-10,100.0,105.0,96.0,102.0,3681.0,,,,,
2024-07-11,103.0,104.0,97.0,100.0,2521.0,,,,,
2024-07-12,104.5,105.0,100.0,101.0,1457.0,,,,,
2024-07-15,102.0,104.0,100.0,102.0,1395.0,,,,,
2024-07-16,100.0,103.0,100.0,102.0,912.0,,,,,
2024-07-17,97.0999984741211,102.0,95.0,100.0,1453.0,,,,,
2024-07-18,100.0,102.0,98.0,101.0,403.0,,,,,
2024-07-19,98.0,101.0,98.0,101.0,288.0,,,,,
2024-07-22,101.0,101.9000015258789,97.0,97.0,281.0,,,,,
2024-07-23,102.0,106.0,99.0,99.0,3986.0,,,,,
2024-07-24,101.0,104.0,100.0,100.0,862.0,,,,,
2024-07-25,98.0,101.0,97.1999969482422,100.0,1635.0,,,,,
2024-07-26,96.0,99.0,95.0,98.0,2561.0,,,,,
2024-07-29,94.0,98.0,90.0999984741211,96.0,2805.0,,,,,
2024-07-30,93.0,99.0,93.0,96.0,495.0,,,,,
2024-07-31,90.0999984741211,97.0999984741211,90.0999984741211,92.5,664.0,,,,,
