Date,Close,High,Low,Open,Volume,"('Close', 'AQST')","('High', 'AQST')","('Low', 'AQST')","('Open', 'AQST')","('Volume', 'AQST')"
2024-06-03,2.940000057220459,3.0999999046325684,2.9100000858306885,2.950000047683716,997000.0,,,,,
2024-06-04,2.950000047683716,2.9800000190734863,2.8299999237060547,2.890000104904175,721700.0,,,,,
2024-06-05,2.990000009536743,3.009999990463257,2.869999885559082,2.9800000190734863,814100.0,,,,,
2024-06-06,2.809999942779541,3.059999942779541,2.7950000762939453,2.9800000190734863,1137500.0,,,,,
2024-06-07,2.75,2.884999990463257,2.720000028610229,2.8399999141693115,889400.0,,,,,
2024-06-10,2.759999990463257,2.7799999713897705,2.569999933242798,2.700000047683716,1849300.0,,,,,
2024-06-11,2.809999942779541,2.8550000190734863,2.7149999141693115,2.720000028610229,877800.0,,,,,
2024-06-12,2.809999942779541,2.930000066757202,2.7950000762939453,2.809999942779541,721300.0,,,,,
2024-06-13,2.7699999809265137,2.859999895095825,2.744999885559082,2.8299999237060547,619200.0,,,,,
2024-06-14,2.690000057220459,2.75,2.6700000762939453,2.75,698200.0,,,,,
2024-06-17,2.7300000190734863,2.755000114440918,2.5899999141693115,2.700000047683716,1736100.0,,,,,
2024-06-18,2.680000066757202,2.7799999713897705,2.6429998874664307,2.759999990463257,788300.0,,,,,
2024-06-20,2.5,2.650000095367432,2.450000047683716,2.640000104904175,2214000.0,,,,,
2024-06-21,2.559999942779541,2.5899999141693115,2.4649999141693115,2.5199999809265137,3116300.0,,,,,
2024-06-24,2.430000066757202,2.5799999237060547,2.4100000858306885,2.559999942779541,1423300.0,,,,,
2024-06-25,2.309999942779541,2.4749999046325684,2.305000066757202,2.470000028610229,1556300.0,,,,,
2024-06-26,2.4200000762939453,2.440000057220459,2.240000009536743,2.309999942779541,1828700.0,,,,,
2024-06-27,2.5899999141693115,2.5999999046325684,2.4200000762939453,2.4200000762939453,1701000.0,,,,,
2024-06-28,2.5999999046325684,2.690000057220459,2.565000057220459,2.5999999046325684,12672300.0,,,,,
2024-07-01,2.450000047683716,2.630000114440918,2.3399999141693115,2.630000114440918,1652700.0,,,,,
2024-07-02,2.4200000762939453,2.440000057220459,2.359999895095825,2.380000114440918,688700.0,,,,,
2024-07-03,2.4100000858306885,2.440000057220459,2.359999895095825,2.4100000858306885,677200.0,,,,,
2024-07-05,2.4800000190734863,2.4800000190734863,2.359999895095825,2.4100000858306885,1145700.0,,,,,
