Date,Close,High,Low,Open,Volume,"('Close', 'ADBE')","('High', 'ADBE')","('Low', 'ADBE')","('Open', 'ADBE')","('Volume', 'ADBE')"
2024-06-03,439.0199890136719,449.8399963378906,436.5799865722656,447.5799865722656,3967700.0,,,,,
2024-06-04,448.3699951171875,450.1199951171875,441.5899963378906,442.8200073242188,3183600.0,,,,,
2024-06-05,455.7999877929688,458.6000061035156,448.3699951171875,449.1900024414063,3295000.0,,,,,
2024-06-06,458.1300048828125,467.8500061035156,456.8699951171875,457.7000122070313,3235000.0,,,,,
2024-06-07,465.4299926757813,468.9299926757813,458.1300048828125,458.1300048828125,2684200.0,,,,,
2024-06-10,459.9400024414063,462.2300109863281,451.510009765625,453.8399963378906,3209700.0,,,,,
2024-06-11,462.6900024414063,462.739990234375,455.5,456.9100036621094,2723700.0,,,,,
2024-06-12,459.8699951171875,471.1199951171875,459.1600036621094,470.0,3647400.0,,,,,
2024-06-13,458.739990234375,462.3900146484375,453.5,457.8699951171875,8558000.0,,,,,
2024-06-14,525.3099975585938,534.4500122070312,521.8800048828125,530.25,14846600.0,,,,,
2024-06-17,518.739990234375,525.9400024414062,505.3800048828125,525.510009765625,7163800.0,,,,,
2024-06-18,522.25,530.3699951171875,513.1300048828125,514.7100219726562,4225900.0,,,,,
2024-06-20,522.9500122070312,533.22998046875,520.4000244140625,527.6699829101562,5752400.0,,,,,
2024-06-21,533.4400024414062,535.0,524.719970703125,530.3099975585938,6568300.0,,,,,
2024-06-24,524.1699829101562,534.5800170898438,523.47998046875,532.0999755859375,3067800.0,,,,,
2024-06-25,526.8800048828125,529.6799926757812,522.239990234375,526.2000122070312,3128600.0,,,,,
2024-06-26,528.6599731445312,530.6599731445312,526.010009765625,528.5800170898438,2931700.0,,,,,
2024-06-27,546.760009765625,549.1599731445312,532.0999755859375,533.2100219726562,4734100.0,,,,,
2024-06-28,555.5399780273438,558.47998046875,548.010009765625,549.7000122070312,5084500.0,,,,,
2024-07-01,560.010009765625,561.2100219726562,549.72998046875,551.3699951171875,3070200.0,,,,,
2024-07-02,567.7100219726562,570.1400146484375,560.0,560.0,3054500.0,,,,,
2024-07-03,570.1500244140625,571.8300170898438,564.0,564.2899780273438,1664400.0,,,,,
