Date,Close,High,Low,Open,Volume,"('Close', 'LNG')","('High', 'LNG')","('Low', 'LNG')","('Open', 'LNG')","('Volume', 'LNG')"
2024-06-03,158.78622436523438,158.89497588462433,154.99971338986543,155.34574506579366,1851100.0,,,,,
2024-06-04,159.04327392578125,159.73533730971533,157.36258089091592,158.26225122161304,1693200.0,,,,,
2024-06-05,158.18313598632812,160.53611496149097,157.61960132332752,158.82574894206482,1623900.0,,,,,
2024-06-06,158.76641845703125,158.8850660565454,156.99675141934426,157.76789293135514,1235200.0,,,,,
2024-06-07,157.7777862548828,160.75361612093775,157.46142783103946,158.4105181880888,1351700.0,,,,,
2024-06-10,156.1761932373047,157.98541471849032,155.8005034509488,157.76791169328638,1880000.0,,,,,
2024-06-11,155.5830078125,156.8583678922491,154.93051379142895,155.74119458116232,1231100.0,,,,,
2024-06-12,156.66064453125,158.1633736015083,155.96858117843644,156.20586133530287,1277700.0,,,,,
2024-06-13,157.41200256347656,158.16336706756584,155.7115325566512,156.6606380593873,1242200.0,,,,,
2024-06-14,154.10992431640625,157.87665781017276,153.48707339410743,157.41199364361958,1378700.0,,,,,
2024-06-17,153.32888793945312,154.08026749286108,153.06196475807664,153.28934879294087,1233400.0,,,,,
2024-06-18,159.28053283691406,161.6038536917333,155.46436406006345,155.70164419593416,2933300.0,,,,,
2024-06-20,162.06849670410156,163.86783705794377,158.92461422060003,158.98393048096514,2369100.0,,,,,
2024-06-21,163.04727172851562,163.97660010100583,161.14907583568285,162.02896895921762,4375300.0,,,,,
2024-06-24,164.07546997070312,166.517408336136,163.80853169578182,163.86784796009323,2140700.0,,,,,
2024-06-25,167.85208129882812,168.36618072187215,163.37352240583058,164.07546671915145,3161200.0,,,,,
2024-06-26,169.12744140625,169.50311610152377,166.58661750649617,168.89016126803529,2759000.0,,,,,
2024-06-27,170.24459838867188,171.21346588004383,169.2460727659175,169.79971133241574,2292700.0,,,,,
2024-06-28,172.8447265625,173.56643285202009,170.78834411113127,172.73597505978998,7051100.0,,,,,
2024-07-01,171.11460876464844,173.43791451772094,170.11608315184904,173.3687172403583,2103600.0,,,,,
2024-07-02,172.46905517578125,173.48735795253765,170.9860882093764,172.9930356304027,1674600.0,,,,,
2024-07-03,172.09335327148438,173.15119502920146,171.33209279176052,172.43936979098237,983400.0,,,,,
2024-07-05,172.20211791992188,172.67667821356247,170.92677295887322,171.42109528394204,1388700.0,,,,,
2024-07-08,173.4082489013672,173.9421254089225,171.9154010542023,172.06369170323504,1347500.0,,,,,
2024-07-09,173.981689453125,176.06773036600498,173.18088966270315,174.00146657099936,1622900.0,,,,,
2024-07-10,172.9337158203125,173.73451555207163,172.05382270837077,173.58622489267913,2097900.0,,,,,
2024-07-11,174.40679931640625,175.10872854179954,172.64701311698587,172.81508089046764,1389700.0,,,,,
2024-07-12,175.5437469482422,176.42364010992677,174.64407666901397,174.99010834118502,1411100.0,,,,,
2024-07-15,175.64260864257812,177.2936433649445,174.92088720087267,176.70045055254658,1529900.0,,,,,
2024-07-16,176.65103149414062,177.73854672136855,174.7923896769528,175.97876032496063,1420800.0,,,,,
2024-07-17,179.50820922851562,180.27935081811745,176.94760822148442,177.46170764305882,1731200.0,,,,,
2024-07-18,179.96298217773438,182.5235681686256,177.9560347702229,177.9560347702229,2371800.0,,,,,
