Date,Close,High,Low,Open,Volume,"('Close', 'CRM')","('High', 'CRM')","('Low', 'CRM')","('Open', 'CRM')","('Volume', 'CRM')"
2024-06-03,234.46275329589844,238.792922706035,228.1112041426118,232.48098710424773,19962700.0,,,,,
2024-06-04,232.7187957763672,238.39655146933828,230.08304321144303,233.5709558116556,11197500.0,,,,,
2024-06-05,234.37355041503903,234.75999417305425,229.43895740045852,233.49166516625183,10772100.0,,,,,
2024-06-06,240.5467529296875,244.5003815640184,237.2669326012087,237.69302015572947,11693800.0,,,,,
2024-06-07,239.6450653076172,241.7060886914091,238.09927509026068,240.12068492544032,6883800.0,,,,,
2024-06-10,239.63514709472656,241.41873956334487,238.23799840100264,239.58559991955036,7656900.0,,,,,
2024-06-11,238.7929229736328,241.5277548780921,234.10603503895985,238.9613712857508,7264400.0,,,,,
2024-06-12,233.6502227783203,239.991868157202,232.748515587357,238.36682058388385,10260100.0,,,,,
2024-06-13,226.9419403076172,233.50158116134315,226.5753184229453,233.372776648166,13566700.0,,,,,
2024-06-14,229.82540893554688,233.10522929629576,227.11038403115955,227.2590255552257,8833700.0,,,,,
2024-06-17,228.37872314453125,229.72632470920257,225.69343852236835,228.18054955671863,10563700.0,,,,,
2024-06-18,229.69659423828125,230.1722138622225,227.14011419012456,228.3787179855682,7119800.0,,,,,
2024-06-20,239.59552001953125,241.54756080098832,230.7271199123224,230.7271199123224,14809600.0,,,,,
2024-06-21,242.8258056640625,243.13297700034485,238.0002098928541,238.3767503023232,15719600.0,,,,,
2024-06-24,237.75247192382807,242.18172018969085,237.623652294186,240.97284170748324,7545700.0,,,,,
2024-06-25,239.5558624267578,240.8836571032893,237.68309421009377,239.57568431975287,6037800.0,,,,,
2024-06-26,240.93321228027344,241.38902514486145,237.71284230467623,239.2685359811014,4524700.0,,,,,
2024-06-27,250.54478454589844,256.2423620676056,242.2213578771644,242.76634657708888,12869000.0,,,,,
2024-06-28,254.75601196289065,257.80791813722857,250.8717375016582,251.188827302442,12619300.0,,,,,
2024-07-01,253.87413024902344,257.114337079673,252.20945403180625,255.7964457281969,5871700.0,,,,,
2024-07-02,253.85433959960935,255.3803080153297,251.74375379330343,252.72473348912365,5130600.0,,,,,
2024-07-03,258.5709228515625,258.8384503670222,254.5974724693536,254.63711625513045,4755700.0,,,,,
