Date,Close,High,Low,Open,Volume,"('Close', 'CHGG')","('High', 'CHGG')","('Low', 'CHGG')","('Open', 'CHGG')","('Volume', 'CHGG')"
2024-06-03,3.660000085830689,3.920000076293945,3.650000095367432,3.839999914169312,3549100.0,,,,,
2024-06-04,3.619999885559082,3.759999990463257,3.5999999046325684,3.5999999046325684,3698900.0,,,,,
2024-06-05,3.680000066757202,3.7699999809265137,3.609999895095825,3.640000104904175,3338100.0,,,,,
2024-06-06,3.75,3.759999990463257,3.630000114440918,3.660000085830689,2198700.0,,,,,
2024-06-07,3.700000047683716,3.7699999809265137,3.630000114440918,3.670000076293945,2218100.0,,,,,
2024-06-10,3.670000076293945,3.7100000381469727,3.5799999237060547,3.700000047683716,2333500.0,,,,,
2024-06-11,3.5999999046325684,3.7200000286102295,3.5899999141693115,3.630000114440918,2311700.0,,,,,
2024-06-12,3.430000066757202,3.75,3.3499999046325684,3.650000095367432,4065200.0,,,,,
2024-06-13,3.039999961853028,3.450000047683716,3.0299999713897705,3.4200000762939453,7388500.0,,,,,
2024-06-14,2.789999961853028,3.039999961853028,2.720000028610229,2.9800000190734863,6455900.0,,,,,
2024-06-17,2.609999895095825,2.859999895095825,2.5999999046325684,2.809999942779541,5723500.0,,,,,
2024-06-18,2.700000047683716,3.259999990463257,2.690000057220459,3.0199999809265137,20178300.0,,,,,
2024-06-20,2.819999933242798,2.859999895095825,2.5299999713897705,2.680000066757202,6594800.0,,,,,
2024-06-21,2.8499999046325684,2.869999885559082,2.7300000190734863,2.819999933242798,4252300.0,,,,,
2024-06-24,3.0299999713897705,3.069999933242798,2.819999933242798,2.8299999237060547,5770400.0,,,,,
2024-06-25,2.9800000190734863,3.0999999046325684,2.9200000762939453,3.0299999713897705,3426700.0,,,,,
2024-06-26,2.9100000858306885,2.9600000381469727,2.8299999237060547,2.940000057220459,2656900.0,,,,,
2024-06-27,2.9600000381469727,3.009999990463257,2.869999885559082,2.9200000762939453,3579200.0,,,,,
2024-06-28,3.1600000858306885,3.1700000762939453,2.970000028610229,2.970000028610229,7359800.0,,,,,
2024-07-01,2.990000009536743,3.200000047683716,2.9100000858306885,3.1600000858306885,3323900.0,,,,,
2024-07-02,2.890000104904175,3.0,2.819999933242798,2.970000028610229,2603200.0,,,,,
2024-07-03,2.880000114440918,2.9800000190734863,2.869999885559082,2.900000095367432,1217100.0,,,,,
2024-07-05,2.7699999809265137,2.900000095367432,2.759999990463257,2.869999885559082,3168600.0,,,,,
2024-07-08,2.9100000858306885,2.940000057220459,2.7699999809265137,2.7799999713897705,3161400.0,,,,,
2024-07-09,2.799999952316284,2.9100000858306885,2.7699999809265137,2.9100000858306885,3513800.0,,,,,
2024-07-10,2.690000057220459,2.880000114440918,2.680000066757202,2.799999952316284,2434400.0,,,,,
2024-07-11,2.930000066757202,2.970000028610229,2.720000028610229,2.740000009536743,4088800.0,,,,,
2024-07-12,2.9800000190734863,3.0199999809265137,2.869999885559082,2.9600000381469727,2722400.0,,,,,
2024-07-15,3.1700000762939453,3.1700000762939453,2.9600000381469727,2.990000009536743,4742100.0,,,,,
