Date,Close,High,Low,Open,Volume,"('Close', 'AKAN')","('High', 'AKAN')","('Low', 'AKAN')","('Open', 'AKAN')","('Volume', 'AKAN')"
2024-06-03,16.5625,17.125,15.625,16.5625,36944.0,,,,,
2024-06-04,15.6875,17.0625,15.6875,16.25,34704.0,,,,,
2024-06-05,15.25,15.96875,14.0,15.8125,39280.0,,,,,
2024-06-06,15.375,15.75,15.0,15.0625,15312.0,,,,,
2024-06-07,13.875,15.4375,13.75,15.1875,29856.0,,,,,
2024-06-10,16.9375,17.8125,13.25,14.0625,279568.0,,,,,
2024-06-11,16.375,19.25,14.4375,18.4375,445456.0,,,,,
2024-06-12,15.3125,17.5,14.818750381469728,15.5,72288.0,,,,,
2024-06-13,15.75,16.181249618530273,14.631250381469728,15.0625,28304.0,,,,,
2024-06-14,15.0,16.875,14.8125,15.25,39808.0,,,,,
2024-06-17,14.1875,15.3125,13.5625,14.875,14800.0,,,,,
2024-06-18,13.9375,14.625,13.5,14.625,24160.0,,,,,
2024-06-20,14.25,16.4375,13.8125,13.8125,148144.0,,,,,
2024-06-21,14.625,18.0,14.262499809265137,15.625,220224.0,,,,,
2024-06-24,14.6875,15.0,14.375,14.75,21968.0,,,,,
2024-06-25,14.9375,15.3125,14.5,14.5,25984.0,,,,,
2024-06-26,14.6875,15.5,14.5625,14.6875,48768.0,,,,,
2024-06-27,15.0,15.0,14.6875,15.0,8288.0,,,,,
2024-06-28,14.4375,14.981249809265137,14.125,14.75,17312.0,,,,,
2024-07-01,14.125,14.4375,13.8125,14.4375,10608.0,,,,,
2024-07-02,13.9375,14.3125,13.9375,14.0,5216.0,,,,,
2024-07-03,13.9375,14.375,13.75,13.8125,17696.0,,,,,
2024-07-05,13.6875,14.125,13.5625,13.6875,8448.0,,,,,
2024-07-08,14.1875,14.3125,13.625,13.6875,9664.0,,,,,
2024-07-09,14.0625,14.6875,13.75,13.75,12864.0,,,,,
2024-07-10,13.875,14.375,13.75,14.0,6336.0,,,,,
2024-07-11,13.625,14.25,13.5,14.1875,14128.0,,,,,
2024-07-12,14.0625,15.875,13.5,13.5,303520.0,,,,,
2024-07-15,14.1875,14.6875,13.5625,13.9375,57392.0,,,,,
2024-07-16,14.0,14.3125,13.75,14.25,19824.0,,,,,
2024-07-17,14.4375,15.0625,13.8125,13.8125,36736.0,,,,,
2024-07-18,13.375,14.5,13.3125,14.0625,32448.0,,,,,
2024-07-19,12.5,13.5625,12.21875,13.3125,23520.0,,,,,
2024-07-22,12.625,13.0,12.3125,12.75,26064.0,,,,,
2024-07-23,12.6875,12.850000381469728,12.125,12.8125,16928.0,,,,,
2024-07-24,10.0625,12.5,9.6875,12.4375,51232.0,,,,,
2024-07-25,10.25,10.875,9.375,10.0,28672.0,,,,,
2024-07-26,10.1875,10.6875,10.125,10.25,9680.0,,,,,
2024-07-29,9.8125,10.5,9.625,10.0,15680.0,,,,,
2024-07-30,9.125,9.875,8.5625,9.6875,23808.0,,,,,
2024-07-31,9.375,9.6875,8.925000190734863,9.125,7664.0,,,,,
2024-08-01,9.0625,9.5625,8.875,9.25,8992.0,,,,,
2024-08-02,10.0,12.8125,9.4375,11.0625,4041456.0,,,,,
2024-08-05,9.0,9.25,8.0,9.125,107296.0,,,,,
