Date,Close,High,Low,Open,Volume,"('Close', 'CC')","('High', 'CC')","('Low', 'CC')","('Open', 'CC')","('Volume', 'CC')"
2024-06-03,23.05169105529785,24.06214998805224,22.91003825372526,23.939384707012824,1744400.0,,,,,
2024-06-04,21.81458854675293,22.85337882063892,21.701265218185306,22.664507206763936,1888800.0,,,,,
2024-06-05,22.626733779907227,22.74950087806013,21.776815059179917,21.90902591882253,1457400.0,,,,,
2024-06-06,22.570072174072266,23.061136946022184,22.48319245353442,22.6361767008322,903300.0,,,,,
2024-06-07,22.825048446655277,22.89115297377859,21.871250180929508,22.10733880706321,928900.0,,,,,
2024-06-10,22.598403930664062,22.834492560443312,22.390644783681807,22.607847692000828,978700.0,,,,,
2024-06-11,22.418975830078125,22.64562069611845,22.10733891412102,22.47563659628489,801900.0,,,,,
2024-06-12,22.89115333557129,23.36333059530142,22.758944279235106,23.032806153247662,2170000.0,,,,,
2024-06-13,24.1377010345459,24.364345903272465,22.87226583324591,22.88170959459451,3801700.0,,,,,
2024-06-14,23.023361206054688,24.35490266702686,22.872264634820564,23.996046959435912,2356100.0,,,,,
2024-06-17,22.94781494140625,23.382218972871364,22.65506553400993,22.995033749833635,991100.0,,,,,
2024-06-18,22.522855758666992,23.089468833335424,22.1167830251344,22.891153446655483,1089500.0,,,,,
2024-06-20,21.729597091674805,22.80616063689036,21.69182204738705,22.48507996529743,1876200.0,,,,,
2024-06-21,21.635162353515625,21.72959816769811,21.25742089799901,21.710710644618946,2428700.0,,,,,
2024-06-24,21.984575271606445,22.28676844902288,21.48406669575209,21.71071157881442,1653900.0,,,,,
2024-06-25,21.58794593811035,22.617292558335027,21.29519472600776,21.871251587201403,1549900.0,,,,,
2024-06-26,21.682376861572266,22.00818029289934,21.23475378369769,21.55961157813043,1136800.0,,,,,
2024-06-27,21.805145263671875,21.84291850654653,21.38962878477119,21.72959697670932,1099800.0,,,,,
2024-06-28,21.3140811920166,22.248991949083614,21.125211369065266,21.909025547285893,1919100.0,,,,,
2024-07-01,21.361297607421875,21.776812252128934,21.05910268234433,21.408514607570783,1114600.0,,,,,
2024-07-02,21.304637908935547,21.68237936453109,21.21020209473333,21.436848769303992,683500.0,,,,,
2024-07-03,21.42740249633789,21.842917148185425,21.35185421407351,21.45573197642883,421500.0,,,,,
2024-07-05,20.879676818847656,21.39907102976688,20.71913649527412,21.23853070619333,1700700.0,,,,,
2024-07-08,21.077993392944336,21.314082031845977,20.870236039147706,21.077993392944336,706900.0,,,,,
2024-07-09,21.200759887695312,22.18288766081487,21.04966330721538,22.15455637651989,1570100.0,,,,,
2024-07-10,21.880691528320312,21.92790852785293,21.257417768181732,21.38018304769439,1096300.0,,,,,
2024-07-11,22.9100399017334,23.089467757279277,22.324539331579444,22.36231437536309,1198200.0,,,,,
2024-07-12,23.146127700805664,23.64663620590784,22.985587372845583,23.193344702647327,1063600.0,,,,,
2024-07-15,23.54275703430176,23.84967115383397,22.938370754793112,22.957256475117862,1243700.0,,,,,
