Price,Close,High,Low,Open,Volume
Ticker,SMJF,SMJF,SMJF,SMJF,SMJF
Date,,,,,
2025-12-04,4.510000228881836,7.0,4.25,4.420000076293945,1617500
2025-12-05,4.400000095367432,4.949999809265137,4.300000190734863,4.300000190734863,190800
2025-12-08,4.900000095367432,5.289999961853027,4.400000095367432,4.400000095367432,198300
2025-12-09,4.840000152587891,4.900000095367432,4.5,4.739999771118164,61400
2025-12-10,4.5,4.889999866485596,4.5,4.800000190734863,23900
2025-12-11,4.449999809265137,4.599999904632568,4.449999809265137,4.5,25700
2025-12-12,4.440000057220459,4.632999897003174,4.400000095367432,4.550000190734863,120000
2025-12-15,4.5,4.599999904632568,4.420000076293945,4.429999828338623,100800
2025-12-16,4.599999904632568,4.734000205993652,4.400000095367432,4.550000190734863,1058200
2025-12-17,4.380000114440918,4.639999866485596,4.340000152587891,4.639999866485596,1062000
2025-12-18,4.519999980926514,4.550000190734863,4.349999904632568,4.429999828338623,3889000
2025-12-19,4.739999771118164,4.739999771118164,4.389999866485596,4.519999980926514,2054800
2025-12-22,4.679999828338623,4.800000190734863,4.650000095367432,4.650000095367432,167400
2025-12-23,4.550000190734863,4.619999885559082,4.46999979019165,4.730000019073486,667428
