Date,Close,High,Low,Open,Volume,"('Close', 'IVR')","('High', 'IVR')","('Low', 'IVR')","('Open', 'IVR')","('Volume', 'IVR')"
2024-06-03,7.112977027893066,7.135775553828725,7.059781916834595,7.1129770278930655,693500.0,,,,,
2024-06-04,7.014184951782227,7.105377597773216,6.99898666060304,7.097778089819139,638000.0,,,,,
2024-06-05,7.090178489685059,7.097777997540334,6.976188770771764,7.044582892011324,510200.0,,,,,
2024-06-06,7.067380428314209,7.135774547013113,7.0521814131682605,7.097777733877174,660100.0,,,,,
2024-06-07,6.960988998413086,7.067379922635544,6.930591695025081,6.991386301801091,907500.0,,,,,
2024-06-10,6.8849968910217285,6.930592488962523,6.869797875222155,6.907794689992126,1319100.0,,,,,
2024-06-11,6.847000598907471,6.892596200328739,6.801404272757186,6.862198891138221,545400.0,,,,,
2024-06-12,6.8925957679748535,6.998986705832558,6.884996984700639,6.968589398548781,1240000.0,,,,,
2024-06-13,6.9381914138793945,6.9913865152502455,6.854599008192499,6.90779410956335,857800.0,,,,,
2024-06-14,6.8925957679748535,6.930592583261817,6.854599677416862,6.9001952759780405,726500.0,,,,,
2024-06-17,7.120575904846191,7.128175412817231,6.877397447604673,6.892595738817783,1388300.0,,,,,
2024-06-18,7.036983489990234,7.120575903468591,7.021784474051096,7.105377612258422,724000.0,,,,,
2024-06-20,7.02178430557251,7.105377441774127,7.01418479778528,7.02178430557251,590700.0,,,,,
2024-06-21,7.044582366943359,7.074979671369839,7.0141843377879765,7.029383352365668,1288100.0,,,,,
2024-06-24,7.074979782104492,7.120575377093402,7.036982969794456,7.067380274696702,410500.0,,,,,
2024-06-25,7.029383659362793,7.11297606900415,7.029383659362792,7.082578763250116,803400.0,,,,,
2024-06-26,7.044582366943359,7.082578453929781,6.991386540650344,7.021783845076822,974700.0,,,,,
2024-06-27,7.029383659362793,7.097777778491601,6.953390032613242,7.090178270870859,771600.0,,,,,
2024-06-28,7.120575904846191,7.143373704030341,7.052181782564772,7.067380798506852,1536700.0,,,,,
2024-07-01,7.052181243896484,7.166171680568217,6.960989329396447,7.150972665787087,1818400.0,,,,,
2024-07-02,7.1357741355896,7.166171439399964,7.014184195619255,7.074979527968872,1268900.0,,,,,
2024-07-03,7.090178489685059,7.196569425472036,7.074980198703466,7.158572610924618,1168300.0,,,,,
2024-07-05,6.994901657104492,7.113997290503804,6.986961746293452,7.090178315262255,1713300.0,,,,,
2024-07-08,7.082238674163818,7.082238674163818,7.002841077412867,7.026660810753112,922800.0,,,,,
2024-07-09,7.090178489685059,7.113997465512568,7.034599869832083,7.04253978083845,626900.0,,,,,
2024-07-10,7.360128879547119,7.368068032793629,7.113996956308464,7.113996956308464,1082100.0,,,,,
