Date,Close,High,Low,Open,Volume,"('Close', 'VRTX')","('High', 'VRTX')","('Low', 'VRTX')","('Open', 'VRTX')","('Volume', 'VRTX')"
2024-06-03,470.1799926757813,471.3900146484375,453.7300109863281,455.0,1971000.0,,,,,
2024-06-04,474.9500122070313,477.30999755859375,467.3699951171875,472.5700073242188,1112200.0,,,,,
2024-06-05,483.0400085449219,484.4500122070313,474.1600036621094,475.260009765625,1196600.0,,,,,
2024-06-06,485.5299987792969,485.8500061035156,479.0199890136719,484.4100036621094,1263600.0,,,,,
2024-06-07,483.0400085449219,486.4299926757813,480.1000061035156,484.4500122070313,944300.0,,,,,
2024-06-10,483.2799987792969,485.3999938964844,478.510009765625,480.1799926757813,1253200.0,,,,,
2024-06-11,481.5299987792969,483.2300109863281,478.3800048828125,481.8200073242188,881800.0,,,,,
2024-06-12,475.7900085449219,481.7099914550781,473.510009765625,478.0,1245000.0,,,,,
2024-06-13,479.0299987792969,481.3500061035156,472.6099853515625,473.5,808400.0,,,,,
2024-06-14,480.7300109863281,483.5299987792969,477.7300109863281,477.7300109863281,641800.0,,,,,
2024-06-17,473.6900024414063,479.1499938964844,473.1099853515625,479.1300048828125,1190200.0,,,,,
2024-06-18,467.2799987792969,476.3699951171875,466.510009765625,473.3999938964844,1230800.0,,,,,
2024-06-20,471.3800048828125,473.2799987792969,463.2300109863281,466.1799926757813,1409700.0,,,,,
2024-06-21,468.7099914550781,472.55999755859375,464.3900146484375,464.3900146484375,2802000.0,,,,,
2024-06-24,474.9500122070313,477.55999755859375,468.1199951171875,472.7200012207031,1188600.0,,,,,
2024-06-25,473.8200073242188,483.9200134277344,471.30999755859375,478.2999877929688,1194400.0,,,,,
2024-06-26,474.0,481.1400146484375,469.9500122070313,471.7200012207031,1272300.0,,,,,
2024-06-27,472.510009765625,477.8399963378906,472.1099853515625,476.7699890136719,959600.0,,,,,
2024-06-28,468.7200012207031,477.30999755859375,467.6700134277344,473.2099914550781,3234600.0,,,,,
2024-07-01,471.25,478.9599914550781,467.8599853515625,467.9400024414063,950500.0,,,,,
2024-07-02,473.7799987792969,477.9299926757813,467.4100036621094,469.760009765625,852500.0,,,,,
2024-07-03,470.2799987792969,477.5199890136719,466.010009765625,477.5199890136719,708700.0,,,,,
2024-07-05,474.5700073242188,476.5700073242188,471.760009765625,472.1400146484375,848800.0,,,,,
2024-07-08,481.8900146484375,483.0,471.8200073242188,473.0,774600.0,,,,,
2024-07-09,485.989990234375,487.9500122070313,480.4700012207031,485.0,753900.0,,,,,
2024-07-10,491.6199951171875,491.760009765625,485.7699890136719,487.3399963378906,854900.0,,,,,
2024-07-11,492.1300048828125,495.2300109863281,489.010009765625,491.3299865722656,888300.0,,,,,
