Date,Close,High,Low,Open,Volume,"('Close', 'VMAR')","('High', 'VMAR')","('Low', 'VMAR')","('Open', 'VMAR')","('Volume', 'VMAR')"
2024-06-03,846.4500122070312,918.0,845.0999755859375,877.5,17.0,,,,,
2024-06-04,837.0,877.5,810.0,877.5,11.0,,,,,
2024-06-05,850.5,877.5,769.5,861.2999877929688,53.0,,,,,
2024-06-06,797.8499755859375,837.0,797.8499755859375,823.5,46.0,,,,,
2024-06-07,864.0,877.5,837.0,837.0,37.0,,,,,
2024-06-10,877.5,945.0,837.0,889.6500244140625,70.0,,,,,
2024-06-11,877.5,877.5,784.3499755859375,851.8499755859375,37.0,,,,,
2024-06-12,831.5999755859375,877.5,783.0,864.0,41.0,,,,,
2024-06-13,796.5,874.7999877929688,783.0,810.0,87.0,,,,,
2024-06-14,762.75,810.0,756.0,810.0,30.0,,,,,
2024-06-17,749.25,749.25,715.5,749.25,54.0,,,,,
2024-06-18,688.5,741.1500244140625,675.0,726.2999877929688,50.0,,,,,
2024-06-20,851.8499755859375,904.5,676.3499755859375,688.5,578.0,,,,,
2024-06-21,743.8499755859375,850.5,729.0,850.5,107.0,,,,,
2024-06-24,729.0,796.5,688.5,783.0,150.0,,,,,
2024-06-25,675.0,742.5,634.5,742.5,88.0,,,,,
2024-06-26,708.75,742.5,649.3499755859375,688.5,102.0,,,,,
2024-06-27,789.75,795.1500244140625,715.5,738.4500122070312,82.0,,,,,
2024-06-28,945.0,1026.0,758.7000122070312,812.7000122070312,2445.0,,,,,
2024-07-01,675.0,783.0,661.5,731.7000122070312,571.0,,,,,
2024-07-02,630.4500122070312,648.0,567.0,648.0,280.0,,,,,
2024-07-03,614.25,675.0,576.4500122070312,621.0,133.0,,,,,
2024-07-05,627.75,675.0,584.5499877929688,608.8499755859375,139.0,,,,,
2024-07-08,621.0,675.0,621.0,633.1500244140625,55.0,,,,,
2024-07-09,621.0,658.7999877929688,607.5,634.5,57.0,,,,,
2024-07-10,603.4500122070312,638.5499877929688,600.75,638.5499877929688,37.0,,,,,
2024-07-11,634.5,653.4000244140625,591.2999877929688,595.3499755859375,38.0,,,,,
2024-07-12,634.5,688.5,567.0,634.5,131.0,,,,,
2024-07-15,641.25,661.5,608.8499755859375,622.3499755859375,23.0,,,,,
2024-07-16,614.25,661.5,606.1500244140625,660.1500244140625,52.0,,,,,
2024-07-17,623.7000122070312,662.8499755859375,604.7999877929688,614.25,58.0,,,,,
2024-07-18,653.4000244140625,654.75,594.0,621.0,16.0,,,,,
2024-07-19,607.5,661.5,607.5,661.5,26.0,,,,,
2024-07-22,594.0,610.2000122070312,567.0,607.5,55.0,,,,,
2024-07-23,587.25,623.7000122070312,573.75,592.6500244140625,18.0,,,,,
2024-07-24,587.25,634.5,540.0,540.0,54.0,,,,,
2024-07-25,607.5,631.7999877929688,567.0,587.25,17.0,,,,,
2024-07-26,607.5,641.25,599.4000244140625,606.1500244140625,25.0,,,,,
2024-07-29,581.8499755859375,619.6500244140625,581.8499755859375,619.6500244140625,23.0,,,,,
2024-07-30,561.5999755859375,634.5,561.5999755859375,595.3499755859375,63.0,,,,,
2024-07-31,550.7999877929688,594.0,540.0,540.0,37.0,,,,,
2024-08-01,545.4000244140625,587.25,541.3499755859375,561.5999755859375,10.0,,,,,
2024-08-02,526.5,550.7999877929688,499.5,540.0,40.0,,,,,
2024-08-05,518.4000244140625,526.5,499.5,504.8999938964844,42.0,,,,,
2024-08-06,513.0,526.5,499.5,499.5,24.0,,,,,
2024-08-07,502.2000122070313,526.5,499.5,519.75,11.0,,,,,
2024-08-08,515.7000122070312,562.9500122070312,499.5,522.4500122070312,15.0,,,,,
2024-08-09,518.4000244140625,554.8499755859375,513.0,541.3499755859375,26.0,,,,,
2024-08-12,514.3499755859375,567.0,513.0,513.0,5.0,,,,,
2024-08-13,515.7000122070312,567.0,499.5,526.5,33.0,,,,,
2024-08-14,534.5999755859375,675.0,499.5,515.7000122070312,66.0,,,,,
2024-08-15,568.3499755859375,658.7999877929688,553.5,561.5999755859375,13.0,,,,,
2024-08-16,595.3499755859375,621.0,567.0,621.0,22.0,,,,,
2024-08-19,602.0999755859375,610.2000122070312,594.0,594.0,13.0,,,,,
2024-08-20,472.5,540.0,472.5,499.5,447.0,,,,,
2024-08-21,540.0,592.6500244140625,472.5,496.7999877929688,699.0,,,,,
2024-08-22,378.0,424.7999877929688,360.8999938964844,406.7999877929688,3078.0,,,,,
2024-08-23,320.3999938964844,399.6000061035156,301.5,378.0,2219.0,,,,,
2024-08-26,290.70001220703125,323.1000061035156,235.8000030517578,323.1000061035156,2296.0,,,,,
2024-08-27,264.6000061035156,312.29998779296875,248.3999938964844,267.29998779296875,1888.0,,,,,
2024-08-28,246.6000061035156,276.29998779296875,239.3999938964844,274.5,3281.0,,,,,
2024-08-29,241.1999969482422,286.20001220703125,217.8000030517578,232.1999969482422,3790.0,,,,,
2024-08-30,222.3000030517578,257.3999938964844,207.8999938964844,246.6000061035156,1038.0,,,,,
2024-09-03,210.6000061035156,230.3999938964844,190.8000030517578,225.8999938964844,1578.0,,,,,
2024-09-04,166.5,208.8000030517578,164.6999969482422,203.3999938964844,1782.0,,,,,
2024-09-05,162.89999389648438,166.5,148.5,165.60000610351562,1459.0,,,,,
2024-09-06,149.39999389648438,162.0,137.6999969482422,156.60000610351562,1504.0,,,,,
