Date,Close,High,Low,Open,Volume,"('Close', 'PLRX')","('High', 'PLRX')","('Low', 'PLRX')","('Open', 'PLRX')","('Volume', 'PLRX')"
2024-06-03,12.050000190734863,12.859999656677246,11.789999961853027,12.380000114440918,629600.0,,,,,
2024-06-04,12.140000343322754,12.3100004196167,11.760000228881836,11.989999771118164,1395700.0,,,,,
2024-06-05,12.100000381469728,12.43000030517578,11.90999984741211,12.239999771118164,496400.0,,,,,
2024-06-06,11.539999961853027,12.270000457763672,11.4399995803833,12.260000228881836,511500.0,,,,,
2024-06-07,11.149999618530272,11.779999732971191,10.9399995803833,11.199999809265137,949300.0,,,,,
2024-06-10,11.510000228881836,11.520000457763672,10.600000381469728,11.0600004196167,589900.0,,,,,
2024-06-11,11.289999961853027,11.4399995803833,11.020000457763672,11.420000076293944,371400.0,,,,,
2024-06-12,11.760000228881836,12.039999961853027,11.600000381469728,11.869999885559082,1048000.0,,,,,
2024-06-13,11.970000267028809,12.380000114440918,11.739999771118164,11.739999771118164,351100.0,,,,,
2024-06-14,11.800000190734863,12.029999732971191,11.670000076293944,11.829999923706056,272300.0,,,,,
2024-06-17,11.199999809265137,11.90999984741211,11.079999923706056,11.65999984741211,316800.0,,,,,
2024-06-18,10.710000038146973,11.229999542236328,10.43000030517578,11.170000076293944,491300.0,,,,,
2024-06-20,10.760000228881836,10.850000381469728,10.520000457763672,10.640000343322754,528700.0,,,,,
2024-06-21,10.989999771118164,11.170000076293944,10.800000190734863,10.81999969482422,974100.0,,,,,
2024-06-24,11.350000381469728,11.5600004196167,11.079999923706056,11.15999984741211,700200.0,,,,,
2024-06-25,10.920000076293944,11.420000076293944,10.770000457763672,11.420000076293944,529200.0,,,,,
2024-06-26,10.579999923706056,10.850000381469728,10.520000457763672,10.829999923706056,465000.0,,,,,
2024-06-27,10.65999984741211,10.729999542236328,10.34000015258789,10.539999961853027,429000.0,,,,,
2024-06-28,10.75,11.100000381469728,10.489999771118164,10.6899995803833,2958100.0,,,,,
2024-07-01,10.859999656677246,10.93000030517578,10.5600004196167,10.850000381469728,437400.0,,,,,
2024-07-02,10.600000381469728,10.81999969482422,10.550000190734863,10.81999969482422,427700.0,,,,,
2024-07-03,10.579999923706056,10.699999809265137,10.359999656677246,10.630000114440918,137000.0,,,,,
2024-07-05,10.520000457763672,10.600000381469728,10.289999961853027,10.600000381469728,295900.0,,,,,
