Date,Close,High,Low,Open,Volume,"('Close', 'STZ')","('High', 'STZ')","('Low', 'STZ')","('Open', 'STZ')","('Volume', 'STZ')"
2024-06-03,243.9720001220703,245.41446379758528,240.45354756702295,241.7400652041491,1126100.0,,,,,
2024-06-04,243.9915008544922,244.9953793865496,242.383349967326,243.56265665209216,1387800.0,,,,,
2024-06-05,243.6893310546875,245.19028555599823,241.28196814577225,244.18639229061588,914600.0,,,,,
2024-06-06,243.76731872558597,245.08308925580903,242.86089539165093,243.6503666328844,761000.0,,,,,
2024-06-07,244.56651306152344,246.17467867505457,242.5100360555671,242.6854641924073,1230900.0,,,,,
2024-06-10,245.2975006103516,246.8471902239771,243.45543076003537,243.74782586855903,1211300.0,,,,,
2024-06-11,244.66400146484372,244.68349843879304,240.98960264667383,244.225416217904,1111200.0,,,,,
2024-06-12,246.1064453125,247.4611948915851,242.0227144747056,246.83742562218976,1453600.0,,,,,
2024-06-13,248.16294860839844,248.31889465088787,244.741965955348,245.6288923411944,1324700.0,,,,,
2024-06-14,247.0713653564453,247.98752980077128,245.1610634436131,247.43197758042453,714100.0,,,,,
2024-06-17,255.68716430664065,257.38302912008515,246.49631228117445,246.49631228117445,1574900.0,,,,,
2024-06-18,256.96392822265625,257.6851823238903,254.21543523413592,256.33041792935825,950300.0,,,,,
2024-06-20,256.16473388671875,257.8118786106398,253.65017463746804,255.1608554227609,1021000.0,,,,,
2024-06-21,256.8177490234375,256.9054630914353,254.31291602161733,256.7690289002159,1379700.0,,,,,
2024-06-24,258.4064025878906,258.96195472981145,255.4337316531016,256.48635989502134,1087900.0,,,,,
2024-06-25,255.04391479492188,258.9522326549656,253.8840902391034,257.0321897111345,966400.0,,,,,
2024-06-26,254.4493865966797,256.28171538133523,253.15309815610996,253.6794123214966,790900.0,,,,,
2024-06-27,249.4202423095703,254.78076480994864,248.25067673839985,254.56634272018684,1136500.0,,,,,
2024-06-28,250.7555084228516,251.0381624980766,248.22143715620464,249.6833979165393,1518600.0,,,,,
2024-07-01,249.7906036376953,253.26032118212305,249.07910541748635,251.9835446008476,981000.0,,,,,
2024-07-02,252.37339782714844,252.72425410846935,247.90954282884863,249.7223746415046,1868600.0,,,,,
2024-07-03,244.0207061767578,257.5389634327046,241.710813244656,257.1198752095097,2670300.0,,,,,
2024-07-05,252.56832885742188,252.5878109578048,243.66010127774837,244.02071346865307,1943400.0,,,,,
2024-07-08,247.4027099609375,253.11411804223,246.59375666264748,252.74374993963576,1268800.0,,,,,
2024-07-09,245.69712829589844,250.1804806946288,245.53144118997523,247.72438238834312,1259600.0,,,,,
2024-07-10,246.66200256347656,248.3773643716635,245.56065411522144,245.85304921948236,1294200.0,,,,,
2024-07-11,252.79249572753903,253.09463189587632,246.4670885506073,246.89593273992477,926800.0,,,,,
2024-07-12,253.2310943603516,257.7436845008996,253.07514831572283,253.40652250668387,1032800.0,,,,,
2024-07-15,243.2020263671875,254.00102929139945,243.0948153245473,252.26617050819152,2110100.0,,,,,
2024-07-16,241.79855346679688,246.58404179982,240.83366890816237,243.66012035555332,1551800.0,,,,,
2024-07-17,241.9350128173828,244.81995530855957,239.8590386166072,241.720590712614,1424900.0,,,,,
2024-07-18,241.96421813964844,245.5996375061559,240.3755644150077,240.90186368259344,882600.0,,,,,
