Date,Close,High,Low,Open,Volume,"('Close', 'EDIT')","('High', 'EDIT')","('Low', 'EDIT')","('Open', 'EDIT')","('Volume', 'EDIT')"
2024-06-03,5.409999847412109,5.684999942779541,5.269999980926514,5.28000020980835,2194700.0,,,,,
2024-06-04,5.75,5.809999942779541,5.349999904632568,5.409999847412109,2449900.0,,,,,
2024-06-05,5.599999904632568,5.929999828338623,5.474999904632568,5.809999942779541,2096200.0,,,,,
2024-06-06,5.429999828338623,5.610000133514404,5.400000095367432,5.570000171661377,1132800.0,,,,,
2024-06-07,5.300000190734863,5.414999961853027,5.264999866485596,5.389999866485596,1460500.0,,,,,
2024-06-10,5.320000171661377,5.329999923706055,5.039999961853027,5.199999809265137,1976400.0,,,,,
2024-06-11,5.429999828338623,5.519999980926514,5.130000114440918,5.300000190734863,1507300.0,,,,,
2024-06-12,6.039999961853027,6.21999979019165,5.650000095367432,5.710000038146973,3278700.0,,,,,
2024-06-13,5.489999771118164,6.070000171661377,5.489999771118164,5.980000019073486,2075300.0,,,,,
2024-06-14,5.059999942779541,5.489999771118164,5.03000020980835,5.460000038146973,3328600.0,,,,,
2024-06-17,5.070000171661377,5.110000133514404,4.815000057220459,5.110000133514404,3422400.0,,,,,
2024-06-18,5.039999961853027,5.309999942779541,4.965000152587891,5.289999961853027,3576400.0,,,,,
2024-06-20,5.039999961853027,5.110000133514404,4.889999866485596,5.059999942779541,2327100.0,,,,,
2024-06-21,5.110000133514404,5.230000019073486,4.989999771118164,5.059999942779541,9039400.0,,,,,
2024-06-24,5.079999923706055,5.389999866485596,5.031000137329102,5.150000095367432,1860000.0,,,,,
2024-06-25,4.96999979019165,5.125,4.940000057220459,5.039999961853027,2220000.0,,,,,
2024-06-26,4.809999942779541,4.978000164031982,4.78000020980835,4.96999979019165,2126500.0,,,,,
2024-06-27,4.739999771118164,4.849999904632568,4.684999942779541,4.829999923706055,2286600.0,,,,,
2024-06-28,4.670000076293945,4.829999923706055,4.590000152587891,4.760000228881836,3931800.0,,,,,
2024-07-01,4.610000133514404,4.860000133514404,4.570000171661377,4.659999847412109,1733400.0,,,,,
2024-07-02,4.539999961853027,4.630000114440918,4.449999809265137,4.610000133514404,1545900.0,,,,,
2024-07-03,4.659999847412109,4.739999771118164,4.559999942779541,4.599999904632568,988000.0,,,,,
2024-07-05,4.590000152587891,4.659999847412109,4.474999904632568,4.659999847412109,1289700.0,,,,,
2024-07-08,4.820000171661377,4.835000038146973,4.599999904632568,4.599999904632568,2167700.0,,,,,
2024-07-09,4.909999847412109,4.949999809265137,4.724999904632568,4.809999942779541,1276100.0,,,,,
2024-07-10,5.079999923706055,5.090000152587891,4.885000228881836,4.909999847412109,1151600.0,,,,,
2024-07-11,5.46999979019165,5.53000020980835,5.210000038146973,5.239999771118164,2328600.0,,,,,
2024-07-12,5.539999961853027,5.760000228881836,5.389999866485596,5.59499979019165,1645400.0,,,,,
2024-07-15,5.610000133514404,5.690000057220459,5.425000190734863,5.559999942779541,2022500.0,,,,,
2024-07-16,5.960000038146973,6.050000190734863,5.670000076293945,5.690000057220459,2316600.0,,,,,
