Date,Close,High,Low,Open,Volume,"('Close', 'PHM')","('High', 'PHM')","('Low', 'PHM')","('Open', 'PHM')","('Volume', 'PHM')"
2024-06-03,114.23077392578124,116.50569931753569,114.0329576074586,116.50569931753569,1481400.0,,,,,
2024-06-04,111.65912628173828,114.0527384937038,110.93708991388364,113.45928198070038,1364100.0,,,,,
2024-06-05,114.30989837646484,114.42859268989316,111.1744638389328,112.1734535582145,1333800.0,,,,,
2024-06-06,113.24169158935548,114.60665001583048,112.58889161921464,114.3296965703967,1477400.0,,,,,
2024-06-07,110.32384490966795,110.80850017132175,107.65327933827106,109.67103747681246,1628000.0,,,,,
2024-06-10,112.16356658935548,112.3020395227947,109.0775821879764,109.51278714804764,1828300.0,,,,,
2024-06-11,109.7402801513672,111.6986950145231,109.39409780202908,111.3327265045318,1247000.0,,,,,
2024-06-12,114.1021957397461,116.81231858062846,113.5779756969479,115.3484596927628,2509800.0,,,,,
2024-06-13,114.21099853515624,114.65608903704585,112.45040759529572,114.1219759070529,908200.0,,,,,
2024-06-14,112.84603881835938,113.29113686083838,111.21403530122984,112.7965885111121,1458800.0,,,,,
2024-06-17,113.16255950927734,113.23179597792192,111.66902134713403,112.50975205102073,1324600.0,,,,,
2024-06-18,110.12071228027344,112.6968656496292,109.75410290270432,112.18163799952758,1916700.0,,,,,
2024-06-20,109.67484283447266,111.24034660106788,108.32731505504152,109.91263963101233,2068300.0,,,,,
2024-06-21,110.54676055908205,110.54676055908205,107.78234750887091,109.96217523978534,3713700.0,,,,,
2024-06-24,111.6465835571289,112.78603812850032,110.34860031707692,110.5467630427835,1522000.0,,,,,
2024-06-25,109.0308074951172,111.36916418445534,108.09942595766536,111.36916418445534,1495500.0,,,,,
2024-06-26,109.04070281982422,109.3974017610304,108.00032964806896,108.35702858927516,1224200.0,,,,,
2024-06-27,108.7434539794922,109.36767336294788,108.20840555392014,108.95152710731077,1204000.0,,,,,
2024-06-28,109.09024810791016,110.49722317339511,108.03997201105852,109.10015851243436,3680600.0,,,,,
2024-07-01,105.25575256347656,109.97209246917733,104.97831413423748,109.47667804181532,2152300.0,,,,,
2024-07-02,103.56141662597656,104.15591991778692,101.80765308152148,102.1247179760894,2588500.0,,,,,
2024-07-03,104.09647369384766,105.67189545284116,102.92729538068468,103.31371801678377,1180700.0,,,,,
2024-07-05,102.99665069580078,104.42344658625632,102.29316315520778,103.83886122300925,1853300.0,,,,,
2024-07-08,104.29463958740234,104.88913534401902,103.06600645638105,104.00729833382916,1543400.0,,,,,
2024-07-09,103.73978424072266,105.5232793091543,103.2939142533271,103.81905236808066,1445400.0,,,,,
2024-07-10,106.16731262207033,106.32584130691988,104.12620005387856,104.40363848135765,1439600.0,,,,,
2024-07-11,112.7959442138672,113.88586191483748,109.39740876975964,109.96218086961532,2624500.0,,,,,
2024-07-12,115.26310729980467,116.47191955282966,113.9254900340268,113.9254900340268,2337200.0,,,,,
2024-07-15,115.1739273071289,117.18530838194889,114.82713876999152,115.77833342589255,2146300.0,,,,,
2024-07-16,123.41763305664062,123.6554374117103,116.86825407605107,117.25467670375949,2862100.0,,,,,
2024-07-17,120.60367584228516,123.16001581422476,120.4847736716984,122.20881356837756,2643500.0,,,,,
