Date,Close,High,Low,Open,Volume,"('Close', 'UEC')","('High', 'UEC')","('Low', 'UEC')","('Open', 'UEC')","('Volume', 'UEC')"
2024-06-03,6.940000057220459,7.210000038146973,6.800000190734863,7.150000095367432,6494100.0,,,,,
2024-06-04,6.559999942779541,6.860000133514404,6.389999866485596,6.860000133514404,10356900.0,,,,,
2024-06-05,6.389999866485596,6.789999961853027,6.349999904632568,6.599999904632568,7136000.0,,,,,
2024-06-06,6.53000020980835,6.559999942779541,6.349999904632568,6.389999866485596,5128400.0,,,,,
2024-06-07,6.119999885559082,6.420000076293945,6.099999904632568,6.409999847412109,6546200.0,,,,,
2024-06-10,6.059999942779541,6.320000171661377,6.0,6.099999904632568,8013700.0,,,,,
2024-06-11,5.570000171661377,5.840000152587891,5.440000057220459,5.659999847412109,12004400.0,,,,,
2024-06-12,5.75,5.789999961853027,5.510000228881836,5.659999847412109,9313700.0,,,,,
2024-06-13,5.929999828338623,6.0,5.699999809265137,5.699999809265137,6197500.0,,,,,
2024-06-14,6.039999961853027,6.050000190734863,5.840000152587891,5.960000038146973,4600100.0,,,,,
2024-06-17,6.059999942779541,6.21999979019165,5.880000114440918,6.059999942779541,5223100.0,,,,,
2024-06-18,6.239999771118164,6.260000228881836,6.03000020980835,6.070000171661377,4577100.0,,,,,
2024-06-20,6.360000133514404,6.409999847412109,6.25,6.340000152587891,4612600.0,,,,,
2024-06-21,6.119999885559082,6.380000114440918,6.039999961853027,6.360000133514404,14177700.0,,,,,
2024-06-24,5.809999942779541,6.079999923706055,5.789999961853027,6.059999942779541,4934200.0,,,,,
2024-06-25,5.610000133514404,5.78000020980835,5.53000020980835,5.769999980926514,6821000.0,,,,,
2024-06-26,5.710000038146973,5.739999771118164,5.559999942779541,5.559999942779541,4852200.0,,,,,
2024-06-27,5.96999979019165,6.0,5.71999979019165,5.760000228881836,4440300.0,,,,,
2024-06-28,6.010000228881836,6.199999809265137,5.860000133514404,5.989999771118164,23230600.0,,,,,
2024-07-01,5.760000228881836,6.010000228881836,5.75,5.920000076293945,5437400.0,,,,,
2024-07-02,5.860000133514404,5.889999866485596,5.71999979019165,5.739999771118164,3429500.0,,,,,
2024-07-03,6.03000020980835,6.110000133514404,5.929999828338623,5.940000057220459,2523100.0,,,,,
2024-07-05,6.010000228881836,6.070000171661377,5.849999904632568,6.050000190734863,4117000.0,,,,,
2024-07-08,5.96999979019165,6.119999885559082,5.929999828338623,5.949999809265137,3754700.0,,,,,
2024-07-09,6.010000228881836,6.03000020980835,5.860000133514404,5.940000057220459,3810800.0,,,,,
2024-07-10,6.480000019073486,6.519999980926514,6.099999904632568,6.099999904632568,7707300.0,,,,,
2024-07-11,6.619999885559082,6.659999847412109,6.449999809265137,6.570000171661377,5455600.0,,,,,
2024-07-12,6.769999980926514,6.860000133514404,6.670000076293945,6.860000133514404,4672700.0,,,,,
2024-07-15,6.800000190734863,6.96999979019165,6.739999771118164,6.78000020980835,4462500.0,,,,,
2024-07-16,6.849999904632568,6.880000114440918,6.639999866485596,6.860000133514404,4389700.0,,,,,
2024-07-17,6.28000020980835,6.789999961853027,6.260000228881836,6.78000020980835,6627700.0,,,,,
2024-07-18,5.929999828338623,6.409999847412109,5.889999866485596,6.349999904632568,6229700.0,,,,,
2024-07-19,5.860000133514404,6.010000228881836,5.769999980926514,5.909999847412109,5409700.0,,,,,
2024-07-22,5.849999904632568,6.0,5.809999942779541,5.900000095367432,5201800.0,,,,,
2024-07-23,5.840000152587891,5.900000095367432,5.760000228881836,5.860000133514404,8090500.0,,,,,
