Date,Close,High,Low,Open,Volume,"('Close', 'ZBH')","('High', 'ZBH')","('Low', 'ZBH')","('Open', 'ZBH')","('Volume', 'ZBH')"
2024-06-03,111.56257629394533,114.2253999168062,111.39491112079118,112.92357386406364,1662800.0,,,,,
2024-06-04,111.87816619873048,112.94329109459258,111.19766367620052,111.45408611610874,1186700.0,,,,,
2024-06-05,111.08917236328124,112.2627908562005,110.5664706048946,111.86829654960675,918100.0,,,,,
2024-06-06,111.80913543701172,112.29238705725308,110.52703070241604,110.95111080468811,902300.0,,,,,
2024-06-07,111.77953338623048,112.30224267659096,111.0497237992214,111.56256866257613,1070300.0,,,,,
2024-06-10,111.32587432861328,111.690782906479,109.9057052519258,111.27656723929324,1214500.0,,,,,
2024-06-11,107.72613525390624,111.18780449645207,104.7082599208652,111.18780449645207,3036000.0,,,,,
2024-06-12,105.97061920166016,109.4717456069384,105.32957445857907,108.80110758512902,2996500.0,,,,,
2024-06-13,105.49723815917967,106.21718330496384,104.70824955007204,105.52682391525944,1471000.0,,,,,
2024-06-14,105.7142105102539,105.8226966322252,104.55045644903252,105.2112300833282,1611400.0,,,,,
2024-06-17,105.55641174316406,105.6846267211636,104.65894451893315,104.65894451893315,1579200.0,,,,,
2024-06-18,105.2210922241211,105.9706231104619,104.45183248456703,105.5761363384311,1753200.0,,,,,
2024-06-20,104.7871551513672,105.33944269072484,103.92913056041937,104.1165170574243,1887600.0,,,,,
2024-06-21,106.37499237060548,106.57223577615916,104.54060010641258,105.23095955020403,3318000.0,,,,,
2024-06-24,106.96672058105467,108.34744686997072,106.18759640713526,106.76947719307508,1600000.0,,,,,
2024-06-25,106.73003387451172,107.6176442262088,106.0791171084827,106.65113350450454,1339000.0,,,,,
2024-06-26,106.85852813720705,107.94579311948564,106.36431609607337,106.45327064376032,2006000.0,,,,,
2024-06-27,107.12540435791016,107.38239674288396,106.17651809925034,106.868419514014,2052500.0,,,,,
2024-06-28,107.2736587524414,108.3115070002088,106.13696960990497,107.29343145604136,2774600.0,,,,,
2024-07-01,104.73341369628906,107.64926923144496,104.59503492958495,105.77126198764708,2677200.0,,,,,
2024-07-02,105.0398178100586,105.45496163174292,104.15024222049306,104.6444542329525,1853500.0,,,,,
2024-07-03,105.34624481201172,106.0875629040704,104.98052517180815,105.23751755522358,635900.0,,,,,
2024-07-05,106.75968933105467,106.90795445451812,104.94098506265269,105.5834622369427,1045000.0,,,,,
2024-07-08,105.158447265625,107.13529561356955,104.91134122213192,106.59165930145362,1651100.0,,,,,
2024-07-09,104.53573608398438,105.76137987004203,104.15025128400592,105.3956602342082,1360400.0,,,,,
2024-07-10,105.66254425048828,105.79103667654678,104.31828678911512,104.42701405004075,732800.0,,,,,
2024-07-11,106.93760681152344,108.02487182367226,105.87010696348896,105.87010696348896,1140700.0,,,,,
2024-07-12,107.43180847167967,108.30161888902482,106.31488450981098,107.07597522343016,1177400.0,,,,,
2024-07-15,105.29681396484376,107.33296511645187,105.12878368440713,106.92771517298254,1822600.0,,,,,
2024-07-16,106.21605682373048,106.89807189119112,105.07936755832192,105.37589781575988,1211700.0,,,,,
2024-07-17,109.7645034790039,111.00991246260077,105.84045844679964,106.2160569042384,2237000.0,,,,,
2024-07-18,110.10055541992188,112.55185040634623,109.08247984488092,109.2109722578696,2278200.0,,,,,
2024-07-19,109.22086334228516,110.74303736528792,108.33128014168906,110.74303736528792,1510700.0,,,,,
2024-07-22,109.05282592773438,110.11043934680303,108.47953817580786,109.56680310944569,1355700.0,,,,,
2024-07-23,108.72664642333984,109.47785081922088,108.17313136378388,109.1022448507418,978200.0,,,,,
2024-07-24,109.2702865600586,109.76449860684116,108.24232459782156,109.04294570046456,925300.0,,,,,
2024-07-25,109.35924530029295,111.66227533642908,108.81560901156465,108.81560901156465,1600300.0,,,,,
2024-07-26,110.00171661376952,110.98025434009476,108.95398950358448,109.50750457446304,1399400.0,,,,,
2024-07-29,109.50750732421876,110.45639355858468,108.5882726063834,109.87322695727666,1202800.0,,,,,
2024-07-30,110.08079528808594,110.54534828292852,108.73653790200648,109.230749954504,1226600.0,,,,,
2024-07-31,110.06101989746094,111.7709968754525,108.84526250098526,110.2191713701184,1592800.0,,,,,
2024-08-01,109.83368682861328,112.1070576950918,108.983641513863,110.54534583393875,1129900.0,,,,,
2024-08-02,109.08248138427734,110.63430687844938,107.560307405746,109.93252669100366,1190000.0,,,,,
2024-08-05,105.80091094970705,108.28185742044244,105.38577465961404,107.88648629322564,1676900.0,,,,,
2024-08-06,108.30162048339844,109.616226250947,105.71194681436408,106.00847703929637,1891500.0,,,,,
