Date,Close,High,Low,Open,Volume,"('Close', 'NCT')","('High', 'NCT')","('Low', 'NCT')","('Open', 'NCT')","('Volume', 'NCT')"
2025-03-28,6.849999904632568,7.0,6.0,6.5,171700.0,,,,,
2025-03-31,5.71999979019165,6.949999809265137,5.559999942779541,6.800000190734863,94500.0,,,,,
2025-04-01,5.400000095367432,6.179999828338623,4.900000095367432,5.610000133514404,67600.0,,,,,
2025-04-02,5.400000095367432,6.199999809265137,4.679999828338623,5.670000076293945,409900.0,,,,,
2025-04-03,5.75,6.0,4.5,5.079999923706055,304300.0,,,,,
2025-04-04,5.800000190734863,6.519999980926514,5.420000076293945,5.75,475600.0,,,,,
2025-04-07,5.590000152587891,5.809999942779541,5.199999809265137,5.809999942779541,36300.0,,,,,
2025-04-08,5.578999996185303,5.679999828338623,5.550000190734863,5.679999828338623,11800.0,,,,,
2025-04-09,5.699999809265137,6.0,5.401999950408936,5.747000217437744,3700.0,,,,,
2025-04-10,5.550000190734863,5.71999979019165,5.260000228881836,5.71999979019165,17600.0,,,,,
2025-04-11,5.650000095367432,6.039999961853027,5.409999847412109,5.78000020980835,207300.0,,,,,
2025-04-14,5.699999809265137,6.0,5.449999809265137,5.677000045776367,36300.0,,,,,
2025-04-15,8.010000228881836,8.760000228881836,5.420000076293945,5.949999809265137,664500.0,,,,,
2025-04-16,6.349999904632568,8.119999885559082,6.03000020980835,8.119999885559082,248700.0,,,,,
2025-04-17,5.900000095367432,6.699999809265137,5.619999885559082,6.340000152587891,130400.0,,,,,
2025-04-21,5.360000133514404,6.079999923706055,5.300000190734863,5.789999961853027,320400.0,,,,,
2025-04-22,6.03000020980835,7.079999923706055,5.28000020980835,5.570000171661377,483400.0,,,,,
2025-04-23,6.289999961853027,6.599999904632568,5.465000152587891,5.96999979019165,91300.0,,,,,
2025-04-24,5.78000020980835,6.619999885559082,5.5,6.380000114440918,137800.0,,,,,
2025-04-25,5.53000020980835,5.912000179290772,5.230000019073486,5.800000190734863,147300.0,,,,,
2025-04-28,4.489999771118164,5.800000190734863,4.364999771118164,5.579999923706055,146800.0,,,,,
2025-04-29,4.5,5.119999885559082,4.349999904632568,4.460000038146973,35600.0,,,,,
2025-04-30,4.269999980926514,4.699999809265137,4.099999904632568,4.349999904632568,49600.0,,,,,
2025-05-01,4.050000190734863,4.368000030517578,3.940000057220459,4.119999885559082,89700.0,,,,,
2025-05-02,4.010000228881836,4.289999961853027,3.7799999713897705,4.190000057220459,156500.0,,,,,
2025-05-05,4.0,4.269999980926514,3.559999942779541,4.190000057220459,86800.0,,,,,
2025-05-06,3.650000095367432,3.930000066757202,3.4649999141693115,3.549999952316284,49400.0,,,,,
