Date,Close,High,Low,Open,Volume,"('Close', 'BTOG')","('High', 'BTOG')","('Low', 'BTOG')","('Open', 'BTOG')","('Volume', 'BTOG')"
2024-06-03,3.680000066757202,3.759999990463257,3.670000076293945,3.759999990463257,68300.0,,,,,
2024-06-04,3.640000104904175,3.799999952316284,3.5199999809265137,3.75,171300.0,,,,,
2024-06-05,3.5999999046325684,3.740000009536743,3.5799999237060547,3.740000009536743,328200.0,,,,,
2024-06-06,3.799999952316284,3.839999914169312,3.5,3.670000076293945,231600.0,,,,,
2024-06-07,3.660000085830689,3.818000078201294,3.618000030517578,3.690000057220459,34300.0,,,,,
2024-06-10,3.660000085830689,3.75,3.650000095367432,3.670000076293945,18300.0,,,,,
2024-06-11,3.880000114440918,3.9600000381469727,3.650000095367432,3.650000095367432,470700.0,,,,,
2024-06-12,3.7799999713897705,3.900000095367432,3.759999990463257,3.880000114440918,100600.0,,,,,
2024-06-13,3.900000095367432,3.950000047683716,3.759999990463257,3.759999990463257,90500.0,,,,,
2024-06-14,4.079999923706055,4.199999809265137,3.900000095367432,3.900000095367432,587000.0,,,,,
2024-06-17,4.5,4.550000190734863,4.019999980926514,4.079999923706055,203700.0,,,,,
2024-06-18,4.800000190734863,4.949999809265137,4.21999979019165,4.449999809265137,153900.0,,,,,
2024-06-20,4.840000152587891,4.900000095367432,4.53000020980835,4.840000152587891,116000.0,,,,,
2024-06-21,5.409999847412109,5.480000019073486,4.775000095367432,4.840000152587891,317800.0,,,,,
2024-06-24,4.849999904632568,5.434999942779541,4.489999771118164,5.329999923706055,302600.0,,,,,
2024-06-25,5.079999923706055,5.150000095367432,4.820000171661377,4.820000171661377,518000.0,,,,,
2024-06-26,5.199999809265137,5.199999809265137,4.880000114440918,4.989999771118164,366400.0,,,,,
2024-06-27,5.320000171661377,5.730000019073486,4.75,5.0,2073900.0,,,,,
2024-06-28,2.880000114440918,5.0,2.559999942779541,4.949999809265137,3388800.0,,,,,
2024-07-01,2.069999933242798,2.799999952316284,1.9600000381469729,2.7100000381469727,1787000.0,,,,,
2024-07-02,2.0899999141693115,2.240000009536743,1.950000047683716,2.0,917700.0,,,,,
2024-07-03,2.25,2.2699999809265137,1.9800000190734863,2.1600000858306885,644300.0,,,,,
2024-07-05,2.0899999141693115,2.196000099182129,1.7799999713897705,2.109999895095825,693900.0,,,,,
2024-07-08,2.0299999713897705,2.0999999046325684,2.0,2.0299999713897705,102500.0,,,,,
2024-07-09,1.8600000143051147,2.0969998836517334,1.7699999809265137,2.0299999713897705,160200.0,,,,,
2024-07-10,1.909999966621399,2.049999952316284,1.8899999856948853,2.049999952316284,103800.0,,,,,
2024-07-11,1.840000033378601,1.9900000095367432,1.7999999523162842,1.899999976158142,134100.0,,,,,
2024-07-12,2.0199999809265137,2.0799999237060547,1.909999966621399,1.9900000095367432,217100.0,,,,,
2024-07-15,2.0,2.200000047683716,1.9600000381469729,2.049999952316284,333700.0,,,,,
2024-07-16,1.9800000190734863,2.0799999237060547,1.9700000286102293,1.9800000190734863,159500.0,,,,,
2024-07-17,1.919999957084656,1.9800000190734863,1.7999999523162842,1.950000047683716,174400.0,,,,,
2024-07-18,1.7300000190734863,1.9600000381469729,1.659999966621399,1.940000057220459,280600.0,,,,,
2024-07-19,1.7100000381469729,1.7799999713897705,1.7100000381469729,1.75,55800.0,,,,,
