Date,Close,High,Low,Open,Volume,"('Close', 'PEP')","('High', 'PEP')","('Low', 'PEP')","('Open', 'PEP')","('Volume', 'PEP')"
2024-06-03,162.33120727539062,163.9144159752492,162.14160412833917,163.74377748264072,5032400.0,,,,,
2024-06-04,164.85296630859375,165.32698139539352,161.9425211978552,162.31225238692733,4619100.0,,,,,
2024-06-05,164.47377014160156,164.92882060249582,163.02328504404403,164.80557204329375,5370700.0,,,,,
2024-06-06,164.1988525390625,165.33648605767408,163.70587271020597,164.95727970673522,5536700.0,,,,,
2024-06-07,163.42965698242188,164.83425125682265,163.15256679801917,163.8691959347601,3521100.0,,,,,
2024-06-10,158.51837158203125,162.78948273660836,158.25083118316425,162.54105653190567,9429400.0,,,,,
2024-06-11,157.7252960205078,158.0979425731871,156.2346952299341,157.5341832613028,8284500.0,,,,,
2024-06-12,156.5404815673828,157.97373994330113,155.2123293888928,157.54376534649728,6281100.0,,,,,
2024-06-13,156.06271362304688,156.28247580365704,154.35235062912548,154.86833175907927,5432600.0,,,,,
2024-06-14,156.52134704589844,157.07554196219647,155.2983012236739,155.87161033152876,3603300.0,,,,,
2024-06-17,158.74769592285156,159.0056865109096,155.54674640910233,156.2156119766497,5412200.0,,,,,
2024-06-18,159.0725555419922,159.6363148818041,157.89728782991472,158.70947335720058,3519500.0,,,,,
2024-06-20,159.26365661621094,160.18094835094243,158.35592926800066,158.35592926800066,4942400.0,,,,,
2024-06-21,159.8369598388672,161.54732285891592,159.043888519495,159.7700820349889,10899100.0,,,,,
2024-06-24,160.60137939453125,162.0633017633447,159.6554236230045,160.04718440938146,4476900.0,,,,,
2024-06-25,159.90383911132812,161.4422034326748,159.80828273664343,160.60135399098797,4217300.0,,,,,
2024-06-26,159.3209991455078,159.57897514406488,157.5150942563207,158.50881360376366,4778300.0,,,,,
2024-06-27,158.86233520507812,159.80829087515022,157.91639411486253,159.21588214553185,4326500.0,,,,,
2024-06-28,157.59152221679688,158.82413253205075,157.29531783122877,157.94506918202825,8755900.0,,,,,
2024-07-01,155.64230346679688,158.671254408223,155.34609906953858,157.69663463348755,4508000.0,,,,,
2024-07-02,156.3015899658203,157.15198926960764,155.0976582959206,156.22514777695827,4650800.0,,,,,
2024-07-03,155.36521911621094,156.8271415434565,154.75369610468246,155.67097333204583,2879600.0,,,,,
