Date,Close,High,Low,Open,Volume,"('Close', 'CNQ')","('High', 'CNQ')","('Low', 'CNQ')","('Open', 'CNQ')","('Volume', 'CNQ')"
2024-06-03,34.417930603027344,36.18464039950536,34.36624468666733,36.18464039950536,4533200.0,,,,,
2024-06-04,33.69903564453125,33.98565627980097,32.9942315089144,33.933970356403535,4754400.0,,,,,
2024-06-05,33.64264678955078,34.25817811317083,33.60505637890765,33.84469076573406,2479600.0,,,,,
2024-06-06,33.731929779052734,33.92457439820381,33.56747618104094,33.811806728827094,4714600.0,,,,,
2024-06-07,33.05531311035156,33.62385468061465,32.99893107401356,33.47349660901465,4785200.0,,,,,
2024-06-10,33.31843948364258,33.5862648870679,33.21976375912162,33.33253499148303,3059000.0,,,,,
2024-06-11,33.40771484375,33.59566332758142,32.63712928637842,33.21976635991858,5916700.0,,,,,
2024-06-12,33.238563537597656,34.375650319030406,33.14459108251962,34.17830242765553,7661100.0,,,,,
2024-06-13,32.04509735107422,33.200979435497125,31.91353446922307,32.98483631837633,9253500.0,,,,,
2024-06-14,31.922929763793945,32.082683646990965,31.47185554763746,32.04509323277312,7593800.0,,,,,
2024-06-17,32.01987075805664,32.08640032982094,31.40209564516101,31.84879368049422,5467900.0,,,,,
2024-06-18,32.73269271850586,33.36948046315908,32.13392653581384,32.22896775115195,7181900.0,,,,,
2024-06-20,33.24592208862305,33.61658788314963,32.751699820724355,32.93228319540431,4219700.0,,,,,
2024-06-21,32.77070617675781,33.45501443556931,32.74219454117049,33.45501443556931,3189000.0,,,,,
2024-06-24,33.92072296142578,34.15832960380907,32.846743548277864,33.07484389463562,3585600.0,,,,,
2024-06-25,33.68311309814453,33.90171075316332,33.55005397122782,33.90171075316332,3110600.0,,,,,
2024-06-26,33.53104782104492,33.72113385784784,33.25542687454977,33.683115925369336,2296000.0,,,,,
2024-06-27,33.892215728759766,34.12031973034886,33.740147602897075,33.873206759828165,2834600.0,,,,,
2024-06-28,33.83518600463867,34.31039931158916,33.64510358233032,34.18684646220669,2887300.0,,,,,
2024-07-01,34.12031936645508,34.66206228566261,34.02527452281073,34.196351615780486,2670300.0,,,,,
2024-07-02,34.22486114501953,34.490983065218686,33.968249146983325,34.43395616254961,2759500.0,,,,,
