Date,Close,High,Low,Open,Volume,"('Close', 'NNN')","('High', 'NNN')","('Low', 'NNN')","('Open', 'NNN')","('Volume', 'NNN')"
2024-06-03,39.36690139770508,39.38557682587256,38.946713168870986,39.00273945337344,966600.0,,,,,
2024-06-04,39.76841354370117,40.02986240979452,39.22683682168078,39.32021396098101,881500.0,,,,,
2024-06-05,39.3949089050293,39.74039894936843,39.29219940311661,39.74039894936843,800900.0,,,,,
2024-06-06,39.90847396850586,39.92714583275324,39.152135235446686,39.23617287245326,483900.0,,,,,
2024-06-07,39.24550628662109,39.63768308814785,39.161468655006296,39.366894768280936,485300.0,,,,,
2024-06-10,38.96538543701172,39.20816242152648,38.66658573451157,39.05876257027641,577300.0,,,,,
2024-06-11,38.9000244140625,39.01207341543255,38.50785112828057,38.76929998546852,698800.0,,,,,
2024-06-12,39.10544967651367,39.91781115172248,38.99339711567743,39.72172451321922,806400.0,,,,,
2024-06-13,39.30153274536133,39.478943940944745,39.08677069955831,39.12412154977791,469200.0,,,,,
2024-06-14,39.32954788208008,39.44160044350848,39.06809902936075,39.09611038873112,508100.0,,,,,
2024-06-17,39.282859802246094,39.51629728790811,38.98406010555659,39.096109101321815,698800.0,,,,,
2024-06-18,39.40425109863281,39.55365095761828,39.264187172470486,39.264187172470486,720100.0,,,,,
2024-06-20,39.30153274536133,39.57232106649375,39.0120689991191,39.33888359558093,943800.0,,,,,
2024-06-21,39.42292404174805,39.48828625331159,38.99339635750755,39.39490912109697,1558600.0,,,,,
2024-06-24,39.72172546386719,40.15124960476545,39.413586257153085,39.4602730442988,576200.0,,,,,
2024-06-25,39.10544967651367,39.74039994002526,39.07743475531788,39.67503772719084,467000.0,,,,,
2024-06-26,38.90935897827149,39.077434255402224,38.722611836547024,38.85333626054351,662900.0,,,,,
2024-06-27,39.42292404174805,39.44159946819097,38.81598514925984,38.98406042527278,899700.0,,,,,
2024-06-28,39.77774429321289,39.8150951440658,39.31086934347108,39.59099716289472,1367200.0,,,,,
2024-07-01,39.3949089050293,39.79642166641656,39.05876191682045,39.60967096498496,913800.0,,,,,
2024-07-02,39.51629638671875,39.6470208057925,39.34822111591727,39.49762096085489,425300.0,,,,,
2024-07-03,39.42292404174805,39.889799016901016,39.39490912109697,39.572323891318064,354400.0,,,,,
