Date,Close,High,Low,Open,Volume,"('Close', 'LULU')","('High', 'LULU')","('Low', 'LULU')","('Open', 'LULU')","('Volume', 'LULU')"
2024-06-03,306.6199951171875,314.1300048828125,305.7900085449219,311.260009765625,2098500.0,,,,,
2024-06-04,306.7799987792969,309.2799987792969,301.3399963378906,303.8999938964844,2151200.0,,,,,
2024-06-05,308.2699890136719,308.760009765625,301.04998779296875,308.760009765625,6609400.0,,,,,
2024-06-06,323.0299987792969,337.760009765625,314.6499938964844,337.010009765625,12294700.0,,,,,
2024-06-07,317.8599853515625,329.7300109863281,316.260009765625,321.19000244140625,4031400.0,,,,,
2024-06-10,318.260009765625,322.0299987792969,314.010009765625,314.6600036621094,2132000.0,,,,,
2024-06-11,318.0400085449219,319.70001220703125,314.7699890136719,315.3900146484375,1760700.0,,,,,
2024-06-12,309.8099975585937,321.95001220703125,307.8800048828125,321.8900146484375,2681100.0,,,,,
2024-06-13,307.489990234375,309.1400146484375,303.8699951171875,306.8800048828125,2078400.0,,,,,
2024-06-14,306.010009765625,308.0,303.1600036621094,305.1199951171875,1472700.0,,,,,
2024-06-17,312.9100036621094,313.2200012207031,303.75,304.2799987792969,1948900.0,,,,,
2024-06-18,313.2300109863281,315.5,311.5199890136719,312.1199951171875,1836800.0,,,,,
2024-06-20,310.7699890136719,314.6600036621094,310.2200012207031,314.3800048828125,1626100.0,,,,,
2024-06-21,311.82000732421875,313.45001220703125,309.1000061035156,311.2699890136719,3223500.0,,,,,
2024-06-24,312.2799987792969,316.5299987792969,311.739990234375,312.2900085449219,2155600.0,,,,,
2024-06-25,309.07000732421875,317.2099914550781,307.69000244140625,312.3399963378906,1985300.0,,,,,
2024-06-26,304.8099975585937,309.8800048828125,304.3699951171875,308.7799987792969,1265500.0,,,,,
2024-06-27,308.29998779296875,308.44000244140625,303.19000244140625,304.1600036621094,1410300.0,,,,,
2024-06-28,298.70001220703125,303.25,296.2099914550781,302.0,3496800.0,,,,,
2024-07-01,302.3599853515625,302.5799865722656,295.489990234375,300.7300109863281,1526500.0,,,,,
2024-07-02,301.6700134277344,304.3900146484375,299.67999267578125,300.45001220703125,1434800.0,,,,,
2024-07-03,300.32000732421875,302.5899963378906,299.0199890136719,301.6700134277344,952000.0,,,,,
2024-07-05,298.1400146484375,303.1400146484375,296.79998779296875,303.1400146484375,1255000.0,,,,,
