Date,Close,High,Low,Open,Volume,"('Close', 'SPGI')","('High', 'SPGI')","('Low', 'SPGI')","('Open', 'SPGI')","('Volume', 'SPGI')"
2024-06-03,425.4281005859375,428.4112104148704,421.0277330644539,424.6154132857639,1230000.0,,,,,
2024-06-04,427.9850463867188,429.55095897754666,423.45583461099193,425.1604817221221,657600.0,,,,,
2024-06-05,432.3953552246094,433.0890883501312,424.0207741928383,428.8572164754359,879900.0,,,,,
2024-06-06,430.7799072265625,435.0316199846087,430.2249086200524,433.4756277061065,613100.0,,,,,
2024-06-07,424.9126892089844,429.0256669442739,424.407262473284,427.8165565012666,810100.0,,,,,
2024-06-10,426.1614685058594,426.4191572117771,421.6917187740117,423.84236088805983,694700.0,,,,,
2024-06-11,424.9820861816406,426.072272724273,423.3765524757425,426.072272724273,1148200.0,,,,,
2024-06-12,436.3199768066406,437.8660485808236,428.25262643159925,430.3239960377398,1219000.0,,,,,
2024-06-13,433.2872924804688,436.736238086837,431.4835320069866,436.0722057384131,689600.0,,,,,
2024-06-14,430.522216796875,432.10794005712495,426.0425765634379,430.849287908976,789400.0,,,,,
2024-06-17,429.4320373535156,430.93848808629,426.0326632838996,428.4310739138841,765900.0,,,,,
2024-06-18,431.9592895507813,432.3160614092924,427.5490014137542,430.1654493567924,983500.0,,,,,
2024-06-20,434.7937316894531,436.3992654954749,430.59159083960304,432.2565866202808,1006600.0,,,,,
2024-06-21,435.2991943359375,436.3001879974877,432.1079372592169,434.7640063119729,1367400.0,,,,,
2024-06-24,440.9978637695313,442.5637461913624,434.4270433050486,436.5677651472209,958500.0,,,,,
2024-06-25,444.7738342285156,445.2297194367334,438.8174745545578,441.8105350073692,998800.0,,,,,
2024-06-26,444.3575744628906,445.1107997886441,439.60043510429546,442.3358068703226,1630800.0,,,,,
2024-06-27,444.9026794433594,446.9542082520279,442.46464780930427,445.982945615543,1100900.0,,,,,
2024-06-28,442.01861572265625,443.9710309974256,438.0840541890409,442.6132656493404,3028300.0,,,,,
2024-07-01,442.3357849121094,447.0830036243947,440.1256808526615,444.37739322463045,1079600.0,,,,,
2024-07-02,446.4289245605469,446.74604499078725,442.375408651946,442.375408651946,731300.0,,,,,
2024-07-03,445.427978515625,447.6083518352327,444.5657495990572,445.8442123569961,462100.0,,,,,
