Date,Close,High,Low,Open,Volume,"('Close', 'RBNE')","('High', 'RBNE')","('Low', 'RBNE')","('Open', 'RBNE')","('Volume', 'RBNE')"
2025-04-11,8.5,24.649999618530277,1.3200000524520874,1.3200000524520874,41200.0,,,,,
2025-04-14,5.800000190734863,16.256000518798828,5.309999942779541,14.989999771118164,140000.0,,,,,
2025-04-15,4.599999904632568,6.52899980545044,3.950000047683716,6.0,126600.0,,,,,
2025-04-16,3.5199999809265137,4.449999809265137,3.5199999809265137,4.449999809265137,127800.0,,,,,
2025-04-17,3.660000085830689,3.740000009536743,2.809999942779541,3.5,108700.0,,,,,
2025-04-21,3.569999933242798,3.680000066757202,3.1670000553131104,3.5999999046325684,66600.0,,,,,
2025-04-22,3.187000036239624,3.650000095367432,3.0,3.380000114440918,47300.0,,,,,
2025-04-23,3.0,3.3329999446868896,2.9049999713897705,3.180000066757202,20600.0,,,,,
2025-04-24,3.249000072479248,3.400000095367432,2.930000066757202,3.0899999141693115,146000.0,,,,,
2025-04-25,2.900000095367432,3.369999885559082,2.799999952316284,3.25,87600.0,,,,,
2025-04-28,3.009999990463257,3.088000059127808,2.8399999141693115,2.890000104904175,7400.0,,,,,
2025-04-29,2.744999885559082,2.900000095367432,2.5299999713897705,2.900000095367432,58500.0,,,,,
2025-04-30,2.720000028610229,2.900000095367432,2.6700000762939453,2.6700000762939453,8900.0,,,,,
2025-05-01,2.619999885559082,2.9200000762939453,2.619999885559082,2.9200000762939453,6200.0,,,,,
2025-05-02,2.490000009536743,2.7279999256134038,2.407999992370605,2.5899999141693115,14200.0,,,,,
2025-05-05,2.430000066757202,2.7330000400543213,2.4200000762939453,2.569999933242798,13800.0,,,,,
2025-05-06,2.390000104904175,2.572000026702881,2.390000104904175,2.4100000858306885,11000.0,,,,,
2025-05-07,2.380000114440918,2.5199999809265137,2.380000114440918,2.5199999809265137,4400.0,,,,,
2025-05-08,2.8399999141693115,2.9600000381469727,2.424999952316284,2.470000028610229,82100.0,,,,,
2025-05-09,2.819999933242798,3.299999952316284,2.819999933242798,2.8399999141693115,50000.0,,,,,
2025-05-12,2.9600000381469727,3.200000047683716,2.8399999141693115,2.8399999141693115,20100.0,,,,,
