Date,Close,High,Low,Open,Volume,"('Close', 'GPRO')","('High', 'GPRO')","('Low', 'GPRO')","('Open', 'GPRO')","('Volume', 'GPRO')"
2024-06-03,1.5,1.559999942779541,1.5,1.5499999523162842,1449800.0,,,,,
2024-06-04,1.4900000095367432,1.5199999809265137,1.4600000381469729,1.5199999809265137,1723100.0,,,,,
2024-06-05,1.4800000190734863,1.5,1.4500000476837158,1.4900000095367432,1714500.0,,,,,
2024-06-06,1.4800000190734863,1.5099999904632568,1.4600000381469729,1.4800000190734863,1695400.0,,,,,
2024-06-07,1.4600000381469729,1.4800000190734863,1.440000057220459,1.4800000190734863,1511400.0,,,,,
2024-06-10,1.5199999809265137,1.5399999618530271,1.4199999570846558,1.440000057220459,2273800.0,,,,,
2024-06-11,1.6399999856948853,1.659999966621399,1.4919999837875366,1.5199999809265137,3628700.0,,,,,
2024-06-12,1.5800000429153442,1.6799999475479126,1.5499999523162842,1.6399999856948853,2050800.0,,,,,
2024-06-13,1.4800000190734863,1.5800000429153442,1.4800000190734863,1.5800000429153442,1490000.0,,,,,
2024-06-14,1.3700000047683716,1.4900000095367432,1.3700000047683716,1.4900000095367432,2327400.0,,,,,
2024-06-17,1.3700000047683716,1.399999976158142,1.3200000524520874,1.3899999856948853,1853300.0,,,,,
2024-06-18,1.3300000429153442,1.3899999856948853,1.3300000429153442,1.3700000047683716,2098900.0,,,,,
2024-06-20,1.3700000047683716,1.3899999856948853,1.309999942779541,1.340000033378601,2390900.0,,,,,
2024-06-21,1.3700000047683716,1.409999966621399,1.350000023841858,1.3799999952316284,2771300.0,,,,,
2024-06-24,1.350000023841858,1.3949999809265137,1.340000033378601,1.3799999952316284,1992100.0,,,,,
2024-06-25,1.309999942779541,1.350000023841858,1.2999999523162842,1.350000023841858,2060900.0,,,,,
2024-06-26,1.309999942779541,1.3350000381469729,1.2999999523162842,1.309999942779541,1118800.0,,,,,
2024-06-27,1.309999942779541,1.3300000429153442,1.2799999713897705,1.3200000524520874,1307500.0,,,,,
2024-06-28,1.4199999570846558,1.4299999475479126,1.2899999618530271,1.3300000429153442,5230600.0,,,,,
2024-07-01,1.3899999856948853,1.409999966621399,1.350000023841858,1.409999966621399,1527500.0,,,,,
