Date,Close,High,Low,Open,Volume,"('Close', 'MYO')","('High', 'MYO')","('Low', 'MYO')","('Open', 'MYO')","('Volume', 'MYO')"
2024-06-03,3.400000095367432,3.5999999046325684,3.390000104904175,3.490000009536743,129100.0,,,,,
2024-06-04,3.4100000858306885,3.490000009536743,3.369999885559082,3.390000104904175,117600.0,,,,,
2024-06-05,3.490000009536743,3.5799999237060547,3.384000062942505,3.4100000858306885,247500.0,,,,,
2024-06-06,3.509999990463257,3.5899999141693115,3.4600000381469727,3.4600000381469727,229600.0,,,,,
2024-06-07,3.390000104904175,3.4800000190734863,3.3299999237060547,3.4800000190734863,271800.0,,,,,
2024-06-10,3.400000095367432,3.4800000190734863,3.25,3.3299999237060547,234000.0,,,,,
2024-06-11,3.7300000190734863,3.767999887466431,3.359999895095825,3.400000095367432,314600.0,,,,,
2024-06-12,3.609999895095825,3.7300000190734863,3.5999999046325684,3.7300000190734863,144800.0,,,,,
2024-06-13,3.470000028610229,3.650000095367432,3.440000057220459,3.640000104904175,107400.0,,,,,
2024-06-14,3.380000114440918,3.470000028610229,3.3299999237060547,3.400000095367432,173700.0,,,,,
2024-06-17,3.319999933242798,3.434999942779541,3.305000066757202,3.400000095367432,111100.0,,,,,
2024-06-18,3.2300000190734863,3.369999885559082,3.200000047683716,3.289999961853028,148300.0,,,,,
2024-06-20,3.140000104904175,3.309999942779541,3.0899999141693115,3.25,157800.0,,,,,
2024-06-21,3.240000009536743,3.240000009536743,3.130000114440918,3.1700000762939453,259200.0,,,,,
2024-06-24,3.140000104904175,3.265000104904175,3.125,3.25,261700.0,,,,,
2024-06-25,3.039999961853028,3.150000095367432,3.0299999713897705,3.119999885559082,245100.0,,,,,
2024-06-26,3.0,3.109999895095825,2.990000009536743,3.059999942779541,146900.0,,,,,
2024-06-27,3.0199999809265137,3.0799999237060547,2.990000009536743,3.0199999809265137,128900.0,,,,,
2024-06-28,3.2100000381469727,3.259999990463257,3.039999961853028,3.049999952316284,327400.0,,,,,
2024-07-01,3.0799999237060547,3.275000095367432,2.950000047683716,3.240000009536743,306500.0,,,,,
2024-07-02,2.809999942779541,3.0799999237060547,2.809999942779541,3.069999933242798,336500.0,,,,,
2024-07-03,2.819999933242798,2.8989999294281006,2.759999990463257,2.8499999046325684,292100.0,,,,,
