Date,Close,High,Low,Open,Volume,"('Close', 'AXTI')","('High', 'AXTI')","('Low', 'AXTI')","('Open', 'AXTI')","('Volume', 'AXTI')"
2024-06-03,3.549999952316284,3.859999895095825,3.4800000190734863,3.849999904632568,532100.0,,,,,
2024-06-04,3.319999933242798,3.5299999713897705,3.309999942779541,3.509999990463257,481300.0,,,,,
2024-06-05,3.5299999713897705,3.549999952316284,3.359999895095825,3.359999895095825,194300.0,,,,,
2024-06-06,3.5999999046325684,3.609999895095825,3.5,3.5199999809265137,153600.0,,,,,
2024-06-07,3.559999942779541,3.640000104904175,3.5,3.559999942779541,134900.0,,,,,
2024-06-10,3.75,3.930000066757202,3.5999999046325684,3.5999999046325684,507500.0,,,,,
2024-06-11,3.619999885559082,3.740000009536743,3.5899999141693115,3.740000009536743,186800.0,,,,,
2024-06-12,3.650000095367432,3.869999885559082,3.630000114440918,3.7100000381469727,325100.0,,,,,
2024-06-13,3.650000095367432,3.690000057220459,3.539999961853028,3.609999895095825,176100.0,,,,,
2024-06-14,3.630000114440918,3.640000104904175,3.569999933242798,3.5899999141693115,155700.0,,,,,
2024-06-17,3.700000047683716,3.7100000381469727,3.559999942779541,3.5899999141693115,167800.0,,,,,
2024-06-18,3.7699999809265137,3.829999923706055,3.5999999046325684,3.690000057220459,356100.0,,,,,
2024-06-20,3.690000057220459,3.9700000286102295,3.640000104904175,3.759999990463257,321900.0,,,,,
2024-06-21,3.5999999046325684,3.7100000381469727,3.5299999713897705,3.7100000381469727,394000.0,,,,,
2024-06-24,3.7300000190734863,3.75,3.5999999046325684,3.5999999046325684,341200.0,,,,,
2024-06-25,3.740000009536743,3.839999914169312,3.680000066757202,3.740000009536743,154600.0,,,,,
2024-06-26,3.640000104904175,3.7699999809265137,3.609999895095825,3.7200000286102295,182600.0,,,,,
2024-06-27,3.5299999713897705,3.670000076293945,3.5299999713897705,3.609999895095825,180400.0,,,,,
2024-06-28,3.380000114440918,3.609999895095825,3.359999895095825,3.569999933242798,348000.0,,,,,
2024-07-01,3.450000047683716,3.490000009536743,3.289999961853028,3.380000114440918,191900.0,,,,,
2024-07-02,3.359999895095825,3.5299999713897705,3.3299999237060547,3.440000057220459,160100.0,,,,,
2024-07-03,3.440000057220459,3.450000047683716,3.3499999046325684,3.359999895095825,100300.0,,,,,
2024-07-05,3.289999961853028,3.440000057220459,3.2799999713897705,3.440000057220459,240300.0,,,,,
2024-07-08,3.470000028610229,3.4800000190734863,3.309999942779541,3.3299999237060547,158000.0,,,,,
2024-07-09,3.430000066757202,3.5,3.369999885559082,3.470000028610229,123700.0,,,,,
2024-07-10,3.470000028610229,3.549999952316284,3.359999895095825,3.430000066757202,217900.0,,,,,
2024-07-11,3.549999952316284,3.680000066757202,3.509999990463257,3.5299999713897705,227900.0,,,,,
2024-07-12,3.75,3.7799999713897705,3.539999961853028,3.5899999141693115,250500.0,,,,,
