Date,Close,High,Low,Open,Volume,"('Close', 'TSM')","('High', 'TSM')","('Low', 'TSM')","('Open', 'TSM')","('Volume', 'TSM')"
2024-06-03,152.25543212890625,154.4171713521008,149.80874257357726,152.4224740468389,12924400.0,,,,,
2024-06-04,149.8185577392578,151.11559522785652,148.36429904190786,150.7323779024251,10066700.0,,,,,
2024-06-05,160.0868377685547,160.88274956092445,155.2032643087566,155.83213418117322,23192600.0,,,,,
2024-06-06,159.25161743164062,161.83587165837304,157.57134765502775,161.6590090468556,14819100.0,,,,,
2024-06-07,161.53126525878906,163.2311764443796,159.1435300379977,160.72553281567934,14023300.0,,,,,
2024-06-10,165.23570251464844,166.8864801309475,159.59551567208229,161.14804128366194,12418900.0,,,,,
2024-06-11,162.82830810546875,165.48135208084753,160.9416837296844,165.25534098778093,11508600.0,,,,,
2024-06-12,169.9718780517578,172.9983187302037,168.55691721576346,170.34527465943384,20309500.0,,,,,
2024-06-13,170.4391326904297,171.58255998729098,168.07341948581228,170.47855447550603,15591800.0,,,,,
2024-06-14,170.04483032226562,171.158687459126,167.9255597932349,169.54212362618046,9192500.0,,,,,
2024-06-17,174.70724487304688,176.1168029458941,171.0009656669484,175.29866184541473,18593700.0,,,,,
2024-06-18,177.1222381591797,182.21835722268216,176.43224414452837,177.44752427481706,27155100.0,,,,,
2024-06-20,172.8738250732422,180.55249937575744,171.02068545527186,179.97093408398712,28403200.0,,,,,
2024-06-21,171.47410583496094,174.94379395506468,169.7491134595309,170.24196842393948,20175600.0,,,,,
2024-06-24,165.41200256347656,168.97041647743376,164.73186021637449,167.99455810453836,19741700.0,,,,,
2024-06-25,170.133544921875,170.17296670230513,166.59483473847305,167.52140450635443,13346800.0,,,,,
2024-06-26,169.6111297607422,171.20797517445413,167.7678418021611,169.6604032289748,11901500.0,,,,,
2024-06-27,169.1774139404297,172.97238845697703,168.70426230598537,171.30653613246454,10864600.0,,,,,
2024-06-28,171.3262481689453,174.29324481666444,170.34053819497683,170.34053819497683,11216100.0,,,,,
2024-07-01,169.86741638183594,172.79497646221205,168.01427665668422,171.75012620551735,10717000.0,,,,,
2024-07-02,173.18922424316406,174.18480085571312,168.58596087296098,168.68453787801667,10655500.0,,,,,
2024-07-03,179.8822021484375,179.8822021484375,175.33807898150198,175.4465076703731,11808700.0,,,,,
2024-07-05,181.36077880859372,182.4351990424999,179.6949265893913,181.5086292845477,11372900.0,,,,,
2024-07-08,183.9630584716797,190.04488724640728,182.48449350094637,187.28489629289024,22582400.0,,,,,
