Date,Close,High,Low,Open,Volume,"('Close', 'UPXI')","('High', 'UPXI')","('Low', 'UPXI')","('Open', 'UPXI')","('Volume', 'UPXI')"
2024-06-03,10.779999732971191,11.399999618530272,9.600000381469728,11.399999618530272,2005.0,,,,,
2024-06-04,10.4399995803833,11.140000343322754,9.800000190734863,11.0,2000.0,,,,,
2024-06-05,10.020000457763672,11.399999618530272,9.800000190734863,10.779999732971191,1185.0,,,,,
2024-06-06,9.65999984741211,10.399999618530272,9.4399995803833,10.199999809265137,2615.0,,,,,
2024-06-07,9.779999732971191,10.199999809265137,9.600000381469728,9.600000381469728,1335.0,,,,,
2024-06-10,9.600000381469728,10.359999656677246,9.600000381469728,9.600000381469728,4545.0,,,,,
2024-06-11,9.81999969482422,10.399999618530272,9.600000381469728,9.600000381469728,1020.0,,,,,
2024-06-12,9.600000381469728,10.800000190734863,9.5600004196167,10.0,3005.0,,,,,
2024-06-13,9.619999885559082,10.600000381469728,9.600000381469728,9.619999885559082,1445.0,,,,,
2024-06-14,9.0,10.18000030517578,9.0,10.18000030517578,5165.0,,,,,
2024-06-17,8.960000038146973,9.5600004196167,8.4399995803833,8.720000267028809,955.0,,,,,
2024-06-18,8.0,9.399999618530272,8.0,8.399999618530273,2225.0,,,,,
2024-06-20,8.380000114440918,8.819999694824219,7.320000171661377,8.0,6525.0,,,,,
2024-06-21,9.039999961853027,9.34000015258789,8.239999771118164,8.239999771118164,2420.0,,,,,
2024-06-24,9.199999809265137,9.199999809265137,8.760000228881836,8.760000228881836,465.0,,,,,
2024-06-25,9.0,9.600000381469728,8.800000190734863,8.979999542236328,1175.0,,,,,
2024-06-26,8.0,8.760000228881836,7.820000171661377,8.0,2950.0,,,,,
2024-06-27,8.260000228881836,8.600000381469727,7.800000190734863,7.800000190734863,1175.0,,,,,
2024-06-28,7.21999979019165,9.0,7.0,8.399999618530273,2310.0,,,,,
2024-07-01,7.599999904632568,8.199999809265137,6.800000190734863,6.800000190734863,820.0,,,,,
2024-07-02,9.020000457763672,9.979999542236328,7.400000095367432,7.599999904632568,53485.0,,,,,
2024-07-03,8.15999984741211,8.319999694824219,7.480000019073486,8.119999885559082,6380.0,,,,,
2024-07-05,7.900000095367432,7.980000019073486,7.5,7.880000114440918,1575.0,,,,,
2024-07-08,7.800000190734863,8.199999809265137,7.639999866485596,7.900000095367432,850.0,,,,,
2024-07-09,7.800000190734863,9.600000381469728,7.800000190734863,7.800000190734863,8290.0,,,,,
2024-07-10,8.199999809265137,8.640000343322754,7.619999885559082,7.619999885559082,1865.0,,,,,
2024-07-11,8.0600004196167,8.600000381469727,7.880000114440918,7.880000114440918,1380.0,,,,,
2024-07-12,8.899999618530273,8.979999542236328,8.020000457763672,8.34000015258789,4375.0,,,,,
2024-07-15,8.600000381469727,9.0,8.479999542236328,8.800000190734863,2420.0,,,,,
2024-07-16,8.399999618530273,8.899999618530273,8.279999732971191,8.600000381469727,2720.0,,,,,
2024-07-17,8.399999618530273,8.399999618530273,8.039999961853027,8.199999809265137,1240.0,,,,,
2024-07-18,8.239999771118164,8.399999618530273,8.0600004196167,8.0600004196167,555.0,,,,,
2024-07-19,8.220000267028809,8.600000381469727,8.039999961853027,8.039999961853027,350.0,,,,,
2024-07-22,8.380000114440918,8.600000381469727,8.0600004196167,8.600000381469727,755.0,,,,,
2024-07-23,8.34000015258789,8.399999618530273,7.800000190734863,8.100000381469727,2060.0,,,,,
2024-07-24,7.940000057220459,8.15999984741211,6.820000171661377,7.800000190734863,3330.0,,,,,
2024-07-25,8.300000190734863,8.34000015258789,7.400000095367432,7.400000095367432,1950.0,,,,,
2024-07-26,8.039999961853027,8.399999618530273,7.400000095367432,8.300000190734863,1465.0,,,,,
2024-07-29,7.199999809265137,8.0,6.980000019073486,7.71999979019165,1420.0,,,,,
2024-07-30,7.0,7.559999942779541,6.599999904632568,7.199999809265137,4560.0,,,,,
2024-07-31,6.940000057220459,7.340000152587891,6.599999904632568,7.119999885559082,2765.0,,,,,
2024-08-01,6.800000190734863,7.079999923706055,6.28000020980835,7.079999923706055,1170.0,,,,,
2024-08-02,5.539999961853027,6.599999904632568,5.400000095367432,6.599999904632568,2480.0,,,,,
2024-08-05,5.599999904632568,10.920000076293944,5.019999980926514,5.019999980926514,2577485.0,,,,,
2024-08-06,4.78000020980835,5.599999904632568,4.599999904632568,4.78000020980835,101505.0,,,,,
2024-08-07,4.519999980926514,5.019999980926514,4.019999980926514,4.639999866485596,26885.0,,,,,
2024-08-08,4.139999866485596,4.400000095367432,3.700000047683716,4.380000114440918,11680.0,,,,,
2024-08-09,3.900000095367432,4.400000095367432,3.799999952316284,4.0,11410.0,,,,,
2024-08-12,4.059999942779541,4.599999904632568,3.759999990463257,3.900000095367432,11585.0,,,,,
2024-08-13,4.21999979019165,4.400000095367432,3.880000114440918,4.159999847412109,3595.0,,,,,
2024-08-14,4.059999942779541,4.380000114440918,4.019999980926514,4.300000190734863,3455.0,,,,,
2024-08-15,3.900000095367432,4.21999979019165,3.799999952316284,4.079999923706055,5855.0,,,,,
2024-08-16,3.9800000190734863,4.0,3.900000095367432,3.9800000190734863,2960.0,,,,,
