Date,Close,High,Low,Open,Volume,"('Close', 'PPL')","('High', 'PPL')","('Low', 'PPL')","('Open', 'PPL')","('Volume', 'PPL')"
2024-06-03,27.86870384216309,27.99252161669468,27.7448842509762,27.906800920228463,4894900.0,,,,,
2024-06-04,27.92584991455078,28.068717134124995,27.70678672342664,27.81155686555352,4566000.0,,,,,
2024-06-05,27.56391906738281,27.925849472350063,27.50677072713385,27.849653502006685,4560400.0,,,,,
2024-06-06,27.33533096313477,27.76393261204103,27.29723206990476,27.440099286206845,4306800.0,,,,,
2024-06-07,27.059120178222656,27.32580698817052,26.96387475919447,27.040070731085965,4182700.0,,,,,
2024-06-10,27.06681060791016,27.23982318589164,26.82651576811457,27.018752373272694,3980000.0,,,,,
2024-06-11,27.249435424804688,27.326329700842948,26.778457754907343,26.87457422497705,4245900.0,,,,,
2024-06-12,27.037973403930664,27.547399102370523,26.88418485974204,27.528175076020933,3895100.0,,,,,
2024-06-13,27.037973403930664,27.16292774189896,26.82651461399732,27.037973403930664,3483900.0,,,,,
2024-06-14,26.989913940429688,27.00913796590253,26.730395096458256,26.90340765910588,2721300.0,,,,,
2024-06-17,26.826513290405277,27.037972069905464,26.68233676650496,26.77845506020649,3861600.0,,,,,
2024-06-18,26.95146942138672,26.999527654793688,26.730396781124035,26.74000879446625,3389200.0,,,,,
2024-06-20,26.96108055114746,27.105258923055324,26.788069804805502,26.88418627500521,3113200.0,,,,,
2024-06-21,26.874574661254883,27.2109878118726,26.8361284392637,27.076423284947182,6352900.0,,,,,
2024-06-24,27.076419830322266,27.2302083652738,26.797676964907645,26.903407270175805,5666600.0,,,,,
2024-06-25,26.72078514099121,27.047586265974477,26.69195093386594,26.99952803189628,3150900.0,,,,,
2024-06-26,26.62466812133789,26.74000861405808,26.43243152239881,26.595832081505808,4745500.0,,,,,
2024-06-27,26.6727237701416,26.70155980717981,26.50932322686624,26.653499745449466,3286400.0,,,,,
2024-06-28,26.57660675048828,26.768843339991783,26.451654250623797,26.73039528876949,7195000.0,,,,,
2024-07-01,26.297866821289062,26.807290688338306,26.28825480807816,26.711174222837435,3414600.0,,,,,
2024-07-02,26.35553550720215,26.48048800493948,26.23058300946482,26.35553550720215,3467000.0,,,,,
2024-07-03,26.46126747131348,26.77845657516028,26.326701119196844,26.45165545806914,2935200.0,,,,,
2024-07-05,26.345924377441406,26.52854895715033,26.249806081104914,26.470878712670046,5873000.0,,,,,
2024-07-08,26.33631134033203,26.40359359515995,26.18252280549566,26.3170873151515,4215400.0,,,,,
2024-07-09,26.345924377441406,26.52854895715033,26.19213583662463,26.269030107033014,5303100.0,,,,,
2024-07-10,26.605443954467773,26.605443954467773,26.23058460514804,26.40359534331587,5942000.0,,,,,
