Date,Close,High,Low,Open,Volume,"('Close', 'NXPI')","('High', 'NXPI')","('Low', 'NXPI')","('Open', 'NXPI')","('Volume', 'NXPI')"
2024-06-03,262.82958984375,270.2099141520827,258.1267988561953,268.3599674528083,1273300.0,,,,,
2024-06-04,259.28546142578125,264.0953407768096,258.6428724315923,260.4246558883823,1783800.0,,,,,
2024-06-05,268.4378662109375,268.80783176517104,261.6903850486198,262.946413796753,1692900.0,,,,,
2024-06-06,264.8450927734375,267.9218599254143,264.3679794803504,267.3960755496793,1438300.0,,,,,
2024-06-07,264.7282409667969,269.70362572020315,263.6669261832145,265.60452839281817,1211300.0,,,,,
2024-06-10,269.5576171875,270.0152383048374,260.9893964372702,261.1062605275558,1353600.0,,,,,
2024-06-11,270.6091003417969,271.0277666758131,264.70872783569763,269.49914428025136,1123000.0,,,,,
2024-06-12,275.5357971191406,279.3135994270119,272.22536190660134,274.5718840558455,1653600.0,,,,,
2024-06-13,269.1784362792969,273.04798397172704,265.7876877464729,265.8365338490785,1382700.0,,,,,
2024-06-14,262.7096252441406,266.18831448816513,260.1885342736783,263.8333539356778,1680300.0,,,,,
2024-06-17,265.0646057128906,265.43593152873314,258.116978030526,262.3187866901516,1702700.0,,,,,
2024-06-18,265.201416015625,266.97985570020995,263.2079997777322,264.5955811346426,1649900.0,,,,,
2024-06-20,258.6348571777344,264.1460572058597,257.24730584281747,263.4522517178266,3003900.0,,,,,
2024-06-21,264.8398742675781,265.50433641408546,258.791246899089,260.3449288977956,3881400.0,,,,,
2024-06-24,261.16571044921875,265.5629332775602,260.4719347527306,262.8366765948031,1680600.0,,,,,
2024-06-25,263.75518798828125,265.15252041366483,260.58916753775947,264.13626509494344,1435300.0,,,,,
2024-06-26,262.0451965332031,264.6737313661564,259.74886293729224,262.8562267884851,1693200.0,,,,,
2024-06-27,258.95733642578125,263.5695355842987,258.371034110095,262.0842324084836,1489100.0,,,,,
2024-06-28,262.94415283203125,267.57588471939886,259.8074755298631,261.3318437414164,2228000.0,,,,,
2024-07-01,259.602294921875,263.61841106383145,256.5339960261684,262.97348142676105,1723900.0,,,,,
2024-07-02,265.8267822265625,266.02219645734385,259.44592459930203,259.6022738762724,1421300.0,,,,,
2024-07-03,266.0710754394531,268.31853295301755,262.269906287063,266.1590163174021,1084500.0,,,,,
2024-07-05,267.29254150390625,269.20776809229665,263.6379402725009,269.19798694288454,1237700.0,,,,,
2024-07-08,270.88848876953125,271.4552288509678,267.8983794316917,268.09379367813494,1007000.0,,,,,
2024-07-09,268.6312561035156,271.7874959526553,266.94075732886427,270.9178086012479,1072400.0,,,,,
2024-07-10,275.9208374023437,276.2921632064154,268.7973281868894,270.7516494120453,1233300.0,,,,,
2024-07-11,268.3087463378906,278.4809918348082,268.1914918363475,277.0348132216762,2095600.0,,,,,
2024-07-12,273.7906494140625,277.4452207626099,269.4422725217843,271.46500225750435,1558800.0,,,,,
2024-07-15,276.3117370605469,279.5559179370552,273.6050124937849,275.4322983416471,1431400.0,,,,,
2024-07-16,284.1387634277344,284.81300664008165,276.7905263127165,278.87188320121675,1356700.0,,,,,
2024-07-17,269.979736328125,289.3177249796146,269.66703774929965,278.0608445271014,4527100.0,,,,,
2024-07-18,272.8916320800781,279.02819950143225,269.7451737315783,273.5365616594001,2209000.0,,,,,
2024-07-19,263.1395874023437,273.49749576891475,261.97676389793145,272.6473409941471,2403200.0,,,,,
