Date,Close,High,Low,Open,Volume,"('Close', 'OMER')","('High', 'OMER')","('Low', 'OMER')","('Open', 'OMER')","('Volume', 'OMER')"
2024-06-03,4.059999942779541,4.079999923706055,3.390000104904175,3.400000095367432,949600.0,,,,,
2024-06-04,3.809999942779541,4.150000095367432,3.799999952316284,4.039999961853027,496700.0,,,,,
2024-06-05,3.9800000190734863,4.050000190734863,3.759999990463257,3.869999885559082,389900.0,,,,,
2024-06-06,3.910000085830689,4.090000152587891,3.819999933242798,3.9600000381469727,364800.0,,,,,
2024-06-07,3.859999895095825,4.050000190734863,3.7699999809265137,3.869999885559082,289300.0,,,,,
2024-06-10,3.849999904632568,3.9800000190734863,3.819999933242798,3.819999933242798,270300.0,,,,,
2024-06-11,3.809999942779541,3.849999904632568,3.7100000381469727,3.799999952316284,235100.0,,,,,
2024-06-12,3.7699999809265137,4.260000228881836,3.700000047683716,3.950000047683716,1114800.0,,,,,
2024-06-13,4.230000019073486,4.25,3.75,3.7799999713897705,581000.0,,,,,
2024-06-14,4.059999942779541,4.409999847412109,4.039999961853027,4.239999771118164,402200.0,,,,,
2024-06-17,4.039999961853027,4.21999979019165,3.9700000286102295,4.150000095367432,289900.0,,,,,
2024-06-18,4.090000152587891,4.25,3.990000009536743,4.070000171661377,381400.0,,,,,
2024-06-20,3.9600000381469727,4.099999904632568,3.940000057220459,4.039999961853027,344200.0,,,,,
2024-06-21,3.9700000286102295,4.059999942779541,3.890000104904175,3.990000009536743,538600.0,,,,,
2024-06-24,4.090000152587891,4.119999885559082,3.950000047683716,3.9700000286102295,264400.0,,,,,
2024-06-25,3.890000104904175,4.079999923706055,3.869999885559082,4.070000171661377,188100.0,,,,,
2024-06-26,3.819999933242798,3.900000095367432,3.740000009536743,3.859999895095825,295800.0,,,,,
2024-06-27,3.950000047683716,3.950000047683716,3.75,3.829999923706055,125200.0,,,,,
2024-06-28,4.059999942779541,4.099999904632568,3.900000095367432,3.990000009536743,688800.0,,,,,
