Date,Close,High,Low,Open,Volume,"('Close', 'SOPA')","('High', 'SOPA')","('Low', 'SOPA')","('Open', 'SOPA')","('Volume', 'SOPA')"
2024-06-03,1.7899999618530271,1.850000023841858,1.75,1.840000033378601,29700.0,,,,,
2024-06-04,1.7899999618530271,1.7899999618530271,1.7100000381469729,1.7599999904632568,30300.0,,,,,
2024-06-05,1.906999945640564,1.9700000286102293,1.758999943733215,1.7999999523162842,108900.0,,,,,
2024-06-06,1.940000057220459,1.940000057220459,1.8550000190734863,1.8799999952316284,22500.0,,,,,
2024-06-07,1.8899999856948853,1.940000057220459,1.809999942779541,1.940000057220459,57500.0,,,,,
2024-06-10,1.712000012397766,1.940000057220459,1.6200000047683716,1.940000057220459,92800.0,,,,,
2024-06-11,1.659999966621399,1.7000000476837158,1.6200000047683716,1.659999966621399,35900.0,,,,,
2024-06-12,1.7000000476837158,1.75,1.6699999570846558,1.75,15600.0,,,,,
2024-06-13,1.690000057220459,1.7799999713897705,1.6799999475479126,1.6799999475479126,18600.0,,,,,
2024-06-14,1.4199999570846558,1.7599999904632568,1.309999942779541,1.6799999475479126,190900.0,,,,,
2024-06-17,1.350000023841858,1.5399999618530271,1.309999942779541,1.5399999618530271,54600.0,,,,,
2024-06-18,1.340000033378601,1.399999976158142,1.2699999809265137,1.3300000429153442,83900.0,,,,,
2024-06-20,1.2100000381469729,1.3700000047683716,1.1100000143051147,1.2899999618530271,195700.0,,,,,
2024-06-21,1.149999976158142,1.2300000190734863,1.1200000047683716,1.2300000190734863,99900.0,,,,,
2024-06-24,1.1699999570846558,1.190000057220459,1.1200000047683716,1.1200000047683716,32600.0,,,,,
2024-06-25,1.190000057220459,1.25,1.1699999570846558,1.1699999570846558,84100.0,,,,,
2024-06-26,1.149999976158142,1.190000057220459,1.1100000143051147,1.190000057220459,88300.0,,,,,
2024-06-27,1.159999966621399,1.1799999475479126,1.1399999856948853,1.149999976158142,42200.0,,,,,
2024-06-28,1.3300000429153442,1.340000033378601,1.1200000047683716,1.1699999570846558,99400.0,,,,,
2024-07-01,1.2100000381469729,1.3300000429153442,1.2100000381469729,1.3300000429153442,38200.0,,,,,
2024-07-02,1.2599999904632568,1.2899999618530271,1.149999976158142,1.190000057220459,174900.0,,,,,
2024-07-03,1.1699999570846558,1.2799999713897705,1.125,1.2300000190734863,133600.0,,,,,
2024-07-05,1.0850000381469729,1.2000000476837158,1.0800000429153442,1.2000000476837158,107100.0,,,,,
2024-07-08,1.0800000429153442,1.1480000019073486,1.0549999475479126,1.1299999952316284,52500.0,,,,,
2024-07-09,1.100000023841858,1.3700000047683716,1.100000023841858,1.159999966621399,612300.0,,,,,
2024-07-10,1.2899999618530271,1.350000023841858,1.0980000495910645,1.149999976158142,321600.0,,,,,
2024-07-11,1.2699999809265137,1.2899999618530271,1.2100000381469729,1.2899999618530271,61400.0,,,,,
2024-07-12,1.2799999713897705,1.3200000524520874,1.2400000095367432,1.2400000095367432,57500.0,,,,,
