Date,Close,High,Low,Open,Volume,"('Close', 'AMT')","('High', 'AMT')","('Low', 'AMT')","('Open', 'AMT')","('Volume', 'AMT')"
2024-06-03,187.5191650390625,188.3379018791233,185.63417167302697,186.59570553829664,2333200.0,,,,,
2024-06-04,190.79412841796875,191.90798888808231,187.5477401902076,188.4997591759447,3236300.0,,,,,
2024-06-05,188.6806488037109,191.2510972102242,188.21415426196475,190.65132058893016,1737100.0,,,,,
2024-06-06,189.9182586669922,190.43234248959112,187.31923656869984,188.49974525341835,1865800.0,,,,,
2024-06-07,184.939208984375,187.0526923639225,182.5496464816692,186.47196018257551,2143300.0,,,,,
2024-06-10,185.37713623046875,186.66236765915863,183.45405383084568,184.55839932977037,2874700.0,,,,,
2024-06-11,183.9967193603516,186.9194101867307,183.87295223969372,185.37714402874957,2781800.0,,,,,
2024-06-12,184.52032470703125,189.2994495023316,184.3584686978236,188.45215319564903,3331500.0,,,,,
2024-06-13,187.3382873535156,188.02374215794543,184.68216088134227,184.7107202876388,1531300.0,,,,,
2024-06-14,189.1333465576172,189.8244912626917,187.1175053932764,187.1175053932764,1933200.0,,,,,
2024-06-17,184.5737152099609,187.16550047601265,184.48732578544863,187.0503145766629,1779700.0,,,,,
2024-06-18,185.05368041992188,188.12542653650257,184.8424965012281,184.86169903399323,2407800.0,,,,,
2024-06-20,186.38796997070312,186.84872822426595,183.8441836625284,184.1513509491567,2236300.0,,,,,
2024-06-21,187.0407257080078,188.499795963486,185.1784754993876,186.3207845230613,2828400.0,,,,,
2024-06-24,188.51901245117188,190.7460377121346,185.95602340070937,186.89674251744748,1792200.0,,,,,
2024-06-25,184.95767211914065,189.51729935581088,184.4873199468546,188.48059699999183,1345100.0,,,,,
2024-06-26,184.94808959960935,185.5144398181211,182.74987561979287,183.6810007268841,1828500.0,,,,,
2024-06-27,187.49188232421875,187.57827174752748,184.46812068324985,185.5048377046757,1599300.0,,,,,
2024-06-28,186.5895538330078,189.94927922662143,186.023188991896,188.317400889074,2393900.0,,,,,
2024-07-01,186.24398803710935,188.05823922752532,183.9401674693292,186.60874827539627,1691700.0,,,,,
2024-07-02,184.5641326904297,187.41510105371017,183.87298795707432,186.5607714037628,1913600.0,,,,,
2024-07-03,186.98312377929688,187.2615092483724,184.75611326289933,185.3320720872173,1182600.0,,,,,
2024-07-05,187.79905700683597,188.4902017150432,185.7160289394373,187.1655052497725,1018500.0,,,,,
2024-07-08,188.30780029296875,189.47890570342756,186.71432707582125,187.30948837035524,1508800.0,,,,,
2024-07-09,188.10623168945312,188.36539995960695,185.0152831544986,187.7126603421584,1577100.0,,,,,
2024-07-10,188.8837738037109,189.5749185145754,186.03280553320536,189.47892049747276,1576900.0,,,,,
2024-07-11,198.895751953125,199.07813940009908,191.9843193847232,193.03063041003207,2256000.0,,,,,
2024-07-12,202.1690826416016,203.68576048135597,199.18372597008795,200.68120127719607,2238600.0,,,,,
2024-07-15,200.4700164794922,202.7450405527539,198.63656277170983,201.58352901223083,1585400.0,,,,,
2024-07-16,201.72750854492188,202.74503769499003,198.79975952547116,202.00589399780293,1329400.0,,,,,
2024-07-17,204.57847595214844,204.63606890156277,201.20915658624816,201.87150479899344,1759700.0,,,,,
2024-07-18,202.2074737548828,205.8647872564217,201.27634865609016,202.3610647220991,1736300.0,,,,,
2024-07-19,201.71792602539065,203.37858630523053,200.9307979237623,203.37858630523053,1404100.0,,,,,
2024-07-22,200.978759765625,203.91611721203364,199.88444984152687,201.5547185245144,1476200.0,,,,,
2024-07-23,201.12277221679688,203.68576106082983,200.5948124218296,201.16116263495775,1123600.0,,,,,
2024-07-24,200.9979705810547,204.28090048865616,200.2108425351864,201.82350369095963,1922800.0,,,,,
2024-07-25,201.50672912597656,207.20866545128453,200.7387889599292,202.10187579722407,1926600.0,,,,,
2024-07-26,205.1544342041016,205.5383969640194,201.64111782661573,202.361058986892,1548200.0,,,,,
2024-07-29,206.31594848632807,206.94950027617975,202.5434635187636,205.1544515188417,1607800.0,,,,,
2024-07-30,214.1105194091797,214.5040907871345,208.88854347382667,211.1827555505085,2447700.0,,,,,
2024-07-31,211.5666961669922,213.4193523085568,209.26289038858263,212.6226156929865,2924200.0,,,,,
2024-08-01,218.794921875,220.0332289336316,213.11218779657187,213.8705340582358,3047000.0,,,,,
2024-08-02,225.23599243164065,226.54148632857627,219.620445492142,220.7819570151379,4750500.0,,,,,
2024-08-05,217.1246490478516,226.66627121651567,216.95185555920244,222.58660479230048,4329600.0,,,,,
2024-08-06,219.0157165527344,221.40591197102765,215.32001252065248,216.00156330387023,2823200.0,,,,,
2024-08-07,216.91346740722656,220.56117211874607,216.0303413650254,217.27824227255053,3315700.0,,,,,
2024-08-08,214.64805603027344,216.51030616043403,212.62262099606912,214.88803641514485,2942100.0,,,,,
2024-08-09,213.6689300537109,216.36630721205748,213.4289496709792,215.8287534982968,2071500.0,,,,,
2024-08-12,216.50071716308597,216.6159177183727,210.98116781155068,212.6994357251796,1455700.0,,,,,
