Date,Close,High,Low,Open,Volume,"('Close', 'OUST')","('High', 'OUST')","('Low', 'OUST')","('Open', 'OUST')","('Volume', 'OUST')"
2024-06-03,11.479999542236328,12.107000350952148,11.454999923706056,11.960000038146973,546300.0,,,,,
2024-06-04,11.31999969482422,11.619999885559082,11.140000343322754,11.329999923706056,609300.0,,,,,
2024-06-05,12.050000190734863,12.109999656677246,11.149999618530272,11.399999618530272,1001700.0,,,,,
2024-06-06,11.8100004196167,12.399999618530272,11.380000114440918,12.109999656677246,676300.0,,,,,
2024-06-07,11.460000038146973,12.229999542236328,11.449999809265137,11.579999923706056,657500.0,,,,,
2024-06-10,11.300000190734863,11.550000190734863,11.041999816894531,11.300000190734863,738600.0,,,,,
2024-06-11,10.970000267028809,11.425000190734863,10.850000381469728,11.130000114440918,875300.0,,,,,
2024-06-12,10.779999732971191,11.5,10.760000228881836,11.399999618530272,972100.0,,,,,
2024-06-13,10.550000190734863,10.880000114440918,10.15999984741211,10.829999923706056,1007300.0,,,,,
2024-06-14,10.329999923706056,10.779999732971191,10.265000343322754,10.3100004196167,610500.0,,,,,
2024-06-17,10.90999984741211,11.364999771118164,10.460000038146973,10.630000114440918,1192900.0,,,,,
2024-06-18,10.68000030517578,11.140000343322754,10.5,10.869999885559082,700400.0,,,,,
2024-06-20,10.220000267028809,10.800000190734863,10.140000343322754,10.630000114440918,757100.0,,,,,
2024-06-21,10.199999809265137,10.31999969482422,9.859999656677246,10.119999885559082,2604000.0,,,,,
2024-06-24,9.710000038146973,10.220000267028809,9.609999656677246,10.15999984741211,793000.0,,,,,
2024-06-25,9.479999542236328,9.81999969482422,9.380000114440918,9.729999542236328,747700.0,,,,,
2024-06-26,9.75,9.850000381469728,9.354999542236328,9.369999885559082,813200.0,,,,,
2024-06-27,10.029999732971191,10.34000015258789,9.65999984741211,9.699999809265137,1049700.0,,,,,
2024-06-28,9.829999923706056,10.119999885559082,9.699999809265137,10.109999656677246,7780300.0,,,,,
2024-07-01,9.649999618530272,9.904999732971191,9.456000328063965,9.880000114440918,724900.0,,,,,
2024-07-02,9.40999984741211,9.670000076293944,9.314000129699709,9.619999885559082,504200.0,,,,,
2024-07-03,9.699999809265137,9.949999809265137,9.460000038146973,9.470000267028809,457100.0,,,,,
2024-07-05,9.59000015258789,9.75,9.460000038146973,9.640000343322754,550500.0,,,,,
2024-07-08,10.470000267028809,10.699999809265137,9.600000381469728,9.640000343322754,1062000.0,,,,,
2024-07-09,11.59000015258789,11.638999938964844,10.470000267028809,10.479999542236328,959800.0,,,,,
2024-07-10,12.079999923706056,12.130000114440918,11.369999885559082,11.93000030517578,965400.0,,,,,
2024-07-11,12.960000038146973,13.25,12.239999771118164,12.399999618530272,1278000.0,,,,,
2024-07-12,13.789999961853027,13.960000038146973,12.93000030517578,13.0,1129200.0,,,,,
2024-07-15,16.020000457763672,16.18000030517578,13.699999809265137,13.81999969482422,2484900.0,,,,,
2024-07-16,16.389999389648438,16.878999710083008,15.43000030517578,16.18000030517578,2691700.0,,,,,
2024-07-17,15.140000343322754,16.25,14.8100004196167,15.760000228881836,1400300.0,,,,,
2024-07-18,14.3100004196167,15.600000381469728,14.039999961853027,15.199999809265137,1088100.0,,,,,
2024-07-19,14.039999961853027,15.010000228881836,14.010000228881836,14.3100004196167,866900.0,,,,,
2024-07-22,14.170000076293944,15.350000381469728,14.0,14.210000038146973,1390100.0,,,,,
2024-07-23,14.699999809265137,14.880000114440918,13.630000114440918,14.0,977200.0,,,,,
2024-07-24,13.579999923706056,14.850000381469728,13.56999969482422,14.449999809265137,795100.0,,,,,
2024-07-25,13.40999984741211,14.0,13.1899995803833,13.529999732971191,701800.0,,,,,
2024-07-26,13.960000038146973,14.350000381469728,13.550000190734863,13.970000267028809,606500.0,,,,,
2024-07-29,13.460000038146973,14.89900016784668,13.31999969482422,14.079999923706056,971800.0,,,,,
2024-07-30,13.210000038146973,13.779999732971191,12.81999969482422,13.579999923706056,641000.0,,,,,
2024-07-31,13.130000114440918,13.9399995803833,13.109999656677246,13.5,805100.0,,,,,
2024-08-01,12.4399995803833,13.199999809265137,12.260000228881836,13.0600004196167,676500.0,,,,,
2024-08-02,11.770000457763672,12.149999618530272,11.491000175476074,11.770000457763672,863600.0,,,,,
