Date,Close,High,Low,Open,Volume,"('Close', 'IOBT')","('High', 'IOBT')","('Low', 'IOBT')","('Open', 'IOBT')","('Volume', 'IOBT')"
2024-06-03,1.2200000286102295,1.340000033378601,1.149999976158142,1.2000000476837158,84000.0,,,,,
2024-06-04,1.2000000476837158,1.2999999523162842,1.149999976158142,1.2400000095367432,101400.0,,,,,
2024-06-05,1.2100000381469729,1.2599999904632568,1.149999976158142,1.1799999475479126,124800.0,,,,,
2024-06-06,1.25,1.350000023841858,1.2100000381469729,1.309999942779541,224800.0,,,,,
2024-06-07,1.2330000400543213,1.2940000295639038,1.190000057220459,1.25,153000.0,,,,,
2024-06-10,1.2400000095367432,1.2799999713897705,1.2000000476837158,1.2000000476837158,54300.0,,,,,
2024-06-11,1.3200000524520874,1.3200000524520874,1.190000057220459,1.2400000095367432,66200.0,,,,,
2024-06-12,1.2799999713897705,1.3600000143051147,1.25,1.3200000524520874,54000.0,,,,,
2024-06-13,1.2799999713897705,1.2999999523162842,1.25,1.25,35800.0,,,,,
2024-06-14,1.309999942779541,1.3200000524520874,1.2999999523162842,1.2999999523162842,180100.0,,,,,
2024-06-17,1.2300000190734863,1.3200000524520874,1.190000057220459,1.2899999618530271,117200.0,,,,,
2024-06-18,1.25,1.3140000104904177,1.190000057220459,1.2300000190734863,74500.0,,,,,
2024-06-20,1.2300000190734863,1.2699999809265137,1.190000057220459,1.2599999904632568,57800.0,,,,,
2024-06-21,1.190000057220459,1.2200000286102295,1.159999966621399,1.2200000286102295,48000.0,,,,,
2024-06-24,1.190000057220459,1.2300000190734863,1.149999976158142,1.2300000190734863,146700.0,,,,,
2024-06-25,1.2699999809265137,1.2699999809265137,1.149999976158142,1.2100000381469729,163200.0,,,,,
2024-06-26,1.1799999475479126,1.350000023841858,1.0199999809265137,1.2699999809265137,373600.0,,,,,
2024-06-27,1.1699999570846558,1.2699999809265137,1.149999976158142,1.1799999475479126,112200.0,,,,,
2024-06-28,1.1699999570846558,1.2200000286102295,1.100000023841858,1.2200000286102295,107200.0,,,,,
2024-07-01,1.1200000047683716,1.184000015258789,1.1100000143051147,1.1100000143051147,56300.0,,,,,
2024-07-02,1.1799999475479126,1.187000036239624,1.100000023841858,1.1299999952316284,81100.0,,,,,
2024-07-03,1.1299999952316284,1.1690000295639038,1.1100000143051147,1.149999976158142,10800.0,,,,,
2024-07-05,1.2000000476837158,1.2599999904632568,1.1399999856948853,1.2200000286102295,124100.0,,,,,
