Date,Close,High,Low,Open,Volume,"('Close', 'ATCH')","('High', 'ATCH')","('Low', 'ATCH')","('Open', 'ATCH')","('Volume', 'ATCH')"
2024-06-03,70.80000305175781,75.0,69.0,75.0,840.0,,,,,
2024-06-04,69.5999984741211,72.5999984741211,68.0999984741211,70.80000305175781,240.0,,,,,
2024-06-05,67.80000305175781,69.9000015258789,66.0,69.5999984741211,120.0,,,,,
2024-06-06,66.0,68.4000015258789,66.0,67.80000305175781,95.0,,,,,
2024-06-07,61.79999923706055,66.9000015258789,61.79999923706055,66.30000305175781,158.0,,,,,
2024-06-10,76.19999694824219,76.19999694824219,60.0,63.0,698.0,,,,,
2024-06-11,76.9800033569336,84.0,64.80000305175781,73.80000305175781,2685.0,,,,,
2024-06-12,67.19999694824219,76.80000305175781,67.19999694824219,74.4000015258789,1020.0,,,,,
2024-06-13,71.4000015258789,73.80000305175781,66.0,70.19999694824219,203.0,,,,,
2024-06-14,67.80000305175781,72.5999984741211,67.80000305175781,72.5999984741211,85.0,,,,,
2024-06-17,67.80000305175781,71.4000015258789,67.80000305175781,70.80000305175781,118.0,,,,,
2024-06-18,67.80000305175781,70.19999694824219,67.19999694824219,69.9000015258789,125.0,,,,,
2024-06-20,68.4000015258789,69.5999984741211,66.5999984741211,67.19999694824219,122.0,,,,,
2024-06-21,65.4000015258789,69.5999984741211,60.59999847412109,69.0,1605.0,,,,,
2024-06-24,60.0,66.0,58.20000076293945,66.0,373.0,,,,,
2024-06-25,62.880001068115234,63.59999847412109,58.79999923706055,63.59999847412109,17.0,,,,,
2024-06-26,60.65999984741211,66.0,58.79999923706055,66.0,82.0,,,,,
2024-06-27,57.59999847412109,62.400001525878906,57.59999847412109,62.400001525878906,380.0,,,,,
2024-06-28,62.400001525878906,63.59999847412109,58.79999923706055,60.59999847412109,288.0,,,,,
2024-07-01,63.0,64.19999694824219,61.20000076293945,62.400001525878906,320.0,,,,,
2024-07-02,62.400001525878906,63.59999847412109,62.400001525878906,63.0,153.0,,,,,
2024-07-03,61.20000076293945,62.400001525878906,61.20000076293945,62.400001525878906,147.0,,,,,
