Date,Close,High,Low,Open,Volume,"('Close', 'USA')","('High', 'USA')","('Low', 'USA')","('Open', 'USA')","('Volume', 'USA')"
2024-06-03,5.910436630249023,5.936901457713828,5.857507395963577,5.919258379618679,950800.0,,,,,
2024-06-04,5.901614665985107,5.901614665985107,5.875149841370271,5.901614665985107,564700.0,,,,,
2024-06-05,5.928079128265381,5.945722204634106,5.883971647665627,5.901614724034353,909100.0,,,,,
2024-06-06,5.910436630249023,5.945722786439322,5.910436630249023,5.919258379618679,484000.0,,,,,
2024-06-07,5.928079128265381,5.936900876771804,5.89279297552793,5.910436051896655,468200.0,,,,,
2024-06-10,5.981009006500244,5.981009006500244,5.910436277685224,5.919258026528653,654800.0,,,,,
2024-06-11,5.936901092529297,5.981008995376131,5.910436266692369,5.981008995376131,306800.0,,,,,
2024-06-12,5.97218656539917,6.016294463215335,5.945721742580654,5.981008313220039,705400.0,,,,,
2024-06-13,5.97218656539917,5.9898296403968185,5.945721742580654,5.97218656539917,619800.0,,,,,
2024-06-14,5.981009006500244,5.981009006500244,5.945722431770665,5.972187257656815,391500.0,,,,,
2024-06-17,5.9633660316467285,5.989830437342239,5.945722533657529,5.9633660316467285,586900.0,,,,,
2024-06-18,5.989830493927002,5.99865224300494,5.95454433890355,5.989830493927002,541600.0,,,,,
2024-06-20,5.919257640838623,5.981008616786612,5.910435892570006,5.963365540893488,828800.0,,,,,
2024-06-21,5.928079128265381,5.945722204634106,5.910436051896655,5.910436051896655,608100.0,,,,,
2024-06-24,5.9545440673828125,5.981008892765709,5.928079241999916,5.928079241999916,564600.0,,,,,
2024-06-25,5.989830493927002,5.989830493927002,5.963366087981488,5.989830493927002,491400.0,,,,,
2024-06-26,5.998652458190918,5.998652458190918,5.963366301901667,5.9810093800462925,397200.0,,,,,
2024-06-27,6.033937931060791,6.033937931060791,5.99865177876814,6.007473106519245,309600.0,,,,,
2024-06-28,5.998652458190918,6.078046099519651,5.9810093800462925,6.0427599432304,756500.0,,,,,
2024-07-01,5.998652458190918,6.033938614480169,5.972187630651898,6.033938614480169,716300.0,,,,,
2024-07-02,6.069224834442139,6.069224834442139,5.998652521123257,6.007473849966034,555500.0,,,,,
2024-07-03,6.086867809295654,6.095689137988469,6.069224731265864,6.078046059958679,458500.0,,,,,
2024-07-05,6.07804536819458,6.07804536819458,6.042759216151044,6.069224040505753,436900.0,,,,,
2024-07-08,6.07804536819458,6.095688444216348,6.042759216151044,6.069224040505753,529400.0,,,,,
2024-07-09,6.086867809295654,6.095689137988469,6.060402981928889,6.095689137988469,507800.0,,,,,
2024-07-10,6.130974769592285,6.130974769592285,6.060402463510022,6.11333169307172,633200.0,,,,,
2024-07-11,6.18390417098999,6.201547246800691,6.1397962711411855,6.157439346951886,1118100.0,,,,,
2024-07-12,6.272120475769043,6.377978946257289,6.201548162110212,6.201548162110212,2683400.0,,,,,
2024-07-15,6.201547622680664,6.307406083961018,6.183904545800605,6.307406083961018,1307500.0,,,,,
2024-07-16,6.263298511505127,6.272120260732116,6.210369278075659,6.245655433695305,959700.0,,,,,
2024-07-17,6.236833572387695,6.26329797651987,6.201547419782049,6.201547419782049,839800.0,,,,,
2024-07-18,6.18390417098999,6.254476474232791,6.130974522913782,6.254476474232791,1030600.0,,,,,
2024-07-19,6.048094272613525,6.183904862583089,5.948500214135149,6.183904862583089,3240800.0,,,,,
2024-07-22,6.102417945861816,6.111472185960272,6.039039992092347,6.084309897394835,1124400.0,,,,,
2024-07-23,6.138634204864502,6.156742252536024,6.066201582448506,6.102417677791548,1014100.0,,,,,
2024-07-24,6.01187801361084,6.1295805505821095,5.966608105973395,6.1295805505821095,1345500.0,,,,,
2024-07-25,6.029985904693604,6.120526581051238,6.002824047170266,6.0118778557680645,860800.0,,,,,
2024-07-26,6.111472129821777,6.111472129821777,6.0662017932052015,6.093364081521132,613400.0,,,,,
2024-07-29,6.093364715576172,6.138635056903428,6.048094374248916,6.11147276576108,776800.0,,,,,
2024-07-30,6.1205267906188965,6.156742889710018,6.039040351798895,6.14768864907226,953200.0,,,,,
2024-07-31,6.165796279907227,6.202012376538963,6.147688231591358,6.147688231591358,633300.0,,,,,
2024-08-01,6.066202163696289,6.202012750110674,6.020932256044796,6.202012750110674,651600.0,,,,,
2024-08-02,6.002824306488037,6.029986165184748,5.912284057949069,6.002824306488037,994500.0,,,,,
2024-08-05,5.821743011474609,5.8760671571808345,5.676878622924676,5.767418865768384,1709900.0,,,,,
2024-08-06,5.921337604522705,5.930391844840326,5.857959217489181,5.930391844840326,1004900.0,,,,,
2024-08-07,5.8941755294799805,5.975661530681276,5.8941755294799805,5.95755348244433,843300.0,,,,,
2024-08-08,6.020932197570801,6.020932197570801,5.912283902186443,5.957553809398285,650300.0,,,,,
2024-08-09,6.05714750289917,6.066201310464038,6.011877169885153,6.048093263604409,490300.0,,,,,
2024-08-12,6.020932197570801,6.093364394493706,6.020932197570801,6.093364394493706,577600.0,,,,,
2024-08-13,6.111472129821777,6.120526369837063,6.057147984919842,6.084309841505847,587000.0,,,,,
2024-08-14,6.084310054779053,6.156742682250539,6.07525624617633,6.147688441917875,463600.0,,,,,
2024-08-15,6.174851417541504,6.192959468489661,6.138635315645189,6.147689125254273,475500.0,,,,,
