Date,Close,High,Low,Open,Volume,"('Close', 'MDLZ')","('High', 'MDLZ')","('Low', 'MDLZ')","('Open', 'MDLZ')","('Volume', 'MDLZ')"
2024-06-03,64.5400390625,65.56539650370846,64.40588069158173,65.42165330312947,6077900.0,,,,,
2024-06-04,65.2491683959961,65.58457166249926,64.14715415834337,64.61670849593092,5178600.0,,,,,
2024-06-05,65.14375305175781,65.40248494013933,64.32921076041411,65.02875703965368,5103000.0,,,,,
2024-06-06,65.3449935913086,65.91037422685683,64.7796056446778,64.98084319179239,4769400.0,,,,,
2024-06-07,64.98085021972656,65.53665339725012,64.82752949104477,65.028767059924,4189100.0,,,,,
2024-06-10,64.49212646484375,65.0191750937548,63.68716896658833,64.60711517096414,6263400.0,,,,,
2024-06-11,64.76045227050781,64.82753146217381,64.01299633163423,64.24298108719144,3807700.0,,,,,
2024-06-12,63.342193603515625,64.85627505868779,63.24636723658591,64.76044869175807,6274300.0,,,,,
2024-06-13,63.342193603515625,63.61051035535208,62.7959752698248,63.15054086965621,7197000.0,,,,,
2024-06-14,63.10262298583984,63.39010939295213,62.77681188145675,63.34219255473907,5029100.0,,,,,
2024-06-17,63.323028564453125,63.65842449000029,62.64265188374806,62.99721015743384,5837600.0,,,,,
2024-06-18,63.409271240234375,63.620093628972086,62.96846411427506,63.05471296016002,3795100.0,,,,,
2024-06-20,63.303855895996094,63.77341748052372,63.16969753215463,63.246361543230464,5817500.0,,,,,
2024-06-21,63.73509216308594,64.41546888284432,63.45719057708605,63.69676015352562,11563900.0,,,,,
2024-06-24,65.56539154052734,65.66121789663183,63.97465355816256,64.08006474320217,10297100.0,,,,,
2024-06-25,65.01918029785156,66.06370743223785,64.71253153851565,65.56539862889002,6501600.0,,,,,
2024-06-26,63.85966873168945,64.56879266439196,63.80217437017087,64.43463428012618,5372400.0,,,,,
2024-06-27,63.82134246826172,64.27173450361066,63.648852057087325,64.22381765730722,4751600.0,,,,,
2024-06-28,63.11247634887695,63.9033108448264,62.69777000599875,63.79722266236658,10899600.0,,,,,
2024-07-01,62.91958999633789,64.30837549869491,62.90030457904421,63.517540944972254,6769800.0,,,,,
2024-07-02,63.68149566650391,63.72007386089892,62.784572881424765,62.87137565832312,9997100.0,,,,,
2024-07-03,63.98046112060547,64.02868569831885,63.3535857585564,63.517537549921926,3462500.0,,,,,
2024-07-05,64.59770965576172,64.67485868463605,63.62363050559755,63.9515341129181,6198200.0,,,,,
2024-07-08,63.80686950683594,64.47232305117484,63.58504675336471,64.08654850837644,7929800.0,,,,,
2024-07-09,62.91958999633789,63.69113913276688,62.90030457904421,63.53682636226593,5389900.0,,,,,
2024-07-10,63.585052490234375,63.623630683798616,62.90030611005472,62.9967479149463,6904200.0,,,,,
2024-07-11,62.99674606323242,63.45967701435796,62.60133246738827,63.36322785426333,7454000.0,,,,,
2024-07-12,63.03532409667969,63.61398226559877,62.95816771201372,63.2089222831592,8426600.0,,,,,
