Date,Close,High,Low,Open,Volume,"('Close', 'GEMI')","('High', 'GEMI')","('Low', 'GEMI')","('Open', 'GEMI')","('Volume', 'GEMI')"
2025-09-12,32.0,45.88999938964844,31.559999465942383,37.0099983215332,32988800.0,,,,,
2025-09-15,32.52000045776367,34.689998626708984,31.700000762939453,33.5,8430100.0,,,,,
2025-09-16,28.1299991607666,33.220001220703125,28.030000686645508,33.0,9201800.0,,,,,
2025-09-17,24.530000686645508,28.8700008392334,23.600000381469727,28.31999969482422,13461700.0,,,,,
2025-09-18,24.479999542236328,26.649999618530277,23.51000022888184,25.170000076293945,10104500.0,,,,,
2025-09-19,24.13999938964844,24.6200008392334,23.170000076293945,24.299999237060547,5847600.0,,,,,
2025-09-22,23.43000030517578,24.06999969482422,22.61100006103516,23.21999931335449,2917000.0,,,,,
2025-09-23,24.350000381469727,26.5,22.8799991607666,23.5,8591400.0,,,,,
2025-09-24,24.280000686645508,24.88999938964844,23.642000198364254,24.46999931335449,2760300.0,,,,,
2025-09-25,25.13999938964844,25.81999969482422,23.059999465942383,23.790000915527344,3687000.0,,,,,
2025-09-26,23.84000015258789,25.3700008392334,23.299999237060547,25.299999237060547,2321500.0,,,,,
2025-09-29,24.729999542236328,24.850000381469727,23.143999099731445,23.950000762939453,3755200.0,,,,,
2025-09-30,23.959999084472656,24.489999771118164,23.229999542236328,24.440000534057617,3032700.0,,,,,
2025-10-01,22.81999969482422,24.5,22.75,23.899999618530277,3086100.0,,,,,
2025-10-02,23.200000762939453,23.75,22.25,23.01000022888184,3339900.0,,,,,
2025-10-03,24.780000686645508,25.200000762939453,23.149999618530277,23.309999465942383,3486900.0,,,,,
2025-10-06,25.290000915527344,26.75,24.559999465942383,25.40399932861328,3952100.0,,,,,
2025-10-07,24.270000457763672,26.440000534057617,24.25,25.46999931335449,3218600.0,,,,,
2025-10-08,25.649999618530277,26.25,23.979999542236328,24.25,2512400.0,,,,,
2025-10-09,25.40999984741211,26.34000015258789,25.09000015258789,25.700000762939453,1778400.0,,,,,
2025-10-10,23.299999237060547,25.40999984741211,23.11000061035156,25.40999984741211,3056400.0,,,,,
2025-10-13,23.450000762939453,23.670000076293945,22.200000762939453,23.46999931335449,2759700.0,,,,,
2025-10-14,22.649999618530277,23.299999237060547,21.700000762939453,22.46999931335449,2536100.0,,,,,
2025-10-15,22.36000061035156,23.11000061035156,21.799999237060547,23.11000061035156,2011100.0,,,,,
2025-10-16,20.520000457763672,22.450000762939453,20.489999771118164,22.07999992370605,2616000.0,,,,,
2025-10-17,19.68000030517578,20.1200008392334,19.190000534057617,20.0,2291400.0,,,,,
2025-10-20,,,,,,20.65999984741211,20.780000686645508,19.700000762939453,19.81999969482422,1375600.0
2025-10-21,,,,,,20.239999771118164,20.790000915527344,19.579999923706055,20.299999237060547,1368500.0
2025-10-22,,,,,,19.309999465942383,19.969999313354492,18.84000015258789,19.969999313354492,1647700.0
2025-10-23,,,,,,19.559999465942383,19.90999984741211,19.299999237060547,19.479999542236328,761800.0
2025-10-24,,,,,,19.760000228881836,20.733999252319336,19.739999771118164,19.969999313354492,861500.0
2025-10-27,,,,,,20.329999923706055,20.700000762939453,19.959999084472656,20.309999465942383,717800.0
